Taxon	DNA.profile
g__Methanobrevibacter;s__Methanobrevibacter smithii	0.002779
z__HMSC035G02	0.000141
z__Adlercreutzia equolifaciens DSM 19450	0.000889
g__Asaccharobacter;s__Asaccharobacter celatus	0.001606
z__Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	0.001452
z__Bifidobacterium bifidum PRL2010	0.000468
g__Bifidobacterium;s__Bifidobacterium longum	0.001510
z__Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	0.002287
z__Collinsella intestinalis DSM 13280	0.000370
g__Collinsella;s__uncultured Collinsella sp.	0.003368
z__AM34-10	0.001735
z__TF05-9AC	0.001759
z__CAG:338	0.000113
z__Eggerthella lenta DSM 2243	0.000536
g__Eggerthella;s__uncultured Eggerthella sp.	0.000266
z__CAG:298	0.000619
z__Enorma massiliensis phI	0.000387
z__Gordonibacter pamelaeae 7-10-1-b	0.000274
p__Actinobacteria;s__Coriobacteriia bacterium	0.000241
p__Actinobacteria;s__uncultured Coriobacteriaceae bacterium	0.000489
g__Alistipes;s__Alistipes communis	0.001565
z__Alistipes finegoldii DSM 17242	0.001279
z__Alistipes ihumii AP11	0.001073
z__Alistipes indistinctus YIT 12060	0.000122
x__Alistipes onderdonkii subsp. vulgaris	0.002589
z__Alistipes onderdonkii WAL 8169 = DSM 19147	0.001244
z__Alistipes putredinis DSM 17216	0.007192
z__Alistipes shahii WAL 8301	0.008357
z__Alistipes timonensis JC136	0.000324
g__Alistipes;s__uncultured Alistipes sp.	0.000833
g__Bacteroides;s__Bacteroides caccae CAG:21	0.001708
g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158	0.003879
z__Bacteroides cellulosilyticus DSM 14838	0.003824
g__Bacteroides;s__Bacteroides cellulosilyticus	0.002862
g__Bacteroides;s__Bacteroides dorei CAG:222	0.002291
z__Bacteroides dorei DSM 17855	0.006924
g__Bacteroides;s__Bacteroides dorei	0.003170
z__Bacteroides eggerthii DSM 20697	0.000205
z__Bacteroides faecis MAJ27	0.005989
g__Bacteroides;s__Bacteroides finegoldii CAG:203	0.001227
z__Bacteroides finegoldii DSM 17565	0.001574
g__Bacteroides;s__Bacteroides fragilis	0.001033
z__Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	0.007008
g__Bacteroides;s__Bacteroides ovatus	0.013759
z__Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	0.004521
z__Bacteroides stercoris ATCC 43183	0.006473
g__Bacteroides;s__Bacteroides thetaiotaomicron	0.008310
g__Bacteroides;s__Bacteroides timonensis	0.001250
g__Bacteroides;s__Bacteroides uniformis	0.023841
z__Bacteroides vulgatus ATCC 8482	0.007500
g__Bacteroides;s__Bacteroides vulgatus	0.064324
z__Bacteroides xylanisolvens XB1A	0.002160
g__Bacteroides;s__Bacteroides xylanisolvens	0.001469
g__Bacteroides;s__uncultured Bacteroides sp.	0.005571
z__43_108	0.001000
z__CAG:144	0.000195
z__HF-5092	0.000876
z__OF02-3LB	0.001508
z__Barnesiella intestinihominis YIT 11860	0.002612
g__Butyricimonas;s__Butyricimonas faecalis	0.001320
z__Butyricimonas virosa DSM 23226	0.000571
g__Gabonia;s__Gabonia massiliensis	0.000112
z__Odoribacter laneus YIT 12061	0.000960
g__Odoribacter;s__Odoribacter splanchnicus	0.003424
g__Odoribacter;s__uncultured Odoribacter sp.	0.000088
z__Parabacteroides distasonis ATCC 8503	0.010805
g__Parabacteroides;s__Parabacteroides distasonis	0.001219
z__Parabacteroides goldsteinii CL02T12C30	0.000868
z__Parabacteroides johnsonii CL02T12C29	0.000776
z__Parabacteroides johnsonii DSM 18315	0.001562
z__Parabacteroides merdae ATCC 43184	0.002243
g__Tidjanibacter;s__Tidjanibacter massiliensis	0.000249
p__Candidatus Melainabacteria;s__Candidatus Gastranaerophilales bacterium	0.003698
g__Agathobaculum;s__Agathobaculum butyriciproducens	0.004286
z__Anaerobutyricum hallii DSM 3353	0.002722
g__Anaerobutyricum;s__Anaerobutyricum hallii	0.002374
g__Anaerobutyricum;s__Anaerobutyricum soehngenii	0.001030
z__An172	0.000241
z__An200	0.000313
z__An250	0.000836
z__Marseille-P4683	0.000335
z__Anaerostipes hadrus DSM 3319	0.002573
g__Anaerostipes;s__Anaerostipes hadrus	0.007730
g__Anaerotignum;s__Anaerotignum faecicola	0.000728
z__Anaerotruncus colihominis DSM 17241	0.000263
g__Anaerotruncus;s__Anaerotruncus massiliensis	0.000558
g__Bittarella;s__Bittarella massiliensis	0.000215
g__Blautia;s__Blautia hansenii	0.000255
g__Blautia;s__Blautia massiliensis	0.004885
z__Blautia obeum A2-162	0.000621
z__Blautia obeum ATCC 29174	0.010053
g__Blautia;s__Blautia obeum	0.008188
z__Blautia wexlerae AGR2146	0.002458
z__Blautia wexlerae DSM 19850	0.013426
z__[Ruminococcus] gnavus AGR2154	0.000577
z__[Ruminococcus] gnavus ATCC 29149	0.001948
z__[Ruminococcus] torques ATCC 27756	0.000474
z__[Ruminococcus] torques L2-14	0.002436
g__Blautia;s__uncultured Blautia sp.	0.006571
z__AF19-10LB	0.000881
z__KGMB01111	0.000912
z__Marseille-P3087	0.000808
z__SG-772	0.007213
z__OM04-18BH	0.000204
g__Candidatus Cibiobacter;s__Candidatus Cibiobacter qucibialis	0.003788
z__SB1	0.000106
z__UBA1685	0.000227
g__Clostridium;s__Clostridium disporicum	0.000236
g__Clostridium;s__Clostridium phoceensis	0.000959
g__Clostridium;s__Clostridium sporogenes	0.001969
g__Clostridium;s__uncultured Clostridium sp.	0.009555
z__26_22	0.001456
z__29_15	0.000157
z__AF27-2AA	0.001389
z__AF37-5	0.003934
z__AM22-11AC	0.001928
z__AM33-3	0.000619
z__AM34-11AC	0.001703
z__AM49-4BH	0.007958
z__AT4	0.000153
z__CAG:138	0.004403
z__CAG:167	0.003464
z__CAG:169	0.000395
z__CAG:217	0.004982
z__CAG:245	0.000129
z__CAG:253	0.000355
z__CAG:273	0.000319
z__CAG:354_28_25	0.000693
z__CAG:433	0.000198
z__CAG:58	0.000963
z__Marseille-P3244	0.000093
z__OF03-18AA	0.001440
z__SN20	0.000327
z__Coprococcus catus GD/7	0.001277
z__Coprococcus comes ATCC 27758	0.003897
z__Coprococcus eutactus ATCC 27759	0.001085
g__Coprococcus;s__Coprococcus phoceensis	0.001933
z__Dialister invisus DSM 15470	0.000376
g__Dialister;s__uncultured Dialister sp.	0.001052
z__Dorea formicigenerans ATCC 27755	0.003275
z__Dorea longicatena DSM 13814	0.006033
g__Dorea;s__Dorea longicatena	0.001521
g__Dorea;s__uncultured Dorea sp.	0.000345
z__AF36-15AT	0.000837
z__AM10-31	0.000221
g__Dysosmobacter;s__Dysosmobacter welbionis	0.002243
g__Eisenbergiella;s__Eisenbergiella massiliensis	0.001056
g__Eisenbergiella;s__Eisenbergiella tayi	0.000349
z__[Clostridium] innocuum 2959	0.000139
z__[Clostridium] spiroforme DSM 1552	0.000135
z__Eubacterium ramulus ATCC 29099	0.002771
z__[Eubacterium] eligens ATCC 27750	0.002541
g__Eubacterium;s__[Eubacterium] eligens	0.009292
g__Eubacterium;s__uncultured Eubacterium sp.	0.006514
z__AF19-12LB	0.000537
z__AF22-9	0.000985
z__AM49-13BH	0.002454
z__CAG:38	0.000987
g__Evtepia;s__Evtepia gabavorous	0.000691
z__Faecalibacterium prausnitzii A2-165	0.016105
z__Faecalibacterium prausnitzii M21/2	0.001910
g__Faecalibacterium;s__Faecalibacterium prausnitzii	0.044733
g__Faecalibacterium;s__uncultured Faecalibacterium sp.	0.018135
g__Faecalicatena;s__Faecalicatena contorta	0.000221
g__Flavonifractor;s__uncultured Flavonifractor sp.	0.000536
z__An100	0.000186
g__Frisingicoccus;s__Frisingicoccus caecimuris	0.000297
g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	0.026716
g__Gemmiger;s__Gemmiger formicilis	0.007234
z__Holdemania filiformis DSM 12042	0.000490
z__Hungatella hathewayi DSM 13479	0.000119
g__Intestinimonas;s__Intestinimonas butyriciproducens	0.000189
g__Intestinimonas;s__Intestinimonas massiliensis	0.000581
g__Lachnobacterium;s__uncultured Lachnobacterium sp.	0.006603
g__Lachnoclostridium;s__[Clostridium] bolteae	0.000468
z__[Clostridium] citroniae WAL-17108	0.000149
z__[Clostridium] clostridioforme AGR2157	0.000167
g__Lachnoclostridium;s__[Clostridium] lavalense	0.000355
z__[Clostridium] symbiosum WAL-14163	0.000304
z__An138	0.000248
z__SNUG30386	0.002785
z__AF33-28	0.000208
z__Lactobacillus paracasei ATCC 334	0.000070
g__Lactobacillus;s__Lactobacillus rogosae	0.001052
x__Lactococcus lactis subsp. lactis	0.000225
g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	0.001641
g__Longibaculum;s__Longibaculum muris	0.000104
z__Marvinbryantia formatexigens DSM 14469	0.000166
g__Marvinbryantia;s__uncultured Marvinbryantia sp.	0.001188
