species	SRTP_A_F1_210317_ZHMW	SRTP_A_F1_210317_ZMB	SRTP_A_F1_210330_ZHMW	SRTP_A_F1_210330_ZMB	SRTP_A_F1_210415_ZHMW	SRTP_A_F1_210415_ZMB	SRTP_A_F1_210705_ZHMW	SRTP_A_F1_210705_ZMB	SRTP_A_F1_210903_ZHMW	SRTP_A_F1_210903_ZMB	SRTP_A_F1_211203_ZHMW	SRTP_A_F1_211203_ZMB	SRTP_A_F2_210316_ZHMW	SRTP_A_F2_210316_ZMB	SRTP_A_F2_210401_ZHMW	SRTP_A_F2_210401_ZMB	SRTP_A_F2_210413_ZHMW	SRTP_A_F2_210413_ZMB	SRTP_A_F2_210705_ZHMW	SRTP_A_F2_210705_ZMB	SRTP_A_F3_210317_ZHMW	SRTP_A_F3_210317_ZMB	SRTP_A_F3_210401_ZHMW	SRTP_A_F3_210401_ZMB	SRTP_A_F3_210413_ZHMW	SRTP_A_F3_210413_ZMB	SRTP_A_F3_210704_ZHMW	SRTP_A_F3_210704_ZMB	SRTP_A_F3_210803_ZHMW	SRTP_A_F3_210803_ZMB	SRTP_A_F3_211003_ZHMW	SRTP_A_F3_211003_ZMB	SRTP_A_F3_211203_ZHMW	SRTP_A_F3_211203_ZMB	SRTP_A_F4_210317_ZHMW	SRTP_A_F4_210317_ZMB	SRTP_A_F4_210330_ZHMW	SRTP_A_F4_210330_ZMB	SRTP_A_F4_210413_ZHMW	SRTP_A_F4_210413_ZMB	SRTP_A_F4_210704_ZHMW	SRTP_A_F4_210704_ZMB	SRTP_A_F4_211203_ZHMW	SRTP_A_F4_211203_ZMB	SRTP_A_M1_210317_ZHMW	SRTP_A_M1_210317_ZMB	SRTP_A_M1_210412_ZHMW	SRTP_A_M1_210412_ZMB	SRTP_A_M1_210415_ZHMW	SRTP_A_M1_210415_ZMB	SRTP_A_M1_210705_ZHMW	SRTP_A_M1_210705_ZMB	SRTP_A_M1_210903_ZHMW	SRTP_A_M1_210903_ZMB	SRTP_A_M2_210317_ZHMW	SRTP_A_M2_210317_ZMB	SRTP_A_M2_210330_ZHMW	SRTP_A_M2_210330_ZMB	SRTP_A_M2_210415_ZHMW	SRTP_A_M2_210415_ZMB	SRTP_A_M2_210704_ZHMW	SRTP_A_M2_210704_ZMB	SRTP_A_M2_210803_ZHMW	SRTP_A_M2_210803_ZMB	SRTP_A_M2_211203_ZHMW	SRTP_A_M2_211203_ZMB	SRTP_A_M3_210414_ZHMW	SRTP_A_M3_210414_ZMB	SRTP_A_M3_210903_ZHMW	SRTP_A_M3_210903_ZMB	SRTP_A_M3_211203_ZHMW	SRTP_A_M3_211203_ZMB	SRTP_A_M4_210317_ZHMW	SRTP_A_M4_210317_ZMB	SRTP_A_M4_210401_ZHMW	SRTP_A_M4_210401_ZMB	SRTP_A_M4_210704_ZHMW	SRTP_A_M4_210704_ZMB	SRTP_A_M4_210803_ZHMW	SRTP_A_M4_210803_ZMB
[Clostridium] colinum	39.0827232767702	321.755639898896	52.7882650470808	82.1838014086587	1055.48415614005	550.055768781225	172.385169302081	231.252296138688	572.076329850932	145.304616458787	224.465754300652	214.099179431072	21.0577102078809	33.0661612488111	342.826870782254	242.915959705779	1190.75261147811	437.161562414189	95.2650893401491	74.0918500441789	0	0	347.810180869069	223.902415075151	131.4970272003	219.269584554655	378.67798793279	217.27818078818	46.0512369078203	11.0200919569188	685.750639823194	66.1492013439846	26.0340406234686	0	0	31.0975592230487	123.354698447744	84.2875897063379	591.516943472085	472.76866886967	380.627717552278	894.994489979065	1747.58838737294	314.177889850308	32.0640773164314	641.36117461967	886.67560790395	300.913919688933	720.131158727577	500.245625388633	535.636734856073	1047.26292015371	1684.64758070674	456.952211709337	48.1476617268613	221.655297091719	23.0746704434034	0	400.2433789524	651.182011955073	166.483558803199	831.490177568844	1516.94832739915	316.516819900557	1092.03806488855	359.380618316276	2018.63172381738	206.547647510125	138.751733245295	73.2151061871722	2866.33064849195	516.450652220117	66.199888744669	217.574434300263	295.316054126366	362.092327384548	55.2979242474363	339.506251776102	507.203583871445	264.473073102783
[Clostridium] dakarense	0	16.9158199591061	0	13.886046138827	0	0	0	0	33.8805354878348	33.7098412167404	0	0	1968.6012407383	3975.04500310404	14.0724401832612	33.9630800494187	0	0	0	105.648800436355	0	0	0	0	0	0	0	0	53.1477171218622	27.4473455962158	38.0520955866071	20.8470528336595	0	0	0	0	0	17.803895739728	0	0	0	0	0	0	36.373090012278	2613.22483077585	0	0	0	0	0	0	267.333370640666	124.033023856943	0	0	468.421247146415	119.816112182759	0	0	15.6906079287871	20.3508905336681	0	0	0	0	0	0	22.157304554959	13.5085629502224	13.4247242590409	17.1679660158946	16.3762638368708	383.890061786263	0	0	0	0	0	11.3409234615844
[Clostridium] leptum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0313033128309	0	0	0	0	0	0	0	0	0	0	0	16.4417563380311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] saccharogumia	0	0	110.128446671071	10.9196316105952	135.306930680445	73.7762120634129	0	0	75.2603871850817	32.7609150450058	12.3147455467501	0	622.089498288789	390.377989707746	18.0444711114579	0	56.5712951619692	35.3191769042999	46.7961477496924	45.2933479127632	185.305898490166	0	38.5992917911161	34.820006473628	0	73.6146088067646	59.4714413148702	33.4702358855148	96.8319795981535	53.4346618283889	311.844125378123	15.2379061014296	0	0	117.967517165632	0	75.8213949193312	12.0284551952891	71.5940599516557	20.2304114569298	0	11.1355226418246	142.865775417291	10.6775571667888	14.7715413460409	47.3923203236037	50.6238036974875	0	26.5447623455987	30.1172995103812	18.6505751958031	39.1599621339491	50.986152736657	19.2841948975428	0	0	12.3427268527675	0	148.570296928695	49.7848819231669	14.0407820677378	26.2338749848464	346.261447278735	27.3442667854	154.28924860462	52.3938121333885	993.555761601934	129.073160805439	25.7162983216858	0	58.027143738958	0	0	0	26.2755312695496	18.5395222922359	20.107781799568	29.9396355817573	178.57035638942	115.461518265808
[Clostridium] scindens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.0469923349102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Clostridium] spiroforme	19.0374265021705	145.265058973379	148.726800085391	112.735489350373	82.3162298974022	133.889607324729	29.0649413962688	52.0568223098545	78.0316120808765	148.140766806126	22.9153065137768	21.1912776976249	466.417848060154	482.325041843808	18.9989742627343	28.1013889670152	42.828270696351	223.269007326481	30.3457000272267	294.14610227129	73.1736154840643	42.0499460556513	24.9359455433258	97.7096665950664	0	207.316015910896	202.725167992883	255.94698156285	108.954684253009	84.0262627676038	142.71430352022	79.8072387407087	0	0	88.8077606310616	115.361912666003	41.5160001569578	91.3229105742396	42.3329143505927	178.092843645917	23.0943516036479	224.126740422233	117.248499192247	153.712337349605	113.733565125589	84.0916802432779	82.5229173859758	68.207169295136	16.5894000592338	46.9341748581676	17.3919176299812	137.195526623163	55.141841685041	98.9722133777462	57.1959607519159	212.181023642673	41.952000101512	165.002737654246	113.789186137072	475.598200650984	0	152.028487910318	344.060218686644	99.898758089255	107.669777956979	590.695505669528	428.736757021556	123.027312172154	67.4541194327951	101.30554162447	87.1695925588535	81.2320088081986	44.0519291228184	47.1943047862494	11.8961025589979	81.8024862557274	0	316.613967633852	95.3540807643894	196.53616899067
[Clostridium] symbiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.036144052072	0	0	0	0	13.6177366021392	0	0	0	0	0	0	0	0	0	0	13.2735763296084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2664648228624	0
[Eubacterium] brachy	0	0	0	0	0	0	0	0	0	0	0	54.2786893937933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] rectale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3355442063832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium] tenue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5898644036211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1174713355221	0	0	0	0	26.4562411382565	39.172158346372	0	419.367074216093	0	0	0	10.5654320232108	0	0	17.3545697422385	14.3206480735833	0	0	16.1794607183169	0	0	0	0	0	0	0	0	0	0	0	13.4807385203403	75.6821108580976	0	0	0	0	0	0	0	0	0	0
