superkingdom	phylum	class	order	family	genus	species	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	4832.00337557095	5940.48516592204	3751.39431881211	3528.23871352593	4870.65518608313	4924.11241122091	3352.63159921153	3199.48572957814	2768.34342256596	70.5507370668783	53.3926769766261	52.4620628907841	131.538208255693	171.223814869175	117.428443522941	74.4524283585914	209.011438854199	222.722784969623	44008.1203152593	25906.2855702142	31501.8038057768	55273.8971171502	20552.6481080044	35427.7493680399	33782.0597466383	17473.2376933042	63365.1167781963
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	missing	Phocaeicola	Phocaeicola dorei	11884.8947244384	15398.8167521648	9410.8458468166	9072.5032369162	12093.1366122009	12357.9705236714	7757.88536005311	8301.4016601094	7403.27728507761	111.729558458655	57.0938377150112	87.8093320983068	113.467836092912	263.706679138492	122.568157301448	48.2009531055736	281.900687637871	213.321724618063	66871.0440585207	43378.7286316844	50846.1277946452	78017.9194025788	30003.9783937687	53695.4212287605	49355.8241772219	27532.150425474	94466.3590725993
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	missing	Phocaeicola	Phocaeicola massiliensis	3259.45366209548	3734.5135047396	2507.83994297688	2442.04828369166	3541.24052607916	3480.14403630818	2388.62908464125	2076.32899530274	1934.69276863606	0	0	0	80.0657685375616	89.6954331143085	55.0011394932861	0	139.050711332278	60.9034450224242	41905.66029073	26347.6015408366	31468.6977341101	49175.9205963132	19675.2924365288	33480.5870843688	31696.139706904	17232.4395852362	62072.3560111785
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus animalis	140.168849891028	100.091666740472	128.165219017855	56.039913172417	76.0453092400864	132.069944385666	92.1779464396469	0	56.1222886172176	33875.780444673	25199.4171696698	22290.4483427169	27472.3079161244	56688.8962462239	29695.9571794595	23290.8457858017	65912.6268352692	49048.1326330127	160.091736488863	116.100104889831	112.093914304708	196.053759463051	136.100055633754	124.063779527559	112.100253210408	92.1155299601077	140.067541581993
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus alactolyticus	1247.79055415433	849.022806799873	1117.49185825667	636.387665203301	896.691948870735	1164.41489104066	973.993321643913	228.519790532974	734.408994063523	274566.192201106	208091.221771766	180746.531407	211376.792542413	431634.675976224	214150.989785843	170852.500377786	510235.370801853	371910.151040085	1176.14036603506	504.418537831479	1149.2256878882	1460.85901043409	1036.77436277042	1011.38005341612	864.776695335051	372.467142882172	1127.9837800152
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	20719.315174299	26699.5103192543	17626.1413950022	29079.3758215913	38982.879245241	43693.1245024027	15039.9189843387	14495.0039091935	15710.4697273114	1464.70869211003	1020.67379602609	1189.12219273187	1636.89811647422	3010.37938053831	1875.49771672279	1222.21667732386	3055.68419504314	3170.90399063299	52882.7179151999	40706.0794750149	32129.7211287159	101592.161038632	41080.5899286314	53061.5958619525	42896.4508210842	27093.7525979138	62617.1046766263
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	38073.0066864354	48377.4870552962	31159.78298211	56642.6561183481	74262.5993581415	82260.5195070818	23149.6332532847	22561.6242424511	23774.7605064994	88.2956269945873	96.2117942222301	93.018034632312	124.724878905611	170.505061753128	74.8948886747258	42.1803687833377	209.871125055023	179.531940933853	25390.8620243069	21302.9410960759	15769.7150762028	57308.9096235174	26622.3148408186	31082.6972656172	17107.9107158143	13106.4049753864	25378.9881829086
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia faecis	34580.0308614553	45359.3428189221	28432.4979096533	53185.8238967056	74712.4445490937	76702.2356816415	20841.6544477877	20576.0675435471	21924.9353951889	2067.62863365799	1561.39223330903	1283.69806874933	1347.32543992717	3267.64101772765	1263.0194897489	1054.50719120947	3339.28322975819	2654.6045113941	95266.9027367014	63870.6172143396	55973.0407066193	209517.373914339	78054.2031295732	106768.070659916	63852.5249937684	38083.176003254	89389.287263877
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia glucerasea	5180.55401432683	6644.03349684218	4264.06025158195	7352.20327697053	9063.92237980977	11884.2867281057	2923.02193015608	3102.77577357025	3467.87838214511	101090.740893286	74382.6568884763	70483.7539069237	81617.5374164041	164888.35051118	90685.4190541894	67214.8319421096	195940.860107561	153545.80915029	1561.06875310689	1149.67742929321	1102.91240950702	3444.66195703307	1656.96025625595	1786.43866917533	1056.60732324201	618.579603680899	1500.25280487873
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia luti	33118.7961386263	43671.7756609226	26450.5695219629	47518.6399929952	64473.3228317203	71487.3518255989	19740.6636116246	20391.6731557806	20698.0559860017	8386.56318502137	5827.42340529727	6418.08190812558	11349.850567361	20148.0338510327	12277.9340133408	8929.24528245941	24140.7542234436	20684.2471329871	46531.5544809191	32215.1789316473	29068.413833079	107168.708855071	34202.7724430208	54719.5946967267	30306.9627317532	18148.1793333613	43674.4078867968
