taxon	source	mean_abundance	sd_abundance	similarity	text
Bifidobacterium adolescentis	Canis_lupus	0.00010759177197264	6.53607381161943e-05	Closer to C. lupus	""
Bifidobacterium adolescentis	FR	0.000134125316635174	7.47115088931541e-05	Closer to C. lupus	Cl
Bifidobacterium adolescentis	Homo_sapiens	0.0118509109272468	0.00894323987834668	Closer to C. lupus	""
Bacteroides fragilis	Canis_lupus	0.000174511273912579	4.92801219053239e-05	Closer to H. sapiens	""
Bacteroides fragilis	FR	0.000384462528831604	0.000139100285535601	Closer to H. sapiens	Hs
Bacteroides fragilis	Homo_sapiens	0.000192912296433474	7.03531453445341e-05	Closer to H. sapiens	""
Bacillus subtilis	Canis_lupus	0.000448405310145797	0.000202249196453032	Closer to H. sapiens	""
Bacillus subtilis	FR	0.000580460600115766	0.000296961645520833	Closer to H. sapiens	Hs
Bacillus subtilis	Homo_sapiens	0.00067756225534071	0.000211017866718064	Closer to H. sapiens	""
Listeria monocytogenes	Canis_lupus	0.000184543900014873	7.16790459313236e-05	Closer to C. lupus	""
Listeria monocytogenes	FR	0.000219227453356796	9.30107652507272e-05	Closer to C. lupus	Cl
Listeria monocytogenes	Homo_sapiens	0.000268219350758974	8.22994549756324e-05	Closer to C. lupus	""
Staphylococcus aureus	Canis_lupus	0.00021285006178499	7.76530459304165e-05	Closer to C. lupus	""
Staphylococcus aureus	FR	0.000238785994686317	0.000111806815170887	Closer to C. lupus	Cl
Staphylococcus aureus	Homo_sapiens	0.000291388275247031	9.00152435791106e-05	Closer to C. lupus	""
Enterococcus faecalis	Canis_lupus	0.000225460105963961	8.47959809294689e-05	Closer to H. sapiens	""
Enterococcus faecalis	FR	0.000262293651031606	0.000145215613626843	Closer to H. sapiens	Hs
Enterococcus faecalis	Homo_sapiens	0.000280716944638568	8.6825425480444e-05	Closer to H. sapiens	""
Limosilactobacillus fermentum	Canis_lupus	0.000257604507571926	9.95419682223648e-05	Closer to H. sapiens	""
Limosilactobacillus fermentum	FR	0.000305679432439962	0.000150632467006623	Closer to H. sapiens	Hs
Limosilactobacillus fermentum	Homo_sapiens	0.000336914829349765	0.000122598769352813	Closer to H. sapiens	""
Streptococcus alactolyticus	Canis_lupus	0.181017690700818	0.0161471021479328	Closer to H. sapiens	""
Streptococcus alactolyticus	FR	0.000617124326474473	0.000330127996518997	Closer to H. sapiens	Hs
Streptococcus alactolyticus	Homo_sapiens	0.00065727852540483	0.000206687201252556	Closer to H. sapiens	""
Blautia faecis	Canis_lupus	0.00124833170375106	0.000196085849215983	Closer to C. lupus	""
Blautia faecis	FR	0.0249948454553778	0.000801116737291938	Closer to C. lupus	Cl
Blautia faecis	Homo_sapiens	0.0560255718220669	0.00293479717623919	Closer to C. lupus	""
Blautia glucerasea	Canis_lupus	0.0700774203905833	0.00330604019426311	Closer to H. sapiens	""
Blautia glucerasea	FR	0.00363346430536018	0.00023767495148186	Closer to H. sapiens	Hs
Blautia glucerasea	Homo_sapiens	0.000984353759139638	0.000117647685755253	Closer to H. sapiens	""
Blautia luti	Canis_lupus	0.00808611278492484	0.00169694566939743	Closer to H. sapiens	""
Blautia luti	FR	0.0233670437631018	0.000600656117043001	Closer to H. sapiens	Hs
Blautia luti	Homo_sapiens	0.027462426772611	0.00180150980007514	Closer to H. sapiens	""
Blautia sp. SC05B48	Canis_lupus	0.00681566428569819	0.000137250081323628	Closer to C. lupus	""
Blautia sp. SC05B48	FR	0.0195331758410356	0.000288469549874473	Closer to C. lupus	Cl
Blautia sp. SC05B48	Homo_sapiens	0.195063240894935	0.0105673211399415	Closer to C. lupus	""
Blautia wexlerae	Canis_lupus	0.0151077053250584	0.000226968895385294	Closer to C. lupus	""
Blautia wexlerae	FR	0.0338033760865477	0.000864916254203746	Closer to C. lupus	Cl
Blautia wexlerae	Homo_sapiens	0.126419833213597	0.00448227175402993	Closer to C. lupus	""
Roseburia hominis	Canis_lupus	0.00398933825290671	0.000183543879980593	Closer to H. sapiens	""
Roseburia hominis	FR	0.0460157356662847	0.00131932303752554	Closer to H. sapiens	Hs
Roseburia hominis	Homo_sapiens	0.00661868016443693	0.00054206161381178	Closer to H. sapiens	""
Clostridioides difficile	Canis_lupus	0.000161593868716252	4.44992517920812e-05	Closer to C. lupus	""
Clostridioides difficile	FR	0.000166795387740191	6.49837835010408e-05	Closer to C. lupus	Cl
Clostridioides difficile	Homo_sapiens	0.000182742726465857	5.91956955625172e-05	Closer to C. lupus	""
Peptacetobacter hiranonis	Canis_lupus	0.211317426929594	0.0122019596699496	Closer to H. sapiens	""
Peptacetobacter hiranonis	FR	0.000707727412089282	0.000358359039229271	Closer to H. sapiens	Hs
Peptacetobacter hiranonis	Homo_sapiens	0.00074099578492684	0.000224731076192465	Closer to H. sapiens	""
Faecalibacterium prausnitzii	Canis_lupus	0.038156326859443	0.00388918340638706	Closer to H. sapiens	""
Faecalibacterium prausnitzii	FR	0.116400258884228	0.00809699843093052	Closer to H. sapiens	Hs
Faecalibacterium prausnitzii	Homo_sapiens	0.120950165582097	0.0143548245655723	Closer to H. sapiens	""
Ruminococcus bromii	Canis_lupus	0.000131021927246147	3.37549171003194e-05	Closer to H. sapiens	""
Ruminococcus bromii	FR	0.0378306244153737	0.00498938348014388	Closer to H. sapiens	Hs
Ruminococcus bromii	Homo_sapiens	0.0393498964113353	0.00652353318141275	Closer to H. sapiens	""
Veillonella rogosae	Canis_lupus	0.000796135022679441	0.000333036444314573	Closer to H. sapiens	""
