feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	heatmap_value	is.significant	sign	level
Bacteria.Candidatus.Melainabacteria	source	Canis_lupus	-3.88136460275355	0.129987660104345	1.71695991021503e-20	sourceCanis_lupus	4.12070378451608e-19	27	27	-18.3850286034744	TRUE	-	phylum
Bacteria.Candidatus.Melainabacteria	source	Homo_sapiens	-3.30764801553682	0.129987660104345	7.12268414334483e-19	sourceHomo_sapiens	8.5472209720138e-18	27	27	-17.0681750680444	TRUE	-	phylum
Bacteria.Fusobacteria	source	Canis_lupus	7.00851388826622	0.335752779142229	6.77009232867893e-17	sourceCanis_lupus	5.41607386294315e-16	27	26	15.2663154214924	TRUE	+	phylum
Bacteria.Synergistetes	source	Canis_lupus	-1.78299198641321	0.0954887961817602	8.46248445173358e-16	sourceCanis_lupus	4.06199253683212e-15	27	9	-14.3912608788671	TRUE	-	phylum
Bacteria.Synergistetes	source	Homo_sapiens	-1.78299198641321	0.0954887961817602	8.46248445173358e-16	sourceHomo_sapiens	4.06199253683212e-15	27	9	-14.3912608788671	TRUE	-	phylum
Bacteria.Lentisphaerae	source	Canis_lupus	-1.35699754643659	0.0741395682018262	1.32556367095264e-15	sourceCanis_lupus	4.54478972898047e-15	27	9	-14.3424862052156	TRUE	-	phylum
Bacteria.Lentisphaerae	source	Homo_sapiens	-1.3569975464366	0.0741395682018262	1.32556367095262e-15	sourceHomo_sapiens	4.54478972898047e-15	27	9	-14.3424862052156	TRUE	-	phylum
Bacteria.Deferribacteres	source	Canis_lupus	1.54113574826357	0.099437488441356	5.3160044715808e-14	sourceCanis_lupus	1.59480134147424e-13	27	9	12.7972934077008	TRUE	+	phylum
Bacteria.Verrucomicrobia	source	Canis_lupus	-7.53324120880527	0.495220422079538	7.99598315752818e-14	sourceCanis_lupus	2.13226217534085e-13	27	16	-12.6711593970641	TRUE	-	phylum
Bacteria.Verrucomicrobia	source	Homo_sapiens	-6.8672950444141	0.495220422079538	5.92513234148579e-13	sourceHomo_sapiens	1.42203176195659e-12	27	16	-11.8470907032628	TRUE	-	phylum
Bacteria.Tenericutes	source	Homo_sapiens	-3.11524641600121	0.243220029857755	3.2040408395248e-12	sourceHomo_sapiens	6.9906345589632e-12	27	18	-11.1554834003705	TRUE	-	phylum
Bacteria.Bacteroidetes	source	Canis_lupus	-2.10010281463795	0.204722282760013	2.9802388817011e-10	sourceCanis_lupus	5.96047776340221e-10	27	27	-9.22471892789511	TRUE	-	phylum
Bacteria.Proteobacteria	source	Canis_lupus	1.68583723799784	0.172445240419456	7.63579424514952e-10	sourceCanis_lupus	1.40968509141222e-09	27	27	8.85087789325706	TRUE	+	phylum
Bacteria.Bacteroidetes	source	Homo_sapiens	1.47593598951461	0.204722282760013	1.89116294446391e-07	sourceHomo_sapiens	3.241993619081e-07	27	27	6.4891878442687	TRUE	+	phylum
Bacteria.Firmicutes	source	Homo_sapiens	-0.131150164657036	0.0217618460768712	3.19160577014477e-06	sourceHomo_sapiens	5.10656923223163e-06	27	27	-5.29187077577579	TRUE	-	phylum
Bacteria.Tenericutes	source	Canis_lupus	-1.09550034679056	0.243220029857755	0.000146551883229037	sourceCanis_lupus	0.000219827824843555	27	18	-3.65791733733927	TRUE	-	phylum
Bacteria.Proteobacteria	source	Homo_sapiens	0.580517548802484	0.172445240419456	0.00256039748221774	sourceHomo_sapiens	0.00361467879842505	27	27	2.4419302882088	TRUE	+	phylum
Bacteria.Cyanobacteria	source	Canis_lupus	-0.48400347870639	0.205259851232388	0.0268611793246348	sourceCanis_lupus	0.0339299107258545	27	3	-1.4694172830404	TRUE	-	phylum
Bacteria.Cyanobacteria	source	Homo_sapiens	-0.48400347870639	0.205259851232388	0.0268611793246348	sourceHomo_sapiens	0.0339299107258545	27	3	-1.4694172830404	TRUE	-	phylum
Bacteria.Fusobacteria	source	Homo_sapiens	0.718465627390571	0.335752779142229	0.0427377302060965	sourceHomo_sapiens	0.0512852762473157	27	26	1.29000730082118	FALSE	+	phylum
Bacteria.Firmicutes	source	Canis_lupus	0.0274482310992933	0.0217618460768712	0.219323228432431	sourceCanis_lupus	0.250655118208492	27	27	0.600923422959919	FALSE	+	phylum
Bacteria.Actinobacteria	source	Homo_sapiens	0.799389652552049	0.915527510296503	0.39123594254871	sourceHomo_sapiens	0.426802846416775	27	27	0.369772692858214	FALSE	+	phylum
Bacteria.Actinobacteria	source	Canis_lupus	0.575112651389971	0.915527510296502	0.535821042805239	sourceCanis_lupus	0.559117609883727	27	27	0.252496829052559	FALSE	+	phylum
Bacteria.Deferribacteres	source	Homo_sapiens	3.38146720037016e-15	0.099437488441356	0.999999999999973	sourceHomo_sapiens	0.999999999999973	27	9	1.16683623452949e-14	FALSE	+	phylum
Bacteria.Firmicutes.Bacilli	source	Canis_lupus	5.35797745578711	0.10772808291379	1.00307948832904e-25	sourceCanis_lupus	4.61416564631359e-24	27	27	23.3359068185734	TRUE	+	class
Bacteria.Candidatus.Melainabacteria.unassigned	source	Canis_lupus	-3.88136460275355	0.129987660104345	1.71695991021501e-20	sourceCanis_lupus	3.94900779349452e-19	27	27	-18.4035120091684	TRUE	-	class
Bacteria.Candidatus.Melainabacteria.unassigned	source	Homo_sapiens	-3.30764801553682	0.129987660104345	7.12268414334473e-19	sourceHomo_sapiens	1.09214490197953e-17	27	27	-16.9617197371301	TRUE	-	class
Bacteria.Firmicutes.Clostridia	source	Canis_lupus	-0.56503110064647	0.02365973833575	3.08873951971168e-18	sourceCanis_lupus	3.55205044766843e-17	27	27	-16.4495208748224	TRUE	-	class
Bacteria.Firmicutes.Negativicutes	source	Canis_lupus	1.64790760858916	0.0739091734011196	1.49947670344878e-17	sourceCanis_lupus	1.37951856717288e-16	27	27	15.8602724499028	TRUE	+	class
Bacteria.Fusobacteria.Fusobacteriia	source	Canis_lupus	7.00851388826622	0.335752779142229	6.77009232867884e-17	sourceCanis_lupus	5.19040411865378e-16	27	26	15.2847988271865	TRUE	+	class
Bacteria.Proteobacteria.Epsilonproteobacteria	source	Canis_lupus	1.48212851945771	0.0739311914021902	1.69737086907634e-16	sourceCanis_lupus	1.11541514253588e-15	27	9	14.952563463955	TRUE	+	class
Bacteria.Synergistetes.Synergistia	source	Canis_lupus	-1.78299198641321	0.0954887961817602	8.46248445173358e-16	sourceCanis_lupus	4.32526983088605e-15	27	9	-14.3639867940004	TRUE	-	class
Bacteria.Synergistetes.Synergistia	source	Homo_sapiens	-1.78299198641321	0.0954887961817602	8.46248445173358e-16	sourceHomo_sapiens	4.32526983088605e-15	27	9	-14.3639867940004	TRUE	-	class
