superkingdom	phylum	class	order	family	genus	species	Gram.Stain	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	positive	290.604166034062	169.360326316276	205.797545559743	164.918186982999	228.484728728554	209.098150724728	221.557029492969	40.3618737743612	173.857971628337	186.78568683182	104.70433893103	64.2775148928016	268.50983553223	290.174933565909	72.5148616643641	0	380.880394813015	272.855819426073	29846.8017939568	17589.305157565	16151.9989068726	336.10727173851	256.023909649095	234.184565340055	24035.1370914229	12503.7372908975	32461.74621025
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	positive	0	0	0	0	0	0	0	0	0	0	0	0	44.0838603082044	113.499192880931	73.4527962647036	0	174.946709236613	86.0180461597138	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum	positive	2039.41601147028	2340.1754574309	1520.04896012041	0	0	0	1335.63136083425	1563.4441774825	1214.12976455369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium choerinum	positive	0	0	0	0	0	0	0	0	0	0	0	0	164.29956078611	396.786896191315	148.237510941451	188.861837378573	434.698605270657	348.823599504498	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium faecale	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	729.594551025974	703.835549917762	571.409950492723	0	0	0	653.023795972698	301.041940097239	678.38600900331
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium gallinarum	positive	0	0	0	0	0	0	0	0	0	0	0	0	569.638508112714	1077.54859191827	675.132603909116	662.134530653559	1572.74957447438	1182.28829920148	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	positive	1409.15918643633	1631.24013937703	1011.1395241372	0	0	0	1020.06096290679	1182.23283090372	998.131297492235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	positive	4740.896912312	5842.39911596627	3761.99580613391	0	0	0	3763.12898714939	3893.4797102094	3067.23746132277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum	positive	0	0	0	0	0	0	0	0	0	0	0	0	1754.09470549411	3994.56404587441	1767.23052029746	1680.85100671528	5066.8536481356	3175.48318348832	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pullorum	positive	0	0	0	0	0	0	0	0	0	0	0	0	81.8330358634054	120.194859606599	55.0932722086211	62.0792891563685	89.3561375621046	135.417772185735	0	0	0	0	0	0	0	0	0
