phylum	WGS_kraken2_kraken2_standard_ONT_Z1	WGS_kraken2_kraken2_standard_NovaSeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Z4	WGS_kraken2_kraken2_standard_MySeq_Z3	WGS_kraken2_kraken2_standard_MySeq_Z2	WGS_kraken2_kraken2_standard_MySeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Acidobacteriota	272	572	73	73	74	50	34	21	17	23	50	60	91	127	42	44	137	53
Actinomycetota	87713	512965	20741	36562	42541	39053	1438	770	546	814	44031	34084	51292	156715	25731	33509	78487	35310
Aquificota	30	56	4	6	11	5	5	12	6	6	12	7	17	27	13	12	24	11
Armatimonadota	27	122	4	4	6	3	0	1	0	1	7	4	2	16	5	4	13	5
Bacillota	1494377	5434152	268762	370411	386863	318755	83847	111143	52356	78525	323721	297026	535055	890319	387203	385518	940300	497582
Bacteroidota	26182	25339	55497	129482	112040	225627	371089	585869	349423	393911	41106	59857	199097	74547	64663	79207	270022	81424
Bdellovibrionota	98	158	11	15	25	27	10	14	16	11	14	21	33	48	21	21	65	19
Calditrichota	2	17	4	1	1	1	1	4	3	3	5	3	0	6	2	4	7	3
Campylobacterota	7864	13695	5879	3682	2426	4969	9192	7511	6185	9995	652	1117	5930	1948	2041	2309	12456	2619
Candidatus_Saccharibacteria	32	66	6	6	5	1	2	1	0	4	1	2	2	4	2	1	3	3
Candidatus_Thermoplasmatota	63	81	13	16	13	14	1	1	1	0	18	12	25	36	9	14	42	8
Chlamydiota	92	59	10	7	11	10	2	7	4	4	22	13	22	53	15	22	40	22
Chlorobiota	89	142	21	16	19	14	5	6	4	9	11	14	33	43	23	30	56	20
Chloroflexota	83	137	7	20	15	25	14	9	10	12	13	12	23	36	11	7	26	16
Chordata	23419	6517	372	502	570	513	998	1096	891	1286	935	983	1476	1957	1241	1469	3088	1327
Chrysiogenota	41	12	0	1	2	2	0	0	0	0	1	1	3	3	0	2	7	3
Cyanobacteriota	868	1735	169	203	193	219	92	99	90	119	229	201	338	578	243	267	646	273
Deferribacterota	103	141	21	27	27	20	12	34	27	22	14	29	38	42	20	31	70	27
Deinococcota	124	431	31	36	27	42	12	9	5	10	32	32	62	83	34	21	75	28
Dictyoglomota	48	79	12	10	12	19	8	10	12	10	14	15	25	29	19	21	56	27
Elusimicrobiota	26	59	2	6	7	5	3	2	4	3	7	3	11	22	4	9	18	6
Euryarchaeota	781	1997	136	188	181	221	53	57	47	76	213	209	312	581	255	246	636	281
Fibrobacterota	2	48	4	4	4	2	0	1	2	1	1	1	2	2	2	1	5	1
Fusobacteriota	27668	37454	1956	7169	6223	4518	13196	24627	18463	22049	2755	4392	8889	6117	4930	6336	19585	4968
Gemmatimonadota	14	147	9	7	8	11	0	0	1	0	4	10	5	25	5	5	14	5
Ignavibacteriota	39	30	4	8	7	9	0	1	0	0	3	6	4	7	3	6	8	3
Lentisphaerota	6	1	1	1	1	2	7	3	3	7	2	1	1	2	0	0	1	0
missing	62	366	7	21	16	17	1	5	2	2	13	20	18	78	20	17	45	13
Mycoplasmatota	782	1019	81	95	119	128	115	196	161	176	192	183	313	406	277	267	632	316
Myxococcota	381	1884	66	84	107	105	15	8	4	5	107	115	121	323	77	78	229	77
Nitrososphaerota	81	71	3	8	6	8	0	2	1	1	8	14	13	25	8	15	26	14
Nitrospirota	66	82	6	9	9	9	3	6	7	5	19	19	22	39	14	18	25	15
Nucleocytoviricota	50	141	13	15	23	10	5	5	10	14	10	15	19	21	17	17	48	20
Planctomycetota	427	909	91	57	61	62	27	31	19	34	54	67	83	172	49	53	131	47
Pseudomonadota	18618	40869	4020	3976	4565	4758	2654	2945	2131	2637	3458	3462	5539	9783	3452	3691	9751	3994
Rhodothermota	35	52	7	8	9	3	11	8	4	6	4	5	10	13	3	6	9	2
Spirochaetota	1487	2056	197	247	279	234	90	122	103	129	237	238	398	608	217	296	646	325
Synergistota	147	240	25	35	37	28	14	12	5	10	20	18	37	74	22	20	70	24
Thermodesulfobacteriota	1261	3165	195	284	355	353	83	93	72	84	271	271	421	813	262	278	738	313
Thermodesulfobiota	41	24	2	1	2	3	3	8	2	4	6	5	14	19	9	11	9	9
Thermomicrobiota	8	46	3	6	8	7	4	2	5	1	4	7	7	16	5	3	17	3
Thermoproteota	52	80	5	14	4	3	8	11	7	12	11	14	27	27	16	15	41	21
Thermotogota	214	317	26	31	44	44	45	69	43	72	45	51	88	133	69	59	136	64
Uroviricota	33	44	16	27	15	18	16	15	12	14	17	12	18	38	24	17	46	19
Verrucomicrobiota	281	811	60	85	125	127	10	20	13	18	69	75	126	177	86	75	196	91
