order	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Acanthopleuribacterales	6	7	0	1	0	0	1	2	0	0	0	1	2	1	0	0	0	0
Acaryochloridales	18	13	1	1	1	0	0	0	0	1	2	1	2	4	2	2	5	1
Acholeplasmatales	116	242	11	22	22	26	10	25	6	10	28	30	52	88	63	53	139	77
Acidaminococcales	333	397	29	28	45	49	16	8	5	6	45	42	60	107	45	59	137	46
Acidiferrobacterales	10	12	5	0	1	1	2	2	1	1	2	1	0	1	2	1	2	1
Acidilobales	1	6	0	0	0	0	2	3	1	4	0	0	0	2	0	1	4	1
Acidimicrobiales	28	447	106	34	30	43	8	1	4	2	37	50	40	117	28	36	90	40
Acidithiobacillales	13	48	0	4	0	1	0	0	0	0	1	3	3	5	2	0	3	2
Actinomycetales	1021	5798	103	139	162	168	37	31	17	16	174	115	235	616	128	125	337	137
Actinopolysporales	6	15	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Aeromonadales	399	544	28	41	47	55	21	26	14	24	41	41	55	115	44	52	107	48
Algavirales	13	2	0	3	5	1	2	4	5	8	1	3	0	3	0	2	7	0
Alteromonadales	862	1186	95	118	133	154	94	143	84	130	120	132	181	342	154	159	411	168
Anaerolineales	13	23	3	3	2	5	7	0	5	9	3	1	3	5	1	0	5	5
Aquificales	25	48	3	5	9	5	4	12	4	4	11	4	15	26	12	11	24	10
Archaeoglobales	22	41	7	3	5	6	1	0	0	0	6	3	8	17	8	15	22	7
Atribacterales	9	2	2	3	3	3	0	0	0	0	1	0	0	8	0	2	0	0
Bacillales	20542	24420	2324	2851	3006	3238	712	1064	733	961	3482	3046	5295	8267	3674	3903	9402	4409
Bacteriovoracales	22	36	2	2	7	6	4	2	6	2	6	4	8	10	6	6	11	5
Bacteroidales	19168	16583	54577	128409	110981	224367	370069	584462	348349	392546	39874	58602	196983	71622	63150	77657	266081	79723
Balneolales	3	13	0	0	2	0	0	0	0	1	0	0	1	4	1	2	1	1
Bdellovibrionales	58	86	9	10	14	18	5	6	5	4	1	13	15	25	5	8	29	7
Bifidobacteriales	1212	5752	9321	19157	23081	16691	64	46	45	62	20829	14988	24703	74157	7496	10554	23751	12026
Brachyspirales	210	194	7	20	17	20	36	59	50	70	23	34	51	67	34	46	96	39
Bradymonadales	29	269	7	15	9	14	1	1	0	0	11	17	13	63	14	13	36	10
Bryobacterales	18	8	4	5	6	4	9	3	1	4	3	4	15	3	0	1	7	3
Bunyavirales	0	0	0	0	0	0	2	4	1	4	0	0	0	2	1	1	2	0
Burkholderiales	2201	5871	441	572	636	775	988	1170	930	1007	370	477	734	1183	374	449	1290	404
Caldicellulosiruptorales	258	336	50	43	78	56	11	9	10	22	62	56	109	122	59	81	207	63
Caldilineales	2	12	0	1	1	0	0	2	0	0	0	1	2	4	0	0	1	1
Caldisericales	1	0	0	1	0	1	0	1	1	2	4	0	4	7	1	4	6	2
Calditrichales	2	17	4	1	1	1	1	4	3	3	5	3	0	6	2	4	7	3
Campylobacterales	7682	13587	5864	3670	2412	4960	9178	7500	6171	9979	641	1101	5908	1918	2024	2297	12423	2599
Candidatus_Babeliales	21	5	0	2	5	1	0	4	2	1	1	2	3	5	1	2	3	1
Candidatus_Brocadiales	16	40	4	1	2	0	0	0	0	0	5	9	13	17	11	7	17	8
Candidatus_Cloacimonadales	7	19	0	3	1	1	0	0	0	1	3	2	5	5	1	2	5	3
Candidatus_Izemoplasmatales	26	26	3	0	4	2	1	6	5	1	8	1	3	5	5	6	13	4
Candidatus_Methanoliparales	0	1	1	0	0	1	0	0	0	1	0	0	4	0	1	1	5	2
Candidatus_Nanopelagicales	20	15	3	4	5	4	3	7	1	0	2	2	5	11	6	4	15	4
Candidatus_Nanosynbacterales	32	66	6	6	5	1	2	1	0	4	1	2	2	4	2	1	3	3
Candidatus_Pelagibacterales	28	40	8	11	12	6	2	6	4	3	18	19	39	44	21	15	56	26
Candidatus_Prometheoarchaeales	32	2	0	1	0	0	2	0	0	4	1	0	0	3	1	2	5	2
Candidatus_Promineifilales	8	12	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus_Sulfidibacteriales	3	7	2	3	0	3	0	1	0	0	0	0	2	6	2	2	2	1
Candidatus_Uabimicrobiales	11	19	1	1	0	1	1	0	1	1	1	1	2	3	3	1	2	3
Capsulimonadales	16	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Cardiobacteriales	56	134	6	10	8	23	3	10	5	4	9	13	20	37	5	14	36	14
Catenulisporales	2	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0
Caulobacterales	132	299	34	44	31	32	23	7	4	17	30	34	57	87	21	20	59	33
Cellvibrionales	359	780	55	62	68	70	28	40	25	33	53	50	69	143	56	57	126	61
Chitinophagales	339	425	54	48	68	75	52	69	54	53	52	61	84	131	44	53	144	68
Chitovirales	2	73	1	3	9	2	1	0	1	1	1	1	3	2	2	1	5	3
Chlamydiales	24	21	6	3	5	4	0	0	3	0	8	3	8	15	5	11	11	10
Chlorobiales	89	142	21	16	19	14	5	6	4	9	11	14	33	43	23	30	56	20
Chloroflexales	11	5	1	3	1	0	2	1	2	1	3	3	6	8	7	1	6	4
Chromatiales	274	985	47	59	69	74	25	32	23	32	68	66	99	230	67	69	210	76
Chroococcales	129	288	33	43	26	31	12	17	13	19	47	64	71	122	53	66	161	64
Chroococcidiopsidales	22	14	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
Chrysiogenales	41	12	0	1	2	2	0	0	0	0	1	1	3	3	0	2	7	3
Chthonomonadales	2	7	1	0	1	1	0	1	0	1	3	1	0	3	0	0	2	0
Coleofasciculales	7	26	7	2	0	5	0	0	0	1	9	5	10	8	6	5	12	4
Coriobacteriales	66307	422647	8582	14990	16803	19377	737	373	222	419	20512	15571	23039	73228	16200	20444	48429	20585
Crassvirales	3	0	1	3	0	1	1	0	0	0	4	0	0	6	7	2	3	2
Cytophagales	929	1620	153	158	160	236	160	184	128	196	215	179	374	523	228	224	622	273
Deferribacterales	103	141	21	27	27	20	12	34	27	22	14	29	38	42	20	31	70	27
Dehalococcoidales	13	14	0	1	4	5	4	4	2	2	1	2	1	6	2	1	5	1
Deinococcales	102	326	30	33	25	39	12	9	4	10	31	30	58	77	31	19	71	28
Desulfarculales	5	48	3	2	1	2	0	0	1	0	3	1	3	7	0	0	2	1
Desulfobaccales	12	12	5	7	9	15	3	0	3	2	7	5	3	12	2	8	13	2
Desulfobacterales	270	483	19	32	58	43	21	35	21	30	39	38	55	117	48	42	122	39
Desulfobulbales	120	192	13	13	30	25	11	9	6	4	16	19	43	49	21	11	53	35
Desulfomonilales	8	17	1	4	1	2	0	0	0	0	4	3	6	18	1	5	11	2
Desulfovibrionales	455	1188	72	105	127	111	25	19	23	19	103	111	137	300	81	103	247	106
Desulfurellales	7	3	0	2	4	0	0	1	1	0	2	1	4	1	5	2	1	1
Desulfurobacteriales	5	8	1	1	2	0	1	0	2	2	1	3	2	1	1	1	0	1
Desulfuromonadales	150	485	23	44	39	50	9	5	5	11	30	40	67	112	37	31	89	42
Dethiobacterales	7	33	4	9	6	9	1	0	1	0	10	6	11	23	6	6	15	6
Dictyoglomales	48	79	12	10	12	19	8	10	12	10	14	15	25	29	19	21	56	27
Eggerthellales	8466	34823	315	494	575	644	39	25	6	21	624	536	791	2242	513	660	1543	655
Egibacterales	5	102	5	8	4	2	0	1	0	0	3	7	6	23	7	2	13	5
Egicoccales	6	55	3	3	2	2	1	0	0	0	2	2	4	6	0	3	6	9
Elusimicrobiales	4	9	1	1	0	0	2	1	0	1	0	0	1	1	0	0	1	0
Emcibacterales	18	55	13	18	18	18	1	1	0	0	7	14	22	28	4	15	31	16
Endomicrobiales	22	50	1	5	7	5	1	1	4	2	7	3	10	21	4	9	17	6
Enterobacterales	3245	3561	1072	612	879	799	283	396	280	336	439	432	844	1175	469	502	1446	557
Entomoplasmatales	238	232	19	18	22	41	33	39	40	56	55	53	80	106	80	57	152	88
Erysipelotrichales	86034	181650	9027	15273	10515	11623	17667	9682	4267	11531	32322	28432	48938	101223	56895	41116	120101	73423
Eubacteriales	1370371	5202055	254794	348195	365163	299508	34655	22433	9481	20951	281689	258630	464330	768430	321437	333823	786954	413832
Euzebyales	6	5	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
Ferrovales	1	12	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	1
Fervidicoccales	7	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1
Fibrobacterales	2	48	4	4	4	2	0	1	2	1	1	1	2	2	2	1	5	1
Fimbriimonadales	9	104	3	4	5	2	0	0	0	0	3	3	2	13	5	4	11	5
Flavobacteriales	4303	4931	512	631	594	697	608	854	689	871	704	747	1216	1668	881	936	2299	976
Frankiales	16	113	9	6	10	3	0	1	0	0	6	8	8	32	6	7	8	16
Fusobacteriales	27668	37454	1956	7169	6223	4518	13196	24627	18463	22049	2755	4392	8889	6117	4930	6336	19585	4968
Geitlerinematales	4	11	0	0	0	3	0	0	0	1	0	1	2	0	0	1	1	0
Geminicoccales	5	3	1	2	0	1	1	3	0	1	0	0	0	0	0	0	1	0
Gemmatales	26	138	19	9	10	9	1	1	1	1	13	11	13	30	9	11	20	11
Gemmatimonadales	14	147	9	7	8	11	0	0	1	0	4	10	5	25	5	5	14	5
Geobacterales	175	384	19	38	36	50	8	9	6	6	33	25	50	96	26	24	84	32
Geodermatophilales	47	272	18	8	9	7	3	0	1	3	12	31	14	29	3	7	20	9
Gloeobacterales	9	15	2	2	9	4	1	0	0	1	3	2	7	12	2	3	5	0
Gloeomargaritales	1	13	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Glycomycetales	7	34	4	9	5	6	1	2	2	0	3	5	5	6	1	0	6	2
Gomontiellales	7	3	0	0	0	5	6	3	3	3	0	2	3	8	4	6	4	5
Halanaerobiales	167	365	14	24	26	22	19	36	35	23	35	38	55	69	36	34	98	59
Haliangiales	20	46	2	3	3	4	3	2	0	0	1	3	0	4	0	0	3	1
Halobacteriales	115	437	18	17	34	40	8	0	3	3	48	43	43	126	38	42	103	54
Haloferacales	86	211	5	10	8	15	0	0	0	0	12	9	8	32	12	14	20	11
Herpesvirales	29	18	2	1	2	5	0	0	0	0	1	0	3	3	0	0	3	0
Holophagales	107	273	9	21	18	20	16	3	3	7	27	27	35	59	20	26	69	21
Holosporales	10	11	0	0	6	1	1	3	1	2	5	1	5	10	3	5	7	3
Hydrogenophilales	3	12	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0
Hyphomicrobiales	2299	7442	683	574	692	742	172	137	102	127	531	559	701	1588	444	474	1236	505
Hyphomonadales	58	108	3	2	0	4	1	0	0	0	3	5	4	9	6	4	5	4
Ignavibacteriales	39	30	4	8	7	9	0	1	0	0	3	6	4	7	3	6	8	3
Imitervirales	18	20	1	0	1	1	0	0	0	1	0	1	0	1	0	1	2	3
Immundisolibacterales	1	11	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0
Isosphaerales	38	144	4	5	6	7	4	1	2	0	2	6	2	10	2	0	4	2
Jatrophihabitantales	17	23	6	3	3	1	3	1	1	2	1	4	5	2	0	0	1	0
Jiangellales	8	116	3	1	0	2	1	0	0	0	3	3	1	2	2	0	0	0
Kangiellales	20	16	2	1	1	1	1	0	1	2	1	2	1	3	1	2	2	3
