species	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
[Clostridium]_colinum	466	732	153	137	220	144	10	23	15	14	154	142	270	351	156	132	345	198
[Clostridium]_hylemonae	4679	4719	329	484	482	556	24	18	9	16	520	471	871	1383	513	553	1355	686
[Clostridium]_innocuum	2014	3484	160	224	202	210	74	53	16	39	220	199	352	542	214	222	585	270
[Clostridium]_scindens	20041	43618	2008	2285	2676	2636	71	84	43	72	3317	2880	5092	8520	3637	3778	9223	4590
[Enterobacter]_lignolyticus	3	60	1	3	3	6	0	0	0	0	3	3	4	12	2	1	8	2
[Haemophilus]_ducreyi	1	2	0	0	1	0	2	1	1	0	0	2	0	2	0	1	2	2
[Mannheimia]_succiniciproducens	3	3	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1
[Mycoplasma]_anseris	2	4	0	0	0	0	0	0	1	0	1	1	0	2	2	4	6	1
[Mycoplasma]_mobile	4	10	0	0	4	0	1	2	4	4	0	1	1	4	0	2	1	2
[Mycoplasma]_phocae	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0
[Pantoea]_beijingensis	6	5	5	2	5	2	0	1	1	1	2	4	4	6	3	2	8	2
[Phormidium]_sp._ETS-05	14	64	13	5	9	16	0	0	1	0	10	9	14	20	10	13	27	13
[Pseudomonas]_carboxydohydrogena	12	66	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
