order	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Actinomycetales	1021	5798	103	139	162	168	37	31	17	16	174	115	235	616	128	125	337	137
Bacillales	20542	24420	2324	2851	3006	3238	712	1064	733	961	3482	3046	5295	8267	3674	3903	9402	4409
Bacteroidales	19168	16583	54577	128409	110981	224367	370069	584462	348349	392546	39874	58602	196983	71622	63150	77657	266081	79723
Bifidobacteriales	1212	5752	9321	19157	23081	16691	64	46	45	62	20829	14988	24703	74157	7496	10554	23751	12026
Burkholderiales	2201	5871	441	572	636	775	988	1170	930	1007	370	477	734	1183	374	449	1290	404
Campylobacterales	7682	13587	5864	3670	2412	4960	9178	7500	6171	9979	641	1101	5908	1918	2024	2297	12423	2599
Coriobacteriales	66307	422647	8582	14990	16803	19377	737	373	222	419	20512	15571	23039	73228	16200	20444	48429	20585
Cytophagales	929	1620	153	158	160	236	160	184	128	196	215	179	374	523	228	224	622	273
Eggerthellales	8466	34823	315	494	575	644	39	25	6	21	624	536	791	2242	513	660	1543	655
Enterobacterales	3245	3561	1072	612	879	799	283	396	280	336	439	432	844	1175	469	502	1446	557
Erysipelotrichales	86034	181650	9027	15273	10515	11623	17667	9682	4267	11531	32322	28432	48938	101223	56895	41116	120101	73423
Eubacteriales	1370371	5202055	254794	348195	365163	299508	34655	22433	9481	20951	281689	258630	464330	768430	321437	333823	786954	413832
Flavobacteriales	4303	4931	512	631	594	697	608	854	689	871	704	747	1216	1668	881	936	2299	976
Fusobacteriales	27668	37454	1956	7169	6223	4518	13196	24627	18463	22049	2755	4392	8889	6117	4930	6336	19585	4968
Hyphomicrobiales	2299	7442	683	574	692	742	172	137	102	127	531	559	701	1588	444	474	1236	505
Kitasatosporales	2037	5905	320	331	343	390	126	62	43	64	326	391	426	1139	237	300	771	318
Lactobacillales	11353	16002	1171	1572	1751	1615	470	716	486	571	1693	1641	2744	4301	1985	2098	4985	2262
Micrococcales	3050	14520	732	616	614	668	139	79	67	69	608	849	863	2109	456	533	1439	604
Mycobacteriales	2299	11341	323	340	453	490	111	48	54	74	426	455	560	1536	328	392	1048	449
Primates	23419	6517	372	502	570	513	998	1096	891	1286	935	983	1476	1957	1241	1469	3088	1327
Propionibacteriales	1689	4662	495	148	150	214	59	48	42	38	191	561	236	501	111	160	382	162
Pseudomonadales	1211	3156	192	268	280	269	154	121	68	101	194	190	333	624	204	232	584	266
Rhodobacterales	768	2142	182	177	177	203	61	45	32	42	130	160	213	419	118	126	326	134
Rhodospirillales	562	2194	173	194	183	138	68	34	18	40	196	226	268	449	207	190	549	244
Selenomonadales	2554	4398	944	1900	5744	2092	30072	76833	37114	44149	3727	4489	12468	6185	2299	3611	16507	2627
Sphingobacteriales	774	1040	119	149	156	151	95	140	100	132	176	164	283	388	217	200	513	229
Sphingomonadales	699	2025	150	195	221	220	87	38	26	48	166	143	232	463	117	137	333	146
Spirochaetales	1118	1673	164	209	240	201	48	57	50	53	176	178	295	473	153	206	475	243
Tissierellales	1424	2185	206	274	266	244	133	252	164	221	374	391	547	851	450	472	1115	512
Vibrionales	1194	1642	101	137	145	162	79	103	67	104	144	117	268	385	180	176	448	239
