superkingdom	phylum	class	order	family	genus	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	878000	878000	878000	32578.7854792873	35456.4817494275	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23856.6940110449	19527.1129220174	23842.6705843484	6211	6977	762	15	11	9	4670	3815	4680	32300	35184	4104	40	33	33	23732	19403	23696	30833	33697	3892	32	30	30	22720	18548	22573	61849.2373287878	66690.2141482357	7845.42796820231	53.684923232656	50.7590960462207	49.3610839029401	44476.8007294243	35664.8315050823	44772.1279820657
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	994000	994000	994000	35089.2333181963	35715.9132650103	4801.84960020668	16571.7829480175	16883.6253103152	8013.30006689261	23146.0218443318	16465.1007717307	26893.1004939574	26189	26579	3460	12232	12591	5996	17315	12157	20060	35011	35638	4782	16471	16823	7930	23081	16430	26854	34978	35608	4778	16451	16808	7923	23062	16419	26836	15561.8936741923	15754.6872530812	2162.56305005861	7357.53561108684	7374.42840782034	3505.31313634029	10055.1411850203	7089.42928641453	11837.4277110958
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	498000	498000	498000	20018.4589333535	20189.9364612644	2844.03015400416	10174.7962449282	10823.7045748967	4724.70197399359	12664.373590156	8868.21719439993	14155.4149261482	20020	20192	2840	10186	10854	4755	12669	8861	14148	20058	20229	2845	10216	10873	4765	12688	8878	14172	20045	20219	2842	10211	10870	4763	12681	8875	14164	6805.57870241253	6820.78875569813	965.99223137893	3458.45703567356	3638.62572710277	1615.39218416608	4232.2721958465	2898.99163097879	4761.73635606004
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	0	343.491378115303	170.367743357249	20.0327884031578	132.016539036205	136.144447988452	133.348322433921	362.819892727612	72.0917885989721	259.398793575232	46	34	2	25	25	19	53	22	32	347	181	20	132	147	134	368	81	263	63	43	3	29	29	27	73	25	41	413.228484541534	205.427215937869	24.7169410762923	145.523282473426	153.946995245446	161.606836339763	433.678096192827	79.1878334451267	314.944737503725
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	0	0	0	413.561847452702	403.086326854937	45.1738062867868	334.506655617884	373.100271734263	187.109728260228	230.885262249334	164.899585980712	229.188478659502	320	286	35	322	312	147	217	157	180	398	365	41	376	375	185	246	184	213	396	362	40	375	373	185	246	184	209	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	90	90	90	182.682098909745	76.2079247737134	14.0292406747011	84.4253616423849	76.054019367176	82.4074599830083	205.341031758873	36.0473305212714	134.187580928096	80	44	8	37	38	30	90	13	68	188	86	17	86	82	86	212	39	139	183	85	16	82	78	78	204	38	138	145.188386460539	64.5532331588722	10.834823485498	68.8787694305775	59.4415730014953	72.0130881597687	162.088436566314	32.9134616376864	100.285917479887
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	963000	963000	963000	22960.9389217665	23874.8839117617	2832.9045589403	22115.9025103596	24566.2257871941	9582.63194469705	14412.8637593433	11065.3188647412	14841.325641473	8750	9068	1083	8737	9718	3791	5076	3800	5155	22909	23821	2826	22028	24483	9510	14370	11027	14793	22879	23782	2821	21989	24441	9496	14350	11015	14786	15173.0324712945	15677.0216444369	1877.13316886253	14292.6822978715	15593.7286116732	6132.26945090087	9624.79139347979	7289.51706310304	10056.7657181168
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0	0	333.249036373777	186.050326209294	21.0438610118585	125.089333554371	138.911149748589	165.352260507827	384.60862392191	56.7629063506842	267.338373577458	314	188	20	127	135	167	372	60	268	346	208	22	134	147	177	404	65	282	317	188	20	127	136	168	375	60	269	154.326117076936	93.1314874219146	10.834823485498	55.7107693923789	68.4579913781266	74.3797154701837	184.720908201856	25.7441927661111	109.006432043355
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	0	0	0	869.166742672309	462.295487022706	43.093227675822	479.325472119224	383.702039448246	366.995207288677	978.828404268821	139.208570758825	702.372611743317	852	442	50	469	395	360	873	153	660	918	497	54	522	439	386	972	172	721	857	446	50	473	396	361	877	156	665	433.872987045247	272.333952388992	32.504470456494	282.60553928134	232.089287842917	185.273109443912	494.918901794884	90.2676126102884	346.808156101013
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	989000	989000	989000	33315.9589622402	37051.8695228482	4020.37952628446	29657.5369664355	34147.5132314214	12521.2076195516	18354.0529295694	13996.3262910998	17994.7665149956	12688	14556	1493	10774	12250	4678	5881	4426	5839	14001	15961	1660	11871	13462	5163	6611	5026	6510	13994	15956	1660	11867	13457	5160	6610	5024	6508	46806.5021273937	50968.812156002	5712.66068272882	42777.7675087081	49069.3524541557	17799.4040016307	27194.2459919655	20309.8869614571	26697.184527246
