superkingdom	phylum	class	order	family	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	4	0	0	2	0	0	1	0	4	4	0	0	2	0	0	1	0	4	4	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	878000	878000	878000	32578.7854792873	35456.4817494275	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23856.6940110449	19527.1129220174	23842.6705843484	6214	6978	762	15	11	9	4670	3815	4682	32303	35185	4104	40	33	33	23732	19403	23698	30836	33698	3892	32	30	30	22720	18548	22575	61849.2373287878	66690.2141482357	7845.42796820231	53.684923232656	50.7590960462207	49.3610839029401	44476.8007294243	35664.8315050823	44772.1279820657
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	0	0	0	0	11.2270347705011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	2.70747573819187	2.35350329225055	0.677176467843624	0	0	0	0.66566093045714	2.28113100459213	2.01242643772348
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	1	0	0	0	3	3	1	1	0	1	0	0	0	3	3	1	1	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	1	1	6	16	1	0	1	1	1	2	4	0	6	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	0	0	0	0	0	0	0	0	0	13.0162952312483	0	0	12	3	5	9	1	5	17	1	9	12	3	6	11	1	5	18	2	10	12	3	5	10	1	5	17	2	9	3.04591020546585	1.34485902414317	2.03152940353087	2.36348718634335	0.333941421356715	1.01426884732069	4.32679604797141	0.325875857798875	3.01863965658522
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	4	0	3	3	0	0	0	3	1	4	0	3	3	0	0	0	3	1	4	0	3	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	994000	994000	994000	35089.2333181963	35715.9132650103	4801.84960020668	16571.7829480175	16883.6253103152	8013.30006689261	23146.0218443318	16465.1007717307	26893.1004939574	26189	26579	3460	12232	12591	5996	17315	12157	20060	35011	35638	4782	16471	16823	7930	23081	16430	26854	34978	35608	4778	16451	16808	7923	23062	16419	26836	15561.8936741923	15754.6872530812	2162.56305005861	7357.53561108684	7374.42840782034	3505.31313634029	10055.1411850203	7089.42928641453	11837.4277110958
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	0	0	0	10.0072570536362	0	0	10.0071466815104	0	0	0	0	0	10	1	1	9	1	0	6	1	5	10	1	1	9	1	0	6	1	5	10	1	1	9	1	0	6	1	5	3.38434467273983	0.336214756035793	0.338588233921812	3.71405129282526	0.333941421356715	0	2.66264372182856	0.325875857798875	1.67702203143623
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	2	0	0	2	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
