superkingdom	phylum	class	order	family	genus	species	Gram.Stain	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	NA	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	4	0	0	2	0	0	1	0	4	4	0	0	2	0	0	1	0	4	4	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	positive	878000	878000	878000	32480.1111489765	35361.0469901976	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23800.9055930094	19486.1110224206	23785.2491346409	6198	6959	761	12	11	7	4661	3805	4665	32282	35164	4103	33	33	28	23720	19393	23672	30820	33679	3891	29	30	27	22711	18538	22555	61198.4278482199	66058.8028364005	7757.05643914872	48.6203078333488	47.7536232540103	45.3040085136573	44059.4313260276	35334.0675094164	44312.6239454522
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	3	0	0	0	0	2	0	0	0	3	0	0	0	0	2	0	0	40.612136072878	33.6214756035793	5.417411742749	0.337641026620478	0.667882842713431	0	28.2905895444285	25.0924410505134	15.4286026892133
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	positive	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	2	3.72277914001382	1.68107378017896	1.01576470176544	0.675282053240956	0	0.338089615773562	1.99698279137142	0	3.35404406287247
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium bifidum	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	3	0	1	0	0	3	0	0	0	3	0	1	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	positive	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	8	1	0	2	0	2	3	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.1171483330024	73.6310315718386	13.8821175907943	0	0	0	44.5992823406284	35.8463443578763	56.3479402562574
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium faecale	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284.62338697742	270.989093364849	34.8745880939467	0.675282053240956	0.333941421356715	0	169.410706801342	138.823115422321	201.242643772348
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	positive	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	1	1	0	0	0	0	1	1	2	1	1	0	0	0	0	1	1	2	16.2448544291512	10.0864426810738	1.69294116960906	0.337641026620478	0.667882842713431	0	6.6566093045714	5.86576544037975	5.0310660943087
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39964807456179	0.672429512071585	0	1.35056410648191	0	1.35235846309425	2.99547418705713	1.3035034311955	2.68323525029797
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum	positive	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	2	0	1	1	0	4	1	1	0	0	0	1	1	0	2	2.0306068036439	2.35350329225055	0	1.68820513310239	0.667882842713431	2.02853769464137	1.66415232614285	0.977627573396626	3.68944846915971
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium ruminantium	positive	0	0	0	98.6743303108135	95.4347592299735	0	0	0	0	55.7884180355164	41.0018995968198	57.4214497075254	7	11	1	0	0	0	5	8	8	7	11	1	0	0	0	5	8	8	7	11	1	0	0	0	5	8	8	225.058920737199	238.376262029377	31.4887057547285	0	0.667882842713431	0.338089615773562	161.755606101085	122.855198390176	171.72705601907
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia inopinata	positive	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Segniliparaceae	Segniliparus	Segniliparus rotundus	positive	0	0	0	0	11.2270347705011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Pseudokineococcus	Pseudokineococcus lusitanus	positive	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	1	2	0	0	0	0	0	2	2	2.70747573819187	2.35350329225055	0.677176467843624	0	0	0	0.66566093045714	2.28113100459213	2.01242643772348
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium pityocampae	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter	Terrabacter lapilli	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	1	0	0	0	3	3	1	1	0	1	0	0	0	3	3	1	1	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Kitasatospora	Kitasatospora atroaurantiaca	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseorubiginosus	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces ovatisporus	positive	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	2	0	0	1	1	0	0	1	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	positive	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	0	2	5	0	1	3	0	0	7	0	2	6	1	1	3	0	0	7	0	2	5	1	1	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	positive	0	0	0	0	0	0	0	0	0	13.0162952312483	0	0	9	3	5	3	1	3	12	1	8	9	3	6	4	1	3	12	1	9	9	3	5	3	1	3	12	1	8	3.04591020546585	1.34485902414317	2.03152940353087	2.36348718634335	0.333941421356715	1.01426884732069	4.32679604797141	0.325875857798875	3.01863965658522
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Raoultibacter timonensis	positive	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	3	2	0	0	0	1	0	2	0	3	2	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia piriformis	positive	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	2	0	0	1	0	0	0	2	1	2	0	0	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0
