superkingdom	phylum	class	Zymo_6331_ONT_MONT	Zymo_6331_ONT_ONT	Zymo_6331_ONT_PB	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6331	GMS_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6331
Archaea	Euryarchaeota	Methanobacteria	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	878000	878000	878000	32578.7854792873	35467.708784198	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23856.6940110449	19527.1129220174	23842.6705843484	6215	6988	762	23	19	14	4671	3820	4686	32310	35205	4105	48	41	38	23734	19409	23705	30837	33708	3892	40	38	35	22721	18553	22579	61851.9448045259	66692.5676515279	7846.10514467015	53.684923232656	50.7590960462207	49.3610839029401	44477.4663903547	35667.1126360869	44774.1404085034
Bacteria	Actinobacteria	Coriobacteriia	0	0	0	0	0	0	0	0	0	13.0162952312483	0	0	15	3	5	9	4	6	21	1	12	15	3	6	11	4	6	22	2	13	15	3	5	10	4	6	21	2	12	3.04591020546585	1.34485902414317	2.03152940353087	2.36348718634335	0.333941421356715	1.01426884732069	4.32679604797141	0.325875857798875	3.01863965658522
Bacteria	Bacteroidetes	Bacteroidia	1492000	1492000	1492000	55206.9204457749	55939.2372354249	7645.87975421084	26833.6414176221	27726.3398128608	12751.0239970158	35890.8745082422	25333.3179661306	41096.5855961392	46286	46801	6303	22502	23466	10784	30060	21025	34250	55184	55918	7633	26801	27733	12737	35877	25324	41091	55117	55861	7624	26750	27701	12723	35828	25305	41052	22451.7425589561	22623.5547188925	3132.61834024461	10899.7276213623	11049.453749851	5147.75248976826	14368.6240143826	10005.6923378567	16650.1455369115
Bacteria	Candidatus Melainabacteria	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	2	0	0	1	3	0	0	1	1	2	0	0	1	3	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	963090	963090	963090	24608.1744606047	24886.6508695425	2933.18425531681	22924.2986437834	25444.7654599048	10275.6830869188	16023.1830769018	11450.191429705	15992.0025528043	9633	9689	1155	9321	10291	4212	5934	4080	5796	24596	24865	2950	22934	25418	10249	16034	11473	15990	24175	24634	2922	22744	25213	10088	15607	11389	15697	16231.9939193948	16205.5512409252	1943.83505094512	14693.7998374966	16023.8451623806	6561.30517331752	10767.0655501442	7486.99783292916	10816.4566983574
Bacteria	Firmicutes	Clostridia	3014020	3014020	3014020	165508.794830357	164849.423381896	20171.0311606176	152416.481961907	156993.675173064	66119.5319696348	91004.8360431553	61388.1533313054	91510.7061435	99510	98524	11785	91991	93442	39925	53679	35286	54082	165613	164955	20192	152498	157146	66198	91093	61487	91602	146076	143734	17824	134516	136273	58708	79139	52486	80000	152733.782908412	152919.212628735	19009.6978053062	140936.766767814	146921.869564365	60820.6314295849	84049.0117232403	57351.2180898818	85174.2719546148
Bacteria	Firmicutes	Erysipelotrichia	0	0	0	11.0079827589998	0	0	0	0	0	14.0175487175775	0	0	11	7	0	5	7	11	11	0	7	11	7	0	6	7	11	11	0	7	11	7	0	5	7	11	11	0	7	8.1224272145756	9.75022792503799	1.69294116960906	11.4797949050963	6.01094558442088	4.05707538928275	16.6415232614285	0.977627573396626	7.71430134460667
Bacteria	Firmicutes	Negativicutes	1587000	1587000	1587000	148725.998236458	148052.561459758	19163.0267637551	148678.883020582	154228.081726682	67873.9427294365	81991.4072695027	56015.3005677703	89098.6455264396	85299	85099	10944	84383	87149	38526	46621	31882	51116	148581	147927	19130	148508	154053	67690	81867	55929	88966	86679	86541	11151	85703	88434	39103	47360	32448	51977	167260.067112746	165064.634475772	21231.8523845351	165484.282326202	170624.363769421	75528.5439845822	90354.4848869956	60383.4929467004	98271.4786157256
Bacteria	Fusobacteria	Fusobacteriia	749000	749000	749000	6023.78396344773	5949.55350358001	875.82545354116	11176.7161834838	10521.7049171397	5078.39783767941	6365.93533668075	4470.07891711195	7099.28705523668	2484	2446	343	4833	4490	2295	2027	1383	2137	6011	5943	873	11132	10493	5054	6359	4458	7094	5984	5932	868	11089	10460	5036	6327	4443	7073	6405.88759656196	6321.17362822894	955.834584361276	11586.4894695083	10925.2275411063	5150.45720669444	6982.11749956494	4788.41985449667	7899.44457687724
Bacteria	Proteobacteria	Alphaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	15	6	1	10	9	5	11	2	10	15	6	1	10	9	5	11	2	10	15	6	1	10	9	5	11	2	10	1.69217233636992	2.35350329225055	0.338588233921812	1.01292307986143	2.00364852814029	0.676179231547124	1.99698279137142	0	1.67702203143623
