genus	WGS_sourmash_NCBI_ONT_ZMB1	WGS_sourmash_NCBI_NovaSeq_ZMB1
Actinomyces	60000	263000
Amedibacillus	25985000	15064999
Amedibacterium	7248999	1942000
Anaerobiospirillum	2010999	724000
Anaerostipes	883000	88000
Arachnia	91000	69000
Bacteroides	9272000	3367000
Blautia	521667000	311665998
Buchananella	0	112000
Butyricicoccus	1876000	695000
Campylobacter	1213000	929000
Clostridium	70609000	32185999
Collinsella	96191999	180955000
Coprococcus	12311999	13572000
Corynebacterium	137000	219000
Dorea	1882000	0
Enterococcus	96000	0
Erysipelatoclostridium	9655000	6773000
Eubacterium	454999	242000
Faecalibacterium	2186999	1624000
Faecalicatena	539000	187000
Faecalimonas	9207000	3134000
Flavonifractor	377000	2e+05
Fusobacterium	34285998	12531999
Helicobacter	988999	131000
Lacrimispora	0	104000
Leucobacter	83000	248000
Mediterraneibacter	123705000	51427999
Megamonas	875000	363000
missing	513212997	208736999
Paeniclostridium	1685999	680000
Paulinella	162000	0
Peptacetobacter	471804000	213024999
Peptostreptococcus	99000	121000
Phocaeicola	2424000	784000
Romboutsia	15089000	4645000
Roseburia	5504000	334000
Rothia	0	226000
Ruminococcus	38291000	12962000
Schaalia	0	178000
Slackia	26394000	22687000
Staphylococcus	85000	0
Streptococcus	544000	294000
Sutterella	189000	0
Tessaracoccus	60000	148000
Tyzzerella	16269000	10452000
