run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR13110292	SAMEA115615491	ERX12481918	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/092/ERR13110292/ERR13110292.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110292/toti_illumina_novaseq_WGS_20240129_zymo_magbead_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/092/ERR13110292/ERR13110292.bam
ERR13110295	SAMEA115615483	ERX12481921	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/095/ERR13110295/ERR13110295.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110295/toti_minion_WGS_20230802_invitrogen_I3_bc03_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/095/ERR13110295/ERR13110295.bam
ERR13110296	SAMEA115615484	ERX12481922	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/096/ERR13110296/ERR13110296.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110296/toti_minion_WGS_20230802_invitrogen_I4_bc04_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/096/ERR13110296/ERR13110296.bam
ERR13109766	SAMEA115615487	ERX12481392	PRJEB75753	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/066/ERR13109766/ERR13109766.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13109766/BACMIX_minion_v1_9_20230623_zymo_magbead_NZ1_bc09_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/066/ERR13109766/ERR13109766.bam
ERR13110291	SAMEA115615490	ERX12481917	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/091/ERR13110291/ERR13110291.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110291/toti_illumina_novaseq_WGS_20240129_zymo_magbead_R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/091/ERR13110291/ERR13110291.bam
ERR13110293	SAMEA115615481	ERX12481919	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/093/ERR13110293/ERR13110293.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110293/toti_minion_WGS_20230802_invitrogen_I1_bc01_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/093/ERR13110293/ERR13110293.bam
ERR13110289	SAMEA115615488	ERX12481915	PRJEB75753	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/089/ERR13110289/ERR13110289.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110289/BACMIX_minion_v1_9_20230623_zymo_magbead_NZ2_bc10_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/089/ERR13110289/ERR13110289.bam
ERR13110290	SAMEA115615489	ERX12481916	PRJEB75753	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/090/ERR13110290/ERR13110290.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110290/BACMIX_minion_v1_9_20230623_zymo_magbead_NZ3_bc11_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/090/ERR13110290/ERR13110290.bam
ERR13110294	SAMEA115615482	ERX12481920	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/094/ERR13110294/ERR13110294.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110294/toti_minion_WGS_20230802_invitrogen_I2_bc02_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/094/ERR13110294/ERR13110294.bam
ERR13110297	SAMEA115615485	ERX12481923	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/097/ERR13110297/ERR13110297.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110297/toti_minion_WGS_20230802_zymo_Z3_bc05_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/097/ERR13110297/ERR13110297.bam
ERR13110298	SAMEA115615486	ERX12481924	PRJEB75753	9615	Canis lupus familiaris	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/098/ERR13110298/ERR13110298.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR131/ERR13110298/toti_minion_WGS_20230802_zymo_Z4_bc06_pass.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR131/098/ERR13110298/ERR13110298.bam
