feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	source	Canis_lupus	-3.52850124926015	0.0387013433068322	27	27	5.23187854857944e-32	2.87753320171869e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella	source	Canis_lupus	-5.46516143811116	0.062687041504308	27	27	1.52701443171507e-31	4.19928968721643e-29
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus	source	Canis_lupus	-6.2937476561816	0.0814678003575866	27	27	2.75154093448503e-30	5.04449171322256e-28
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Tyzzerella	source	Homo_sapiens	-3.78290494861815	0.0497660802172263	27	27	4.05198375721786e-30	5.57147766617455e-28
Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenella	source	Homo_sapiens	-4.55120356558724	0.062687041504308	27	27	1.21427858072278e-29	1.03209768051718e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia	source	Homo_sapiens	-2.80109165831819	0.0387013433068322	27	27	1.30770545329916e-29	1.03209768051718e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Papillibacter	source	Homo_sapiens	-7.77529559659058	0.107447688656745	27	19	1.31357886611278e-29	1.03209768051718e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes	source	Canis_lupus	-8.51949441082827	0.119642475093964	27	27	1.92975280067963e-29	1.32670505046724e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Murimonas	source	Canis_lupus	-7.05722455423834	0.100129555738415	27	19	2.46589766693137e-29	1.50693746312473e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.missing	source	Canis_lupus	-7.07709950869641	0.106551541585315	27	27	1.01757216199894e-28	5.59664689099415e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Fusicatenibacter	source	Canis_lupus	-8.62094029964122	0.132536700787171	27	27	1.67593774156406e-28	8.37968870782029e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia	source	Homo_sapiens	1.61241154153756	0.0250217366481516	27	27	2.09490937270054e-28	9.60166795821082e-27
Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.Hungateiclostridium	source	Canis_lupus	-3.70287514675682	0.0582078652313237	27	27	2.84995586706465e-28	1.20575055914274e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Agathobaculum	source	Canis_lupus	-3.25644610657371	0.0534397683817249	27	27	7.9516774896836e-28	3.12387329951856e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.missing.Monoglobus	source	Canis_lupus	-6.35257844404927	0.106148594581821	27	27	1.22326404813296e-27	4.48530150982087e-26
Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Gemmiger	source	Homo_sapiens	-8.81010745507564	0.156009115921613	27	27	4.87894497552833e-27	1.67713733533786e-25
