species	Toti_ONT_ZMB1	Toti_NovaSeq_ZMB1	Toti_MySeq_ZHMW4	Toti_MySeq_ZHMW3	Toti_MySeq_ZHMW2	Toti_MySeq_ZHMW1	Toti_MySeq_Q4	Toti_MySeq_Q3	Toti_MySeq_Q2	Toti_MySeq_Q1	Toti_MySeq_MN4	Toti_MySeq_MN3	Toti_MySeq_MN2	Toti_MySeq_MN1	Toti_MySeq_I4	Toti_MySeq_I3	Toti_MySeq_I2	Toti_MySeq_I1
Acanthamoeba_castellanii_medusavirus	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahphunavirus_Ahp1	1	0	0	3	3	3	0	0	0	0	0	2	1	2	0	0	2	0
Alphabaculovirus_speridaniae	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asteriusvirus_PBECO4	14	23	0	0	0	0	0	0	0	0	3	2	2	4	2	4	4	2
Aurunvirus_STIM5	85	109	5	15	16	12	11	2	1	2	13	9	20	26	7	11	22	11
Bacillus_phage_vB_BhaS-171	0	0	0	0	0	0	0	3	0	3	1	0	1	0	0	0	2	0
Bathycoccus_sp._RCC1105_virus_BpV	0	0	2	0	0	1	1	0	2	1	1	0	2	0	0	2	2	2
Bequatrovirus_B4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bertelyvirus_SC	7	25	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Biavirus_raunefjordenense	35	10	1	1	4	1	4	10	2	7	0	0	3	2	0	2	6	2
Birpovirus_hominis	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bixzunavirus_tonenili	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bongovirus_reindeer	0	0	3	2	6	1	0	0	0	0	7	2	7	12	0	2	2	5
Buchavirus_hominis	8	6	5	11	3	5	17	19	17	25	1	2	8	2	1	2	9	1
Busanvirus_ACP17	4	0	2	1	6	7	17	13	19	17	2	3	10	1	1	0	14	2
Cavevirus_C121	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrysochromulina_ericina_virus	146	94	3	4	7	4	1	0	0	0	1	4	3	5	2	2	5	1
Chrysochromulina_parva_virus	4	0	0	0	0	0	3	2	0	4	0	0	0	0	0	0	0	0
Chrysonvirus_as5	53	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Citexvirus_dobby	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_phage_c-st	14	6	0	1	0	0	5	2	4	0	1	0	4	0	0	1	0	1
Clostridium_phage_phi3626	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_phage_phiCP34O	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_phage_phiCT9441A	0	0	0	4	0	0	1	2	2	6	0	1	2	2	0	1	4	0
Clostridium_phage_PhiS63	8	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Clostridium_phage_vB_CpeS-CP51	10	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cohcovirus_splanchnicus	5	0	0	6	6	8	11	24	10	13	1	1	8	0	2	6	9	2
Cotonvirus_japonicum	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Culoivirus_faecalis	0	0	0	1	0	1	2	2	3	1	0	0	1	0	1	0	1	0
Cyamitesvirus_I16	1	5	1	2	3	1	0	0	0	4	9	4	6	11	6	6	14	8
Cytorhabdovirus_broussonetiae	20	8	3	1	2	1	0	0	0	0	0	1	2	2	0	0	2	0
Cyvirus_cyprinidallo1	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diachasmimorpha_entomopoxvirus	13	0	1	6	1	2	0	0	0	0	2	2	1	14	0	0	7	1
Diorhovirus_copri	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dragolirvirus_dragolir	155	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drivevirus_gastrointestinalis	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eastlansingvirus_Sf12	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elpedvirus_LpeD	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emcearvirus_gerard	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eneladusvirus_BF	7	10	1	2	1	0	0	0	0	0	2	0	1	10	3	1	12	6
Eneladusvirus_Yen904	38	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_phage_vB_EfaS_IME197	109	38	9	25	18	8	0	0	0	2	5	4	9	14	7	3	12	5
Erskinevirus_asesino	54	19	1	0	1	1	0	0	0	0	1	4	4	4	0	0	0	1
Erskinevirus_EaH2	38	1	8	12	16	16	26	32	24	34	8	8	18	21	7	14	33	14
Erwinia_phage_vB_EamM_ChrisDB	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fadolivirus_algeromassiliense	24	8	0	0	0	1	2	6	4	5	1	1	1	0	0	0	1	1
Faustvirus_faust	157	78	4	7	9	11	1	2	0	0	18	11	17	39	10	11	34	18
Gilesvirus_giles	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gualtarvirus_mp1	138	51	12	8	15	16	1	2	0	1	5	6	8	18	5	11	22	10
Gundelvirus_Gundel	9	22	0	0	0	1	0	0	0	0	0	1	1	4	0	2	1	0
Hubei_virga-like_virus_12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hzauvirus_LPCPA6	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Johnsonvirus_frozen	66	26	2	2	0	4	0	0	0	0	2	2	2	4	2	2	2	2
Jouyvirus_jv1H12	0	0	0	2	7	2	0	1	2	0	0	0	1	1	1	0	0	0
Justusliebigvirus_alia	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kanagawavirus_pei20	30	5	0	0	0	0	0	0	0	0	1	0	1	4	1	2	1	1
Kayvirus_rodi	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kehruavirus_humivicinum	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingevirus_communis	2111	1101	4	13	6	11	0	1	0	0	44	43	61	93	43	45	105	43
Kinglevirus_lutadaptatum	18	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Kirovvirus_kirov	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kratosvirus_quantuckense	42	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kumaovirus_kumao	0	0	1	1	2	3	0	0	0	0	2	0	2	5	1	0	2	2
Lactobacillus_prophage_Lj928	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lacusarxvirus_lacusarx	83	94	10	7	15	16	1	2	1	1	4	4	11	22	4	7	8	9
Lahndsivirus_rarus	1221	1210	4	16	8	18	2	16	6	9	61	60	83	142	50	58	130	63
Leucotheavirus_syn30	6	0	0	0	0	0	0	0	0	0	1	0	3	4	3	2	1	2
Ludhianavirus_LAh10	128	61	3	6	9	3	3	10	5	17	1	2	4	1	0	1	8	1
Lughvirus_lugh	16	19	16	29	23	23	24	10	5	14	9	8	26	26	5	7	22	7
Mapvirus_Ff47	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marfavirus_F48	83	56	0	1	0	0	0	0	0	0	9	4	6	12	6	2	10	5
Matervirus_mater	173	132	14	14	12	15	0	2	0	0	19	9	17	27	18	9	42	16
Megavirus_chilense	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Menderavirus_mendera	4	1	0	0	3	1	2	0	1	0	1	1	1	1	0	0	0	0
Micavirus_Mica	92	106	0	0	1	0	0	0	0	0	1	0	1	3	0	0	1	0
Microbacterium_phage_Pumpernickel	304	272	28	32	34	28	0	0	0	0	22	31	46	64	20	38	66	23
Miltonvirus_MAM1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moonbeamvirus_moonbeam	4	6	3	4	9	3	1	12	1	2	2	0	8	5	12	6	14	5
Moonvirus_merlin	0	0	0	1	1	2	0	0	0	0	0	0	2	6	6	0	8	2
Moumouvirus_australiense	31	17	1	2	0	2	0	0	0	1	0	2	1	1	1	1	1	2
Moumouvirus_goulettemassiliense	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mylasvirus_persius	166	89	2	2	4	3	2	5	2	3	3	2	4	8	0	0	4	1
Natevirus_nate	1133	796	83	74	74	80	2	3	5	7	87	93	117	187	99	86	233	104
Nouzillyvirus_ESCO41	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Omarvirus_omar	56	1	10	3	7	7	1	1	0	0	3	3	7	13	7	8	7	2
Orpheovirus_IHUMI-LCC2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orthobunyavirus_simbuense	4	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Orthoflavivirus_saboyaense	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palaemonvirus_pssm7	49	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoravirus_macleodensis	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoravirus_neocaledonia	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pandoravirus_quercus	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phabquatrovirus_PHB04	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phifelvirus_FL2	53	8	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Poindextervirus_rogue	294	137	10	13	18	22	8	12	9	12	4	8	18	21	6	4	24	14
Polybotosvirus_Atuph07	32	22	2	1	4	0	3	3	3	4	1	1	3	1	3	1	5	8
Pseudomonas_phage_Lu11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_phage_OBP	53	0	0	0	2	1	0	0	0	0	2	2	1	4	1	2	2	1
Psimunavirus_psiM2	3	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	3	2
Punavirus_P1	6	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rockvillevirus_phi4J1	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scale_drop_disease_virus	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schiekvirus_EFP01	0	0	0	3	0	1	0	2	4	2	0	1	0	2	2	1	7	3
Schizotequatrovirus_KVP40	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Shenzhenivirus_sszbm1	5	6	0	5	1	5	1	0	0	4	2	3	7	18	0	5	11	3
Shenzhenvirus_AhSzw1	10	53	0	0	1	0	0	0	0	0	1	4	5	4	4	1	3	3
Sinorhizobium_phage_phiLM21	0	0	1	2	2	3	3	0	0	0	1	2	4	8	6	0	9	3
Staphylococcus_phage_StB20-like	5	0	2	1	1	0	2	4	1	0	0	0	1	1	0	0	5	3
Stormageddonvirus_Stormageddon	12	0	1	0	1	2	0	0	0	0	3	0	3	8	0	1	1	0
Streptococcus_phage_SpSL1	74	64	2	10	9	9	0	0	0	1	5	4	7	8	4	7	8	2
Streptomyces_phage_Gilgamesh	0	0	0	6	1	2	0	0	0	0	3	4	1	9	3	3	0	2
Takahashivirus_PBS1	11	6	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0
Tedavirus_A829	88	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tequintavirus_SP01	1	0	0	1	0	0	1	2	4	0	0	0	1	0	0	0	0	0
Theiavirus_salishense	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toutatisvirus_toutatis	6	6	19	37	31	21	37	17	5	18	5	19	34	30	7	9	27	12
Trichoplusia_ni_ascovirus_2c	11	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Tulanevirus_aes508	38	105	3	2	2	5	0	0	0	0	4	1	0	7	3	1	2	6
Tupanvirus_soda_lake	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Varicellovirus_canidalpha1	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Wakandavirus_wakanda	2	0	4	5	6	2	6	1	1	2	5	3	3	2	1	0	1	1
Wellingtonvirus_wellington	76	22	7	3	12	6	1	1	0	0	5	2	7	19	3	4	5	6
Wroclawvirus_PA5oct	303	699	0	1	1	5	0	0	0	0	10	7	9	15	4	6	17	13
