Taxon	DNA.profile
g__Methanobrevibacter	0.002779
g__Actinomyces	0.000141
g__Adlercreutzia	0.000889
g__Asaccharobacter	0.001606
g__Bifidobacterium	0.005718
g__Collinsella	0.007232
g__Cryptobacterium	0.000113
g__Eggerthella	0.001421
g__Enorma	0.000387
g__Gordonibacter	0.000274
p__Actinobacteria	0.000730
g__Alistipes	0.024579
g__Bacteroides	0.184449
g__Barnesiella	0.002612
g__Butyricimonas	0.001891
g__Gabonia	0.000112
g__Odoribacter	0.004473
g__Parabacteroides	0.017473
g__Tidjanibacter	0.000249
p__Candidatus Melainabacteria	0.003698
g__Agathobaculum	0.004286
g__Anaerobutyricum	0.006126
g__Anaeromassilibacillus	0.001725
g__Anaerostipes	0.010302
g__Anaerotignum	0.000728
g__Anaerotruncus	0.000820
g__Bittarella	0.000215
g__Blautia	0.061707
g__Butyricicoccus	0.000204
g__Candidatus Cibiobacter	0.003788
g__Candidatus Stoquefichus	0.000106
g__Catabacter	0.000227
g__Clostridium	0.049777
g__Coprococcus	0.008192
g__Dialister	0.001429
g__Dorea	0.012231
g__Dysosmobacter	0.002243
g__Eisenbergiella	0.001405
g__Erysipelatoclostridium	0.000274
g__Eubacterium	0.026082
g__Evtepia	0.000691
g__Faecalibacterium	0.080883
g__Faecalicatena	0.000221
g__Flavonifractor	0.000722
g__Frisingicoccus	0.000297
g__Fusicatenibacter	0.026716
g__Gemmiger	0.007234
g__Holdemania	0.000490
g__Hungatella	0.000119
g__Intestinimonas	0.000770
g__Lachnobacterium	0.006603
g__Lachnoclostridium	0.004477
g__Lachnotalea	0.000208
g__Lactobacillus	0.001122
g__Lactococcus	0.000225
g__Lawsonibacter	0.001641
g__Longibaculum	0.000104
g__Marvinbryantia	0.001354
g__Massilioclostridium	0.000125
g__Mediterraneibacter	0.000562
g__Megamonas	0.006414
g__Merdibacter	0.000223
g__Monoglobus	0.001430
g__Mordavella	0.000177
g__Negativibacillus	0.000732
g__Neglecta	0.000691
g__Oscillibacter	0.013145
g__Phascolarctobacterium	0.002858
g__Phocea	0.000104
g__Pseudoflavonifractor	0.000817
g__Pseudoruminoccoccus	0.006136
g__Romboutsia	0.000625
g__Roseburia	0.034407
g__Ruminococcus	0.092725
g__Ruthenibacterium	0.001817
g__Solobacterium	0.001011
g__Staphylococcus	0.000076
g__Streptococcus	0.000368
g__Subdoligranulum	0.026203
g__Turicibacter	0.000163
g__Tyzzerella	0.001913
p__Firmicutes	0.192359
p__Lentisphaerae	0.000570
g__Acetobacter	0.001516
g__Acinetobacter	0.000588
g__Bilophila	0.001312
g__Desulfovibrio	0.000609
g__Escherichia	0.000555
g__Klebsiella	0.000213
g__Oxalobacter	0.000133
g__Parasutterella	0.001251
g__Sutterella	0.002623
p__Proteobacteria	0.000582
g__Mycoplasma	0.000172
p__Tenericutes	0.001442
g__Akkermansia	0.011171
k__Bacteria	0.004137
g__Blastocystis	0.001268
k__Viruses	0.000210
