Taxon	DNA.profile
g__Methanobrevibacter;s__Methanobrevibacter smithii	0.002783
z__HMSC035G02	0.000141
z__Adlercreutzia equolifaciens DSM 19450	0.000891
g__Asaccharobacter;s__Asaccharobacter celatus	0.001609
z__Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	0.001455
z__Bifidobacterium bifidum PRL2010	0.000469
g__Bifidobacterium;s__Bifidobacterium longum	0.001512
z__Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	0.002291
z__Collinsella intestinalis DSM 13280	0.000371
g__Collinsella;s__uncultured Collinsella sp.	0.003373
z__AM34-10	0.001738
z__TF05-9AC	0.001762
z__CAG:338	0.000113
z__Eggerthella lenta DSM 2243	0.000537
g__Eggerthella;s__uncultured Eggerthella sp.	0.000266
z__CAG:298	0.000620
z__Enorma massiliensis phI	0.000387
z__Gordonibacter pamelaeae 7-10-1-b	0.000274
p__Actinobacteria;s__Coriobacteriia bacterium	0.000241
p__Actinobacteria;s__uncultured Coriobacteriaceae bacterium	0.000490
g__Alistipes;s__Alistipes communis	0.001568
z__Alistipes finegoldii DSM 17242	0.001281
z__Alistipes ihumii AP11	0.001075
z__Alistipes indistinctus YIT 12060	0.000122
x__Alistipes onderdonkii subsp. vulgaris	0.002593
z__Alistipes onderdonkii WAL 8169 = DSM 19147	0.001246
z__Alistipes putredinis DSM 17216	0.007202
z__Alistipes shahii WAL 8301	0.008369
z__Alistipes timonensis JC136	0.000325
g__Alistipes;s__uncultured Alistipes sp.	0.000834
g__Bacteroides;s__Bacteroides caccae CAG:21	0.001710
g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158	0.003885
z__Bacteroides cellulosilyticus DSM 14838	0.003830
g__Bacteroides;s__Bacteroides cellulosilyticus	0.002867
g__Bacteroides;s__Bacteroides dorei CAG:222	0.002294
z__Bacteroides dorei DSM 17855	0.006934
g__Bacteroides;s__Bacteroides dorei	0.003175
z__Bacteroides eggerthii DSM 20697	0.000205
z__Bacteroides faecis MAJ27	0.005998
g__Bacteroides;s__Bacteroides finegoldii CAG:203	0.001229
z__Bacteroides finegoldii DSM 17565	0.001576
g__Bacteroides;s__Bacteroides fragilis	0.001035
z__Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223	0.007019
g__Bacteroides;s__Bacteroides ovatus	0.013779
z__Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	0.004527
z__Bacteroides stercoris ATCC 43183	0.006483
g__Bacteroides;s__Bacteroides thetaiotaomicron	0.008322
g__Bacteroides;s__Bacteroides timonensis	0.001252
g__Bacteroides;s__Bacteroides uniformis	0.023876
z__Bacteroides vulgatus ATCC 8482	0.007511
g__Bacteroides;s__Bacteroides vulgatus	0.064419
z__Bacteroides xylanisolvens XB1A	0.002164
g__Bacteroides;s__Bacteroides xylanisolvens	0.001471
g__Bacteroides;s__uncultured Bacteroides sp.	0.005579
z__43_108	0.001002
z__CAG:144	0.000195
z__HF-5092	0.000877
z__OF02-3LB	0.001510
z__Barnesiella intestinihominis YIT 11860	0.002615
g__Butyricimonas;s__Butyricimonas faecalis	0.001322
z__Butyricimonas virosa DSM 23226	0.000572
g__Gabonia;s__Gabonia massiliensis	0.000112
z__Odoribacter laneus YIT 12061	0.000962
g__Odoribacter;s__Odoribacter splanchnicus	0.003429
g__Odoribacter;s__uncultured Odoribacter sp.	0.000089
z__Parabacteroides distasonis ATCC 8503	0.010821
g__Parabacteroides;s__Parabacteroides distasonis	0.001221
z__Parabacteroides goldsteinii CL02T12C30	0.000869
z__Parabacteroides johnsonii CL02T12C29	0.000777
z__Parabacteroides johnsonii DSM 18315	0.001565
z__Parabacteroides merdae ATCC 43184	0.002247
g__Tidjanibacter;s__Tidjanibacter massiliensis	0.000250
p__Candidatus Melainabacteria;s__Candidatus Gastranaerophilales bacterium	0.003704
g__Agathobaculum;s__Agathobaculum butyriciproducens	0.004293
z__Anaerobutyricum hallii DSM 3353	0.002726
g__Anaerobutyricum;s__Anaerobutyricum hallii	0.002377
g__Anaerobutyricum;s__Anaerobutyricum soehngenii	0.001032
z__An172	0.000242
z__An200	0.000313
z__An250	0.000837
z__Marseille-P4683	0.000335
z__Anaerostipes hadrus DSM 3319	0.002577
g__Anaerostipes;s__Anaerostipes hadrus	0.007741
g__Anaerotignum;s__Anaerotignum faecicola	0.000729
z__Anaerotruncus colihominis DSM 17241	0.000263
g__Anaerotruncus;s__Anaerotruncus massiliensis	0.000558
g__Bittarella;s__Bittarella massiliensis	0.000215
g__Blautia;s__Blautia hansenii	0.000255
g__Blautia;s__Blautia massiliensis	0.004892
z__Blautia obeum A2-162	0.000622
z__Blautia obeum ATCC 29174	0.010068
g__Blautia;s__Blautia obeum	0.008200
z__Blautia wexlerae AGR2146	0.002462
z__Blautia wexlerae DSM 19850	0.013446
z__[Ruminococcus] gnavus AGR2154	0.000578
z__[Ruminococcus] gnavus ATCC 29149	0.001951
z__[Ruminococcus] torques ATCC 27756	0.000475
z__[Ruminococcus] torques L2-14	0.002440
g__Blautia;s__uncultured Blautia sp.	0.006581
z__AF19-10LB	0.000882
z__KGMB01111	0.000913
z__Marseille-P3087	0.000809
z__SG-772	0.007224
z__OM04-18BH	0.000204
g__Candidatus Cibiobacter;s__Candidatus Cibiobacter qucibialis	0.003793
z__SB1	0.000106
z__UBA1685	0.000227
g__Clostridium;s__Clostridium disporicum	0.000236
g__Clostridium;s__Clostridium phoceensis	0.000960
g__Clostridium;s__Clostridium sporogenes	0.001972
g__Clostridium;s__uncultured Clostridium sp.	0.009569
z__26_22	0.001458
z__29_15	0.000157
z__AF27-2AA	0.001392
z__AF37-5	0.003940
z__AM22-11AC	0.001931
z__AM33-3	0.000620
z__AM34-11AC	0.001706
z__AM49-4BH	0.007970
z__AT4	0.000154
z__CAG:138	0.004410
z__CAG:167	0.003469
z__CAG:169	0.000396
z__CAG:217	0.004989
z__CAG:245	0.000129
z__CAG:253	0.000355
z__CAG:273	0.000319
z__CAG:354_28_25	0.000694
z__CAG:433	0.000198
z__CAG:58	0.000965
z__Marseille-P3244	0.000093
z__OF03-18AA	0.001443
z__SN20	0.000328
z__Coprococcus catus GD/7	0.001279
z__Coprococcus comes ATCC 27758	0.003902
z__Coprococcus eutactus ATCC 27759	0.001087
g__Coprococcus;s__Coprococcus phoceensis	0.001936
z__Dialister invisus DSM 15470	0.000377
g__Dialister;s__uncultured Dialister sp.	0.001054
z__Dorea formicigenerans ATCC 27755	0.003280
z__Dorea longicatena DSM 13814	0.006042
g__Dorea;s__Dorea longicatena	0.001523
g__Dorea;s__uncultured Dorea sp.	0.000345
z__AF36-15AT	0.000838
z__AM10-31	0.000221
g__Dysosmobacter;s__Dysosmobacter welbionis	0.002246
g__Eisenbergiella;s__Eisenbergiella massiliensis	0.001057
g__Eisenbergiella;s__Eisenbergiella tayi	0.000350
z__[Clostridium] innocuum 2959	0.000139
z__[Clostridium] spiroforme DSM 1552	0.000135
z__Eubacterium ramulus ATCC 29099	0.002775
z__[Eubacterium] eligens ATCC 27750	0.002544
g__Eubacterium;s__[Eubacterium] eligens	0.009306
g__Eubacterium;s__uncultured Eubacterium sp.	0.006524
z__AF19-12LB	0.000538
z__AF22-9	0.000987
z__AM49-13BH	0.002458
z__CAG:38	0.000988
g__Evtepia;s__Evtepia gabavorous	0.000692
z__Faecalibacterium prausnitzii A2-165	0.016129
z__Faecalibacterium prausnitzii M21/2	0.001912
g__Faecalibacterium;s__Faecalibacterium prausnitzii	0.044799
g__Faecalibacterium;s__uncultured Faecalibacterium sp.	0.018161
g__Faecalicatena;s__Faecalicatena contorta	0.000221
g__Flavonifractor;s__uncultured Flavonifractor sp.	0.000537
z__An100	0.000186
g__Frisingicoccus;s__Frisingicoccus caecimuris	0.000297
g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	0.026756
g__Gemmiger;s__Gemmiger formicilis	0.007244
z__Holdemania filiformis DSM 12042	0.000491
z__Hungatella hathewayi DSM 13479	0.000119
g__Intestinimonas;s__Intestinimonas butyriciproducens	0.000189
g__Intestinimonas;s__Intestinimonas massiliensis	0.000582
g__Lachnobacterium;s__uncultured Lachnobacterium sp.	0.006613
g__Lachnoclostridium;s__[Clostridium] bolteae	0.000469
z__[Clostridium] citroniae WAL-17108	0.000149
z__[Clostridium] clostridioforme AGR2157	0.000168
g__Lachnoclostridium;s__[Clostridium] lavalense	0.000356
z__[Clostridium] symbiosum WAL-14163	0.000304
z__An138	0.000248
z__SNUG30386	0.002789
z__AF33-28	0.000208
z__Lactobacillus paracasei ATCC 334	0.000070
g__Lactobacillus;s__Lactobacillus rogosae	0.001053
x__Lactococcus lactis subsp. lactis	0.000225
g__Lawsonibacter;s__Lawsonibacter asaccharolyticus	0.001644
g__Longibaculum;s__Longibaculum muris	0.000105
z__Marvinbryantia formatexigens DSM 14469	0.000166
g__Marvinbryantia;s__uncultured Marvinbryantia sp.	0.001190
g__Massilioclostridium;s__Massilioclostridium coli	0.000125
g__Mediterraneibacter;s__Mediterraneibacter butyricigenes	0.000394
g__Mediterraneibacter;s__Mediterraneibacter massiliensis	0.000169
g__Megamonas;s__Megamonas funiformis	0.005324
z__Megamonas rupellensis DSM 19944	0.001099
g__Merdibacter;s__Merdibacter massiliensis	0.000223
g__Monoglobus;s__Monoglobus pectinilyticus	0.001432
z__Marseille-P3756	0.000178
g__Negativibacillus;s__Negativibacillus massiliensis	0.000733
g__Neglecta;s__Neglecta timonensis	0.000692
g__Oscillibacter;s__Oscillibacter sp.	0.002844
g__Oscillibacter;s__uncultured Oscillibacter sp.	0.003264
z__57_20	0.001046
z__CAG:241	0.001201
z__CAG:241_62_21	0.001073
z__ER4	0.003738
z__Phascolarctobacterium faecium DSM 14760	0.001271
z__Phascolarctobacterium succinatutens YIT 12067	0.001591
g__Phocea;s__Phocea massiliensis	0.000104
z__Pseudoflavonifractor capillosus ATCC 29799	0.000454
z__AF19-9AC	0.000163
z__Marseille-P3106	0.000201
g__Pseudoruminoccoccus;s__Pseudoruminoccoccus massiliensis	0.006145
g__Romboutsia;s__Romboutsia timonensis	0.000625
g__Roseburia;s__Roseburia faecis	0.011740
z__Roseburia hominis OB EAV1 11 DCM	0.003977
g__Roseburia;s__Roseburia hominis	0.001252
z__Roseburia intestinalis L1-82	0.006576
z__Roseburia inulinivorans DSM 16841	0.001590
g__Roseburia;s__uncultured Roseburia sp.	0.005001
z__AM23-20	0.000580
z__CAG:10041_57	0.003341
z__CAG:182	0.000401
g__Ruminococcus;s__Ruminococcus bicirculans	0.010219
g__Ruminococcus;s__Ruminococcus bromii	0.031310
z__Ruminococcus faecis JCM 15917	0.002681
g__Ruminococcus;s__Ruminococcus faecis	0.001469
z__Ruminococcus lactaris CC59_002D	0.000662
g__Ruminococcus;s__uncultured Ruminococcus sp.	0.017325
z__AF21-42	0.000577
z__AF31-8BH	0.001396
z__AF41-9	0.000628
z__AF46-10NS	0.001172
z__AM22-13	0.000976
z__AM40-10AC	0.006057
z__AM42-11	0.016528
z__JC304	0.001861
g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	0.001820
g__Solobacterium;s__uncultured Solobacterium sp.	0.001013
z__CAG:324	0.000076
g__Streptococcus;s__Streptococcus thermophilus	0.000368
z__Subdoligranulum variabile DSM 15176	0.000491
g__Subdoligranulum;s__Subdoligranulum variabile	0.000145
z__APC924/74	0.024161
z__CAG:314	0.001446
g__Turicibacter;s__Turicibacter sanguinis	0.000163
z__Tyzzerella nexilis DSM 1787	0.001916
p__Firmicutes;s__Clostridia bacterium UC5.1-1D4	0.000312
p__Firmicutes;s__Clostridia bacterium UC5.1-1E11	0.000127
p__Firmicutes;s__Clostridiaceae bacterium AM27-36LB	0.001024
p__Firmicutes;s__Clostridiaceae bacterium OM08-6BH	0.000941
p__Firmicutes;s__Clostridiales bacterium CCNA10	0.001078
p__Firmicutes;s__Clostridiales bacterium UBA1390	0.000199
p__Firmicutes;s__Clostridiales bacterium UBA4696	0.001200
p__Firmicutes;s__Clostridiales bacterium VE202-03	0.001467
p__Firmicutes;s__Clostridiales bacterium	0.007985
p__Firmicutes;s__Firmicutes bacterium AF25-13AC	0.013339
p__Firmicutes;s__Firmicutes bacterium AM31-12AC	0.000307
p__Firmicutes;s__Firmicutes bacterium AM55-24TS	0.009446
p__Firmicutes;s__Firmicutes bacterium CAG:103	0.000787
p__Firmicutes;s__Firmicutes bacterium CAG:124	0.006931
p__Firmicutes;s__Firmicutes bacterium CAG:170	0.000296
p__Firmicutes;s__Firmicutes bacterium CAG:176	0.000632
p__Firmicutes;s__Firmicutes bacterium CAG:194	0.007427
p__Firmicutes;s__Firmicutes bacterium CAG:24053_14	0.000281
p__Firmicutes;s__Firmicutes bacterium CAG:424	0.000194
p__Firmicutes;s__Firmicutes bacterium CAG:83	0.001984
p__Firmicutes;s__Firmicutes bacterium CAG:94	0.000254
p__Firmicutes;s__Firmicutes bacterium CAG:95	0.000160
p__Firmicutes;s__Firmicutes bacterium OM08-11AC	0.001362
p__Firmicutes;s__Firmicutes bacterium TM09-10	0.003932
p__Firmicutes;s__Lachnospiraceae bacterium AM48-27BH	0.001887
p__Firmicutes;s__Lachnospiraceae bacterium GAM79	0.004687
p__Firmicutes;s__Lachnospiraceae bacterium OF09-33XD	0.000200
p__Firmicutes;s__Lachnospiraceae bacterium OM04-12BH	0.000891
p__Firmicutes;s__Lachnospiraceae bacterium UBA7598	0.000367
