feature	Bacteria.Actinobacteria	Bacteria.Bacteroidetes	Bacteria.Candidatus.Melainabacteria	Bacteria.Cyanobacteria	Bacteria.Deferribacteres	Bacteria.Firmicutes	Bacteria.Fusobacteria	Bacteria.Lentisphaerae	Bacteria.Proteobacteria	Bacteria.Synergistetes	Bacteria.Tenericutes	Bacteria.Verrucomicrobia
PRMT_FM1_FR_MONT_20240807_bc25_D6323	0.0108931859720921	0.0502457753696869	0.00211981831357595	0	0	0.930081349110302	0.000153252350011545	0.000351912801627408	0.00311338640737481	0.000234984996062074	0.000237938828680191	0.00256839585058713
PRMT_FM2_FR_MONT_20240807_bc26_D6323	0.0106376993685769	0.0484793402016997	0.00221488221834379	0	0	0.93156179646154	6.42110017801947e-05	0.00027898573187257	0.00395558618211537	0.000163375486302591	0.000277172971802032	0.00236695037596649
PRMT_FM3_FR_MONT_20240807_bc27_D6323	0.00916269260140734	0.0481039883544917	0.0021748893343701	0	0	0.934117762600062	8.9907533866261e-05	0.000335424260962589	0.00314761905394933	0.000194543867711088	0.000186731031876081	0.00248644136130405
PRMT_FO1_FR_ONT_20240807_bc10_D6323	0.00107733865419129	0.0273365080057156	0.00245452875614931	2.70936974316398e-05	0	0.965590905795406	4.01281580537094e-05	0.000225476558081233	0.00194740707454763	0.000143370997575054	0.000419666668069679	0.000737575634778792
PRMT_FO2_FR_ONT_20240807_bc11_D6323	0.000945606792051468	0.027001198525751	0.00246133459264162	3.9988364438559e-05	0	0.965861667325966	4.57495128391719e-05	0.000220169530538515	0.00202262119842121	0.000175011972645485	0.000446032137187772	0.000780620047519322
PRMT_FO3_FR_ONT_20240807_bc12_D6323	0.000841476133325019	0.0253350768819859	0.00233881386135194	4.69863919310694e-05	0	0.96778251843898	5.69622433056116e-05	0.000241096006549333	0.00211168167116968	0.000177847182544424	0.000382669565856343	0.000684871623000396
PRMT_FP1_FR_PB_20240807_bc40_D6323	0.0110869104086596	0.0573218569847366	0.00207520101503072	0	0	0.922519229380379	8.72969205565633e-05	0.000202161289709936	0.0039813356297724	9.65334103080297e-05	0.000419484498335962	0.00220999046251089
PRMT_FP2_FR_PB_20240807_bc41_D6323	0.0122050610085037	0.0576211221853876	0.00202305586220254	0	0	0.9226960752689	0	0.000271305837835265	0.00266548378844559	0.000176103324242271	0.000442651859636473	0.00189914086484686
PRMT_FP3_FR_PB_20240807_bc42_D6323	0.00970109695285357	0.0492207331524815	0.00212889845441652	0	0	0.93337516877985	7.76638707673191e-05	0.000242128538274583	0.00294667109213875	0.000170038878628329	0.000269098919166012	0.00186850136142341
PRMT_CO1_canis_ONT_20240807_bc01	0.00148486119668682	0.00707538042874026	0.0001110967407034	0	7.49902999747953e-05	0.967077897879773	0.0155543324854289	0	0.00830759269523879	0	0.000313848273454531	0
