feature	Bacteria.Actinobacteria	Bacteria.Bacteroidetes	Bacteria.Candidatus.Melainabacteria	Bacteria.Cyanobacteria	Bacteria.Deferribacteres	Bacteria.Firmicutes	Bacteria.Fusobacteria	Bacteria.Lentisphaerae	Bacteria.Proteobacteria	Bacteria.Synergistetes	Bacteria.Tenericutes	Bacteria.Verrucomicrobia
PRMT_FM1_FR_MONT_20240807_bc25_D6323	11528.8573787554	53177.8654661901	2243.52022160485	0	0	984356.20689892	162.195384414508	372.448658281874	3295.0679394934	248.697535568353	251.823738963964	2718.27448181529
PRMT_FM2_FR_MONT_20240807_bc26_D6323	14426.3159986955	65745.2572145349	3003.71252040692	0	0	1263337.53027132	87.079750064211	378.346500278986	5364.36820087576	221.561665749258	375.888125709325	3209.93975236695
PRMT_FM3_FR_MONT_20240807_bc27_D6323	7959.85943749633	41789.1336467953	1889.38057258812	0	0	811491.38269934	78.1049155613339	291.391415748053	2734.41512469529	169.005106770611	162.217901550463	2160.03358363429
PRMT_FO1_FR_ONT_20240807_bc10_D6323	1692.6358477436	42949.1258134958	3856.37640106258	42.5676395646799	0	1517065.94304962	63.0464325784502	354.252308268493	3059.62383481279	225.254045307102	659.34963320431	1158.8249943431
PRMT_FO2_FR_ONT_20240807_bc11_D6323	1985.42817122219	56692.6344654167	5167.9017960865	83.9609295795893	0	2027955.99601429	96.0572326405618	462.275432082704	4246.76423732592	367.46108817353	936.504240332111	1639.01639285318
PRMT_FO3_FR_ONT_20240807_bc12_D6323	1906.66540843925	57405.6860295686	5299.42004248807	106.464490927797	0	2192857.73858913	129.068353333748	546.289309459121	4784.77075772187	402.976457105124	867.074888027679	1551.82182961823
PRMT_FP1_FR_PB_20240807_bc40_D6323	7253.1334982897	37500.3554421641	1357.61086208902	0	0	603518.462655655	57.1102494245639	132.255314456885	2604.6173153597	63.1528249260889	274.429661172093	1445.79105122185
PRMT_FP2_FR_PB_20240807_bc41_D6323	7707.56925723611	36388.0843868054	1277.57191531607	0	0	582688.107708762	0	171.331264427997	1683.26900530612	111.210305878939	279.53730527159	1199.31885099598
PRMT_FP3_FR_PB_20240807_bc42_D6323	6384.38891564246	32392.6566949795	1401.04936183605	0	0	614263.532325707	51.1113699906803	159.347212323886	1939.23371244743	111.904286414089	177.096689692344	1229.67943096636
PRMT_CO1_canis_ONT_20240807_bc01	1606.5150712937	7655.06251983031	120.198836571298	0	81.1342146856258	1046310.06691096	16828.6905318228	0	8988.22927075617	0	339.561692722011	0
PRMT_CO2_canis_ONT_20240807_bc02	1022.31588374361	4957.66122541155	108.195773425002	0	72.1305156172534	740880.904015226	10850.6923657887	0	5848.54154083944	0	193.348238573539	0
PRMT_CO3_canis_ONT_20240807_bc03	971.030522245998	6040.43266221581	138.251478091844	0	45.0820037256014	773445.663822056	14350.067279019	0	6594.16995347918	0	234.426419373127	0
PRMT_CP1_canis_PB_20240807_bc31	10467.5593053213	8998.64856013252	150.273985068371	0	57.1041142822796	843478.830879706	5367.7946363724	0	9558.45375027012	0	123.225336238585	33.0602766897408
PRMT_CP2_canis_PB_20240807_bc32	19743.4264894204	15455.8699700842	202.471095136532	0	153.162250978789	1616951.15693228	10466.0899468845	0	16812.3119208248	0	255.426395126915	0
PRMT_CP3_canis_PB_20240807_bc33	11312.7802445064	12464.7398463482	174.268359411546	0	129.198956115457	983084.95263914	8178.59014437627	0	12600.747844234	0	156.240601334169	0
PRMT_LM1_canis_MONT_20240807_bc16	16889.6596540237	8753.80989580701	135.284423634119	0	63.1327310292554	679629.772224579	3454.26413428499	0	5462.61290068706	0	54.1136226508956	0
PRMT_LM2_canis_MONT_20240807_bc17	45739.4792504698	20883.37261142	252.329202849884	0	126.123719990538	1873763.56099609	8179.57954415955	0	14640.2859522781	0	159.156122854089	45.0441857109064
PRMT_LM3_canis_MONT_20240807_bc18	36510.8469723833	23626.5310984289	294.276304408432	0	168.188361099514	1638038.71293627	8760.81159512254	0	16148.9470822232	0	177.211987429239	0
PRMT_HM1_human_MONT_20240807_bc28	28630.9509628117	155724.183669062	276.15824960256	0	0	1056073.13529293	171.098043372474	0	4928.34748081115	0	0	0
PRMT_HM2_human_MONT_20240807_bc29	18977.3953235311	98219.8694374802	230.724120303161	0	0	734697.738656421	72.06213406955	0	3609.1119492622	0	0	0
PRMT_HM3_human_MONT_20240807_bc30	15332.7018750621	114771.076593827	168.033974513202	0	0	659347.622368775	126.105653592796	0	4825.16152235305	0	0	30.0251556173325
PRMT_HO1_human_ONT_20240807_bc13	2535.73639912343	195629.464299854	651.092558297706	0	0	2397690.76080257	192.054408739813	0	6820.74262933947	0	0	30.0082284892425
PRMT_HO2_human_ONT_20240807_bc14	1191.77104175729	75044.8174739535	279.205261189833	0	0	907697.592509538	111.081663054049	0	3017.38834843735	0	0	0
PRMT_HO3_human_ONT_20240807_bc15	1514.15631417309	130930.369447398	441.682310459415	0	0	1280087.10031253	99.0509506898724	0	4745.50943709804	0	0	36.0185166370333
PRMT_HP1_human_PB_20240807_bc43	22250.8037269101	121965.325690722	111.099358092458	0	0	713452.914388798	111.099358092458	0	3978.53729984807	0	0	36.0375734777106
PRMT_HP2_human_PB_20240807_bc44	12078.7962125779	65666.2684601379	102.128087564467	0	0	433877.605041398	39.0489746570022	0	2454.0778780423	0	0	0
PRMT_HP3_human_PB_20240807_bc45	30868.9753940696	230084.355293952	261.178520631176	0	0	1048942.97940648	141.068024021864	0	8324.46301362715	0	0	30.0144731961414
