feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteria.Firmicutes.Bacilli.Lactobacillales	source	Canis_lupus	5.89563432983677	0.113439595014907	27	27	3.52481347671019e-26	3.10183585950496e-24
Bacteria.Firmicutes.Negativicutes.Selenomonadales	source	Homo_sapiens	-6.13816769478509	0.133026794930163	27	27	5.96052498062227e-25	2.6226309914738e-23
Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	source	Canis_lupus	-3.8811397107031	0.129992115474045	27	27	1.72066814253832e-20	5.04729321811241e-19
Bacteria.Firmicutes.Negativicutes.Acidaminococcales	source	Homo_sapiens	2.23603444488787	0.0784369846755568	27	27	5.07005901979399e-20	1.11541298435468e-18
Bacteria.Firmicutes.Negativicutes.Acidaminococcales	source	Canis_lupus	2.13978532982748	0.0784369846755568	27	27	1.41385837704799e-19	2.48839074360446e-18
Bacteria.Candidatus.Melainabacteria.unassigned.Vampirovibrionales	source	Homo_sapiens	-3.30742312348637	0.129992115474045	27	27	7.13958548151841e-19	1.04713920395603e-17
Bacteria.Firmicutes.Clostridia.Clostridiales	source	Canis_lupus	-0.564739674711816	0.0236632272251333	27	27	3.13636636630441e-18	3.94286057478268e-17
Bacteria.Fusobacteria.Fusobacteriia.Fusobacteriales	source	Canis_lupus	7.00873346679841	0.335734495900523	27	26	6.75686633980323e-17	7.43255297378355e-16
Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales	source	Canis_lupus	1.48212851945771	0.0739311914021902	27	9	1.69737086907634e-16	1.6596515164302e-15
Bacteria.Synergistetes.Synergistia.Synergistales	source	Canis_lupus	-1.78313171179707	0.0954928850950037	27	9	8.45571555313183e-16	6.76457244250546e-15
Bacteria.Synergistetes.Synergistia.Synergistales	source	Homo_sapiens	-1.78313171179707	0.0954928850950037	27	9	8.45571555313183e-16	6.76457244250546e-15
Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	source	Canis_lupus	-1.35713727182045	0.0741328317784435	27	9	1.31980626862088e-15	8.93407320297217e-15
Bacteria.Lentisphaerae.Lentisphaeria.Victivallales	source	Homo_sapiens	-1.35713727182045	0.0741328317784435	27	9	1.31980626862089e-15	8.93407320297217e-15
Bacteria.Deferribacteres.Deferribacteres.Deferribacterales	source	Canis_lupus	1.54113574826358	0.0994374884413561	27	9	5.31600447158072e-14	3.3414885249936e-13
Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales	source	Canis_lupus	-7.53301631675482	0.495210179792764	27	16	7.99758424183047e-14	4.69191608854054e-13
Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	source	Canis_lupus	-1.65891313405046	0.115846665107186	27	9	2.96867403193928e-13	1.53672538123916e-12
Bacteria.Tenericutes.Mollicutes.Acholeplasmatales	source	Homo_sapiens	-1.65891313405046	0.115846665107186	27	9	2.96867403193925e-13	1.53672538123916e-12
Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales	source	Homo_sapiens	-6.86707015236365	0.495210179792764	27	16	5.92666527786623e-13	2.89748080251238e-12
Bacteria.Firmicutes.Bacilli.Lactobacillales	source	Homo_sapiens	-1.43798886755882	0.113439595014907	27	27	3.98442435881483e-12	1.84541759776687e-11
Bacteria.Firmicutes.Negativicutes.Selenomonadales	source	Canis_lupus	1.5955821697446	0.133026794930163	27	27	1.26191317725511e-11	5.55241797992247e-11
Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales	source	Homo_sapiens	-3.25218645330101	0.288805414709678	27	27	4.60625741304916e-11	1.93024120165869e-10
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales	source	Homo_sapiens	3.9605684996191	0.353945076386921	27	17	5.23791124211004e-11	2.09516449684401e-10
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales	source	Canis_lupus	-2.10496485875847	0.204787118436447	27	27	2.8652294596602e-10	1.09626170630477e-09
Bacteria.Proteobacteria.Alphaproteobacteria.Kiloniellales	source	Homo_sapiens	-3.79643990781271	0.377936394099864	27	19	4.50091445146289e-10	1.65033529886973e-09
