species	WGS_kraken2_kraken2_standard_ONT_Z1	WGS_kraken2_kraken2_standard_NovaSeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Z4	WGS_kraken2_kraken2_standard_MySeq_Z3	WGS_kraken2_kraken2_standard_MySeq_Z2	WGS_kraken2_kraken2_standard_MySeq_Z1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
[Clostridium]_scindens	20041	43618	2008	2285	2676	2636	71	84	43	72	3317	2880	5092	8520	3637	3778	9223	4590
[Ruminococcus]_lactaris	10448	11171	944	1205	1216	1247	35	33	19	33	1256	1090	1810	3161	1334	1333	3391	1529
[Ruminococcus]_torques	25064	39651	2385	2668	2983	2882	104	108	34	82	3622	3149	5363	9016	3827	4147	10013	4873
Agathobacter_rectalis	3279	7129	772	929	1009	974	100	88	38	85	1067	961	1690	2676	1034	1097	2767	1372
Amedibacterium_intestinale	74777	114140	1622	2825	2557	2470	8031	5597	1874	4462	5815	3797	7675	15796	3114	3605	8059	4272
Bacteroides_faecis	656	543	283	670	572	1204	2373	3354	2210	2567	209	314	1037	365	310	386	1464	406
Bifidobacterium_pseudolongum	148	779	8911	18359	22166	16002	18	19	31	41	20009	14347	23689	71267	7047	9996	22474	11452
Blautia_argi	37676	98186	10007	8756	9380	10033	60	109	48	87	11529	10654	17292	27024	13270	14001	34713	15937
Blautia_hansenii	251318	1817766	67588	84639	87181	38504	404	371	230	431	38327	33086	56919	112062	31149	35184	77864	40173
Blautia_luti	11565	15409	1734	2159	2078	2124	43	34	15	48	2348	2017	3339	5782	2125	2361	5609	2684
