genus	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Blautia	65967.8026727315	48566.9609561874	46975.8048035105	54763.1912414042	109599.827741492	62150.5406977808	45593.0634104969	128682.99922555	103893.313991864
Clostridium	1883.53115067448	1420.25605676871	1377.85558889064	1610.40328722193	3454.95832841574	1818.86751374511	1345.68722829043	3927.72616588013	3105.1799815921
Collinsella	418.69128060597	257.465868244918	257.516355104452	2430.4312499412	4408.09762336229	2744.22001840683	4402.21851673737	11582.4249814022	9578.74272762862
Emergencia	2979.8685472208	2062.33599184615	2215.51354584394	2489.67477290385	4763.91604536828	3043.05387668113	2026.22745654723	5545.04563001083	5072.68988029878
Enterococcus	5388.39102538206	3861.08737127539	3369.43981310562	4014.63314875312	8242.81082868296	4098.60831003714	3022.81220018017	9335.08914925218	6622.69377856367
Faecalibacterium	14534.7959740164	9001.91965432132	11731.6627162393	10728.2652066041	18384.6796052012	14229.8404746529	8672.27791048591	22460.7503627101	24208.5310757214
Faecalicatena	1796.09313073032	1377.94617553271	1416.01417680808	1780.43259153775	3390.49917667008	2207.370973565	1434.02449890895	3804.53686470713	3514.44553565797
Faecalimonas	6541.95808035678	4803.82421994449	4574.50831347615	5654.01521135371	11342.3581524505	6322.86780184717	4727.02185187296	13266.9707716534	10447.6238852522
Fusobacterium	5609.5635106076	3616.89745526291	4783.35575967301	1789.2648787908	3488.69664896149	2726.19671479209	1151.421378095	2726.52651471985	2920.27053170751
Lachnospira	2975.74207028868	1998.6427056388	2308.53750957564	2492.93246773168	4449.12369361704	3147.51771323509	1921.94290381531	4811.28979642579	4812.3555162567
Lactobacillus	22752.7835492796	16720.8831609374	15632.6954621665	17768.1342596333	35856.9514542438	19370.5391404838	14869.2946755673	43170.1080841358	33082.3374610833
Mediterraneibacter	9365.39432829823	6877.0131234672	6955.60018538772	7726.08873759444	15378.0364384685	8968.65948443012	6199.56056784813	18012.576203462	15034.4403083531
Megamonas	14940.3856091522	9586.58442106426	12493.760575094	11452.7645989142	19170.2766857162	15471.4973971521	9365.73661849155	22445.4220910338	26251.9932823289
Peptacetobacter	75301.3927837254	50655.7343278623	60273.1913015495	62627.8012461857	112962.234285813	78789.2685334098	49584.2984977639	127182.494449114	126732.409675076
Peptococcus	1341.21853043231	989.780743666733	1095.99157313038	2309.20323537529	4163.41039182921	2713.17795189814	1857.98164123672	4858.73173693588	4437.92846655065
Phascolarctobacterium	8731.25154439295	5374.56785059515	7662.70116774178	6409.21211383983	10685.5431660897	8910.3376267617	5405.98357447459	13132.7481221077	15623.6883033236
Romboutsia	3090.50169757505	2086.85594374849	2133.55888830343	2441.26851196908	4617.79737451	2655.84933616251	2022.12206744062	5348.44229177044	4582.59448275247
Streptococcus	73273.0518007412	55589.8569303744	48352.0900903977	56135.2101340845	114823.211928733	56976.1749721753	45542.359749799	135921.92982854	98992.3502235063
Tyzzerella	2225.02754577943	1593.29806401731	1675.53812458118	2153.20302041903	3833.38170679557	2454.97571291397	1631.73888329928	4604.72896697788	4074.0467566593
unassigned	10689.1831845879	7654.12124994048	8656.24134675814	8837.71761624241	17041.3845445989	10886.2373052629	6361.98957438183	17406.555093108	16520.1068125781
