species	Toti_Illumina_V1_V2_EMU_EMUdb_I_1	Toti_Illumina_V1_V2_EMU_EMUdb_I_2	Toti_Illumina_V1_V2_EMU_EMUdb_I_3	Toti_Illumina_V1_V2_EMU_EMUdb_I_4	Toti_Illumina_V1_V2_EMU_EMUdb_MN_1	Toti_Illumina_V1_V2_EMU_EMUdb_MN_2	Toti_Illumina_V1_V2_EMU_EMUdb_MN_3	Toti_Illumina_V1_V2_EMU_EMUdb_MN_4	Toti_Illumina_V1_V2_EMU_EMUdb_Z_1	Toti_Illumina_V1_V2_EMU_EMUdb_Z_2	Toti_Illumina_V1_V2_EMU_EMUdb_Z_3	Toti_Illumina_V1_V2_EMU_EMUdb_Z_4	Toti_Illumina_V1_V3_EMU_EMUdb_I_1	Toti_Illumina_V1_V3_EMU_EMUdb_I_2	Toti_Illumina_V1_V3_EMU_EMUdb_I_3	Toti_Illumina_V1_V3_EMU_EMUdb_I_4	Toti_Illumina_V1_V3_EMU_EMUdb_MN_1	Toti_Illumina_V1_V3_EMU_EMUdb_MN_2	Toti_Illumina_V1_V3_EMU_EMUdb_MN_3	Toti_Illumina_V1_V3_EMU_EMUdb_MN_4	Toti_Illumina_V1_V3_EMU_EMUdb_Q_1	Toti_Illumina_V1_V3_EMU_EMUdb_Q_2	Toti_Illumina_V1_V3_EMU_EMUdb_Q_3	Toti_Illumina_V1_V3_EMU_EMUdb_Q_4	Toti_Illumina_V1_V3_EMU_EMUdb_Z_1	Toti_Illumina_V1_V3_EMU_EMUdb_Z_2	Toti_Illumina_V1_V3_EMU_EMUdb_Z_3	Toti_Illumina_V1_V3_EMU_EMUdb_Z_4	Toti_Illumina_V3_V4_EMU_EMUdb_I_1	Toti_Illumina_V3_V4_EMU_EMUdb_I_2	Toti_Illumina_V3_V4_EMU_EMUdb_I_3	Toti_Illumina_V3_V4_EMU_EMUdb_I_4	Toti_Illumina_V3_V4_EMU_EMUdb_MN_1	Toti_Illumina_V3_V4_EMU_EMUdb_MN_2	Toti_Illumina_V3_V4_EMU_EMUdb_MN_3	Toti_Illumina_V3_V4_EMU_EMUdb_MN_4	Toti_Illumina_V3_V4_EMU_EMUdb_Z_1	Toti_Illumina_V3_V4_EMU_EMUdb_Z_2	Toti_Illumina_V3_V4_EMU_EMUdb_Z_3	Toti_Illumina_V3_V4_EMU_EMUdb_Z_4	Toti_ONT_V1_V9_EMU_EMUdb_I_1	Toti_ONT_V1_V9_EMU_EMUdb_I_2	Toti_ONT_V1_V9_EMU_EMUdb_I_3	Toti_ONT_V1_V9_EMU_EMUdb_I_4	Toti_ONT_V1_V9_EMU_EMUdb_MN_1	Toti_ONT_V1_V9_EMU_EMUdb_MN_2	Toti_ONT_V1_V9_EMU_EMUdb_MN_3	Toti_ONT_V1_V9_EMU_EMUdb_MN_4	Toti_ONT_V1_V9_EMU_EMUdb_Q_1	Toti_ONT_V1_V9_EMU_EMUdb_Q_2	Toti_ONT_V1_V9_EMU_EMUdb_Q_3	Toti_ONT_V1_V9_EMU_EMUdb_Q_4	Toti_ONT_V1_V9_EMU_EMUdb_Z_1	Toti_ONT_V1_V9_EMU_EMUdb_Z_2	Toti_ONT_V1_V9_EMU_EMUdb_Z_3	Toti_ONT_V1_V9_EMU_EMUdb_Z_4	Toti_PacBio_V1_V9_EMU_EMUdb_I_1	Toti_PacBio_V1_V9_EMU_EMUdb_I_2	Toti_PacBio_V1_V9_EMU_EMUdb_I_3	Toti_PacBio_V1_V9_EMU_EMUdb_I_4	Toti_PacBio_V1_V9_EMU_EMUdb_MN_1	Toti_PacBio_V1_V9_EMU_EMUdb_MN_2	Toti_PacBio_V1_V9_EMU_EMUdb_MN_3	Toti_PacBio_V1_V9_EMU_EMUdb_MN_4	Toti_PacBio_V1_V9_EMU_EMUdb_Z_1	Toti_PacBio_V1_V9_EMU_EMUdb_Z_2	Toti_PacBio_V1_V9_EMU_EMUdb_Z_3	Toti_PacBio_V1_V9_EMU_EMUdb_Z_4
[Clostridium] spiroforme	808	378	749	673	671	432	514	542	469	206	396	965	2854	85	2898	11	3068	1880	0	5776	99	156	83	0	456	96	827	26	797	393	507	434	693	607	442	412	514	255	309	806	1002	6390	2102	921	0	1665	552	792	0	0	0	0	2975	1485	2648	3449	239	172	141	346	69	88	99	352	338	90	52	215
[Ruminococcus] gnavus	1943	1291	1784	1735	2252	1244	2174	1698	2016	2648	3182	4758	16340	2049	9898	202	26232	12853	24	42774	1179	1092	157	1	3859	5641	9680	1302	3611	2544	1986	2526	3747	2878	2493	2133	3114	5361	3888	6257	54106	407071	97023	59570	685	78371	44165	46285	1	0	0	5	129555	391483	178390	226643	2039	1893	1472	3427	964	1247	1844	5546	2592	4203	1857	2979
Allobaculum stercoricanis	1194	618	1031	1125	1210	472	954	734	116	91	166	179	2765	74	2247	2	3336	1415	1	4397	29	28	15	0	30	19	229	0	1184	659	653	794	932	638	588	497	85	100	132	159	674	4366	1075	704	0	749	366	485	0	0	0	0	182	283	632	221	318	207	173	533	60	78	145	379	46	21	24	30
Bifidobacterium pseudolongum	780	490	915	643	2023	889	1650	1490	871	1605	2204	1854	0	0	0	0	26	18	0	65	0	0	0	0	0	0	0	0	797	507	534	445	1714	1010	1026	1225	692	1456	1448	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	117	363	406	476	531	694	2196	546	621	764	379
Blautia glucerasea	1007	728	1005	1073	1654	1044	1637	1380	555	571	821	1047	6856	470	5156	56	13283	7923	9	19963	84	64	0	0	614	459	1962	105	54	41	30	37	30	65	39	49	17	37	21	52	25637	162987	47164	27499	326	49785	27455	25666	0	0	0	0	47694	62376	56706	41836	933	698	740	1526	454	820	1061	2981	919	631	568	588
Blautia hansenii	510	291	536	469	976	518	942	688	456	1340	1620	2454	4144	340	8068	67	14408	5001	15	30494	209	172	57	0	590	2560	6786	568	340	188	202	179	393	350	357	269	167	470	347	670	8346	53870	15332	9757	188	22396	13354	12784	0	0	0	0	5581	108007	17963	51705	326	265	239	580	261	372	563	1507	110	1113	170	682
Blautia producta	3021	2125	2586	3049	3045	2164	3538	2553	1799	1613	2089	4565	27597	2746	13658	141	33070	23432	19	40215	345	325	41	0	2020	2546	3675	619	319	242	163	233	268	268	301	261	75	132	144	265	77416	558993	128063	87888	800	121376	66260	56347	0	0	0	3	46910	168316	55236	176862	3175	2861	2039	5222	1031	1953	2907	6887	983	1913	508	2554
Blautia sp. N6H1-15	208	130	190	213	198	141	224	191	118	168	139	346	1105	109	3364	15	2956	692	7	3486	64	42	23	0	167	246	1270	38	2886	2049	1548	2046	2309	2551	1960	1492	962	1271	819	2488	4981	41011	9193	6644	54	7971	4315	3421	0	0	0	0	1938	7702	2853	8994	0	0	0	14	0	0	0	12	0	0	0	0
Blautia sp. SC05B48	100	57	91	75	106	79	123	100	71	57	74	107	2494	179	5375	57	8405	2860	2	15075	88	99	42	0	414	365	2302	72	999	671	582	793	812	977	873	657	332	452	406	1005	2943	20582	5465	3161	38	5595	3094	2830	0	0	0	0	4761	5691	5619	3960	120	105	102	219	71	124	195	364	126	77	35	45
Catenibacterium mitsuokai	5243	2973	3011	4448	5258	2393	4775	3442	1116	647	2497	2162	20877	721	9436	69	25780	11708	8	30229	3829	2820	684	3	900	322	2995	46	4135	2263	1437	2539	3563	2571	2494	1889	786	559	1262	1202	6315	41301	5941	6654	56	6940	3499	3931	1	0	0	0	4789	3074	11986	4315	1671	1193	676	3046	416	469	885	2283	650	211	444	370
Collinsella intestinalis	2265	1450	2385	1747	3567	1403	2848	2293	1972	1824	3009	3023	20375	1337	11365	69	35704	15242	18	30144	2066	10364	1452	7	3808	2391	4327	176	1930	1400	1431	1365	2858	1740	1637	1444	1508	1790	1621	1769	1205	7421	10872	8708	0	1792	1872	4183	0	0	0	0	13817	6939	23315	15334	1447	1020	1588	2486	892	814	1295	5211	4479	1770	2183	1680
Collinsella stercoris	17	0	19	0	27	0	18	0	0	0	33	13	683	40	8080	34	8795	609	1	26605	306	715	2338	1	77	48	6013	146	1951	1411	1324	1383	2874	1751	1641	1346	1415	1791	1621	1766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterocloster bolteae	166	187	173	207	245	245	325	208	705	555	879	943	592	29	300	0	946	781	2	639	161	162	0	0	438	265	156	0	12	0	0	0	0	0	0	0	0	0	0	0	6348	68278	11634	8470	83	16634	8036	5944	0	0	0	0	160354	127709	117330	81084	250	349	183	479	124	301	378	747	3649	1314	1186	1166
Faecalibacterium prausnitzii	978	746	733	897	1183	1539	1829	1138	1817	2200	4096	3801	4077	385	2600	19	5739	8702	10	13238	29994	20694	4938	9	2678	2925	13104	328	1738	1186	806	1308	1598	2833	1925	1310	2751	3397	4299	4078	5704	56161	8404	8503	34	20874	9223	5139	0	1	0	4	93460	110177	142435	115452	290	263	153	509	40	364	265	718	2358	1204	1786	1231
Faecalimonas umbilicata	1286	796	1031	1074	1563	998	1750	1063	262	265	281	485	9906	1098	8734	123	19300	9588	9	29657	346	330	99	0	386	408	1812	106	2108	1396	1149	1588	2474	2200	1890	1512	342	357	352	468	40011	264663	69790	48122	523	67986	38592	39413	1	0	1	0	32443	33014	31961	24284	1478	1115	939	2513	578	941	1529	3717	582	304	259	284
Fusobacterium mortiferum	72	83	84	80	75	72	163	46	168	124	213	175	340	40	4699	2	2299	487	0	11548	22338	64436	15439	1	565	351	16723	144	2337	2656	2082	2005	2022	3776	2876	1476	4344	5150	4699	4625	25	503	254	211	0	233	141	95	0	0	0	0	3580	1014	2782	2022	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium ulcerans	1381	1541	1715	1576	1252	1543	2598	1126	2814	2627	4437	3837	2272	217	1177	3	2051	3844	0	1510	52671	21170	1869	0	2503	2034	1557	17	258	284	225	199	163	321	296	146	453	485	550	532	11	82	176	155	0	23	40	27	0	0	0	0	265	202	394	1292	76	234	141	302	29	131	160	319	2027	957	1286	608
Fusobacterium varium	1135	1383	1408	1327	1112	1376	2116	889	2253	2253	3546	3263	2380	268	1629	4	2458	4290	2	1644	57753	27375	3421	4	2742	2300	2436	25	543	623	509	440	442	809	775	365	1000	1096	1150	1134	1275	19784	12359	7497	0	6039	4052	3433	0	2	2	3	79052	48668	110020	67603	37	83	66	150	12	47	76	137	923	366	554	267
Peptacetobacter hiranonis	10794	6104	8861	9487	11035	7533	12718	7971	2348	1680	2883	4044	95025	7088	66495	949	117990	79716	95	189109	1509	1023	165	0	3648	1957	7322	270	13634	7997	7010	9012	11581	12360	10268	7673	2564	2101	2397	3603	217861	1251945	329483	244542	1544	290142	168830	129636	0	0	4	3	173733	120799	141611	116634	10118	7001	5772	16805	2128	4589	6986	17438	3813	1434	1459	1831
Phocaeicola vulgatus	3636	3113	3619	3082	2707	4779	5865	3105	6516	4443	7878	7879	7097	439	9190	12	6451	21730	8	20273	86859	127753	43617	22	10331	2516	23452	197	5036	4922	3812	3920	3146	9678	6000	3489	9626	7736	8098	8315	997	9414	4460	3445	0	8030	3610	2283	0	3	2	0	76644	19866	37169	25664	186	381	205	542	66	427	512	1016	9196	2059	2780	1881
