id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR13110298,"webin-reads-toti_minion_WGS_20230802_zymo_Z4",MinION,2024-05-16T19:04:54,2024-05-17T13:09:21,PUBLIC,Webin-42996,ERP160313,ERX12481924,ERS19893066
ERR13110297,"webin-reads-toti_minion_WGS_20230802_zymo_Z3",MinION,2024-05-16T19:04:31,2024-05-17T13:09:21,PUBLIC,Webin-42996,ERP160313,ERX12481923,ERS19893065
ERR13110296,"webin-reads-toti_minion_WGS_20230802_invitrogen_I4",MinION,2024-05-16T19:03:56,2024-05-17T13:08:58,PUBLIC,Webin-42996,ERP160313,ERX12481922,ERS19893064
ERR13110295,"webin-reads-toti_minion_WGS_20230802_invitrogen_I3",MinION,2024-05-16T19:03:47,2024-05-17T13:09:05,PUBLIC,Webin-42996,ERP160313,ERX12481921,ERS19893063
ERR13110294,"webin-reads-toti_minion_WGS_20230802_invitrogen_I2",MinION,2024-05-16T19:03:36,2024-05-17T13:09:02,PUBLIC,Webin-42996,ERP160313,ERX12481920,ERS19893062
ERR13110293,"webin-reads-toti_minion_WGS_20230802_invitrogen_I1",MinION,2024-05-16T19:03:11,2024-05-17T13:09:06,PUBLIC,Webin-42996,ERP160313,ERX12481919,ERS19893061
ERR13110292,"webin-reads-toti_illumina_novaseq_WGS_20240129_zymo_magbead_R2","Illumina NovaSeq 6000",2024-05-16T19:02:35,2024-05-17T13:09:10,PUBLIC,Webin-42996,ERP160313,ERX12481918,ERS19893071
ERR13110291,"webin-reads-toti_illumina_novaseq_WGS_20240129_zymo_magbead_R1","Illumina NovaSeq 6000",2024-05-16T18:58:25,2024-05-17T13:08:56,PUBLIC,Webin-42996,ERP160313,ERX12481917,ERS19893070
ERR13110290,"webin-reads-BACMIX_minion_v1_9_20230623_zymo_magbead_NZ3",MinION,2024-05-16T18:55:00,2024-05-17T13:08:50,PUBLIC,Webin-42996,ERP160313,ERX12481916,ERS19893069
ERR13110289,"webin-reads-BACMIX_minion_v1_9_20230623_zymo_magbead_NZ2",MinION,2024-05-16T18:52:27,2024-05-17T13:08:39,PUBLIC,Webin-42996,ERP160313,ERX12481915,ERS19893068
ERR13109766,"webin-reads-BACMIX_minion_v1_9_20230623_zymo_magbead_NZ1",MinION,2024-05-16T18:48:49,2024-05-17T13:09:24,PUBLIC,Webin-42996,ERP160313,ERX12481392,ERS19893067
