group	Df	SumOfSqs	R2	F	Pr..F.	is.significant	label	level
primer	2	0.222023942751167	0.181543421353169	2.66174298438632	0.069	FALSE		phylum
Residual	24	1.000955888169	0.818456578646831					phylum
Total	26	1.22297983092016	1					phylum
primer	2	0.255143087726183	0.146010453122872	2.051694243661	0.047	TRUE	*	class
Residual	24	1.49228719736082	0.853989546877128					class
Total	26	1.747430285087	1					class
primer	2	0.250997595139653	0.140311936327211	1.95855137121851	0.056	FALSE		order
Residual	24	1.53785659438789	0.859688063672789					order
Total	26	1.78885418952755	1					order
primer	2	0.328375707605762	0.107424371976196	1.44423892300136	0.005	TRUE	*	family
Residual	24	2.72843255261404	0.892575628023804					family
Total	26	3.0568082602198	1					family
primer	2	0.248781075289439	0.0619096134688569	0.79194432891848	0.014	TRUE	*	genus
Residual	24	3.7696752087994	0.938090386531143					genus
Total	26	4.01845628408884	1					genus
primer	2	0.299732947469792	0.0538113436008458	0.682460224864229	0.001	TRUE	*	species
Residual	24	5.27033699341681	0.946188656399154					species
Total	26	5.5700699408866	1					species
