genus	Zymo_6300_ONT	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300
Bacillus	156.6	192480.976333339	127663.967877295	172265.781316349	95904.9454678636	107493.794886236	130680.333645239	77381.5123005886	113286.970601067	70750.5877198653
Bacteroides	0	120.074425390225	99.0969182680187	166.119097001728	108.217007541487	71.7700826731978	29.3300471846137	91.1810090051597	37.0325390417476	164.233469083876
Blautia	0	821.111732151714	640.462953450178	929.646381910245	550.137667978394	462.534684563259	561.983110579498	492.399594387481	275.048898044957	939.974765516051
Clostridioides	0	69.1108401908195	70.0660299696395	90.0665530809992	66.074787298688	48.9115293704667	22.0590862207648	63.0950312989083	36.0319952515801	100.282072433017
Enterococcus	89.1	82977.3641825828	49446.2926241706	77098.0121158321	40124.2706190879	41740.7978708423	57307.351630664	31565.353140642	47235.8877817404	30541.9042523142
Escherichia	90.9	16734.009355896	13205.7869074913	16969.288426763	34498.5978726283	34006.8865201584	47575.8677152782	10580.2396027269	12040.0681235505	7986.66644107905
Faecalibacterium	0	681.544233485515	531.180878221522	762.34481873485	458.666523999408	381.555974329975	150.437228290076	385.097868391706	240.03018294746	755.080535867679
Limosilactobacillus	165.6	70006.2440051875	35294.0993013701	55281.3755467581	33292.9446788386	28090.2255726734	38195.8013559403	28823.4386159903	43834.5691659344	23610.2451636415
Listeria	126.9	84966.5038267718	44986.5315376707	73766.2601608744	41304.9332283489	37731.7517764543	51815.842448585	31204.0052872479	44230.5469162441	27811.8705290196
Mediterraneibacter	0	113.290367908683	96.8213497310097	121.196132138055	79.1897602515908	79.7673068340561	104.402284464957	82.5880896867693	45.7135649986238	115.194242255638
missing	0	132.468368679227	111.306515187778	152.892429724194	113.131950846156	85.5271974196592	112.198019867793	100.253969917076	77.9266076755769	171.115138552185
Peptacetobacter	0	325.20281156781	296.029320583229	382.328216103389	255.368085723831	220.013952028436	85.3969127334125	207.270549248687	124.108741367497	367.578116238904
Pseudomonas	37.8	4287.73257624884	3004.63155018488	3584.89047481007	1548.67204069162	1451.80683789545	1864.42177238433	3200.85137422967	3598.72047216262	2344.91191789731
Roseburia	0	144.349152419194	136.21736818581	178.137866030396	85.6984353130445	63.3882537600349	48.0008336476411	109.187869703475	62.8321357164134	188.111875895654
Ruminococcus	0	103.131059489379	79.1681986401696	98.1437622563154	76.5998455734556	51.023456252554	23.107645916661	72.5982160177959	28.0232912579923	141.200726128259
Salmonella	93.6	14631.2324501131	11564.9407221662	14941.4331938893	30109.2295346228	29914.083211101	39783.0943696183	9392.18371344579	10760.1576303998	6854.76397108336
Shigella	0	200.832295716788	184.670118524834	200.400286704856	393.562842641468	318.424667719053	398.287226690846	100.430203051671	136.727956909371	66.576754150213
Staphylococcus	139.5	96441.9671990619	50621.9440049887	88990.6535250842	43111.1331817894	38661.8241148863	62600.6243286045	35341.5464153066	56780.9879962255	35131.065980594
Streptococcus	0	374.298688858312	259.154317844854	353.350813038251	258.378904998524	218.444292752648	87.0066305599756	230.399805272269	126.042473014849	405.576555063518
Veillonella	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998
