 99.93	460424	460424	U	0	unclassified
  0.07	331	0	R	1	root
  0.07	331	4	D	10239	  Viruses
  0.06	283	0	D1	2731341	    Duplodnaviria
  0.06	283	0	K	2731360	      Heunggongvirae
  0.06	283	0	P	2731618	        Uroviricota
  0.06	283	28	C	2731619	          Caudoviricetes
  0.01	40	0	C1	3044646	            Joanripponvirinae
  0.01	40	0	G	3044772	              Natevirus
  0.01	40	0	S	3060406	                Natevirus nate
  0.01	40	40	S1	2894788	                  Bacillus phage vB_BanS_Nate
  0.01	33	24	G	2169623	            Erskinevirus
  0.00	9	0	S	2169883	              Erskinevirus EaH2
  0.00	9	9	S1	1029988	                Erwinia phage phiEaH2
  0.01	29	0	O	1978007	            Crassvirales
  0.00	15	0	F	2942966	              Suoliviridae
  0.00	7	7	F1	2942975	                Oafivirinae
  0.00	5	0	F1	2942969	                Boorivirinae
  0.00	5	0	G	2942991	                  Cohcovirus
  0.00	5	0	S	2955712	                    Cohcovirus splanchnicus
  0.00	5	5	S1	2986411	                      uncultured phage cr30_1
  0.00	3	0	F1	2942974	                Loutivirinae
  0.00	3	0	G	2942994	                  Buchavirus
  0.00	3	0	S	2955552	                    Buchavirus hominis
  0.00	3	3	S1	2772082	                      uncultured phage cr60_1
  0.00	8	0	F	2942965	              Steigviridae
  0.00	8	0	F1	2942967	                Asinivirinae
  0.00	8	0	G	2948793	                  Lahndsivirus
  0.00	8	0	S	2956099	                    Lahndsivirus rarus
  0.00	8	8	S1	2772071	                      uncultured phage cr111_1
  0.00	6	0	F	2942963	              Crevaviridae
  0.00	6	0	F1	2942973	                Doltivirinae
  0.00	6	0	G	2948785	                  Kingevirus
  0.00	6	0	S	2956060	                    Kingevirus communis
  0.00	6	6	S1	2986396	                      uncultured phage cr13_1
  0.01	27	1	C1	2788787	            unclassified Caudoviricetes
  0.00	15	15	S	2885983	              Microbacterium phage Pumpernickel
  0.00	4	4	S	1747326	              Enterococcus phage vB_EfaS_IME197
  0.00	2	2	S	1566990	              Streptococcus phage SpSL1
  0.00	2	2	S	2599890	              Streptomyces phage Gilgamesh
  0.00	1	1	S	10680	              Enterobacteria phage P4
  0.00	1	1	S	1407493	              Shigella phage SfIV
  0.00	1	1	S	2014434	              Escherichia phage D6
  0.00	13	0	C1	2732612	            Dolichocephalovirinae
  0.00	13	0	G	2733154	              Poindextervirus
  0.00	13	0	S	2748760	                Poindextervirus rogue
  0.00	13	13	S1	2927986	                  Caulobacter phage CcrRogue
  0.00	10	0	F	2946170	            Straboviridae
  0.00	6	0	G	2948732	              Gualtarvirus
  0.00	6	0	S	2955964	                Gualtarvirus mp1
  0.00	6	6	S1	1852628	                  Morganella phage vB_MmoM_MP1
  0.00	2	1	G	2560244	              Tulanevirus
  0.00	1	0	S	1921531	                Tulanevirus aes508
  0.00	1	1	S1	1198013	                  Aeromonas phage Aes508
  0.00	1	0	G	2948831	              Mylasvirus
  0.00	1	0	S	1914020	                Mylasvirus persius
  0.00	1	1	S1	115992	                  Vibrio phage nt-1
  0.00	1	0	F1	1198136	              Tevenvirinae
  0.00	1	1	G	10663	                Tequatrovirus
  0.00	9	0	F	2560065	            Herelleviridae
  0.00	8	0	F1	2560070	              Bastillevirinae
  0.00	7	0	G	2842856	                Matervirus
  0.00	7	0	S	2560332	                  Matervirus mater
  0.00	7	7	S1	1540090	                    Bacillus phage Mater
  0.00	1	0	G	2842880	                Moonbeamvirus
  0.00	1	0	S	2560334	                  Moonbeamvirus moonbeam
  0.00	1	1	S1	1540091	                    Bacillus phage Moonbeam
  0.00	1	0	F1	2560071	              Brockvirinae
  0.00	1	0	G	2732968	                Schiekvirus
  0.00	1	0	S	2734044	                  Schiekvirus EFP01
  0.00	1	1	S1	1926594	                    Enterococcus phage EFP01
  0.00	9	0	F	2946167	            Peduoviridae
  0.00	9	4	G	140410	              Peduovirus
  0.00	3	3	S	2844220	                Peduovirus P24B2
  0.00	1	0	S	2956279	                Peduovirus YPM46
  0.00	1	1	S1	2736200	                  Yersinia phage vB_YpM_46
  0.00	1	0	S	10679	                Peduovirus P2
  0.00	1	1	S1	2905681	                  Bacteriophage P2
  0.00	9	0	G	2733138	            Toutatisvirus
  0.00	9	0	S	2734150	              Toutatisvirus toutatis
  0.00	9	9	S1	2070187	                Faecalibacterium phage FP_Toutatis
  0.00	8	0	G	2733190	            Lughvirus
  0.00	8	0	S	2734248	              Lughvirus lugh
  0.00	8	8	S1	2070184	                Faecalibacterium phage FP_Lugh
  0.00	6	0	C1	1982875	            Arquatrovirinae
  0.00	4	0	G	2948847	              Omarvirus
  0.00	4	0	S	2956237	                Omarvirus omar
  0.00	4	4	S1	2059882	                  Streptomyces phage Omar
  0.00	2	2	G	1982880	              Likavirus
  0.00	6	0	G	2560165	            Lacusarxvirus
  0.00	6	0	S	2560778	              Lacusarxvirus lacusarx
  0.00	6	6	S1	1980139	                Sphingobium phage Lacusarx
  0.00	5	0	G	2733093	            Aurunvirus
  0.00	5	0	S	2734088	              Aurunvirus STIM5
  0.00	5	5	S1	1137745	                Cyanophage S-TIM5
  0.00	5	1	F	2946160	            Kyanoviridae
  0.00	2	0	G	3044824	              Shenzhenivirus
  0.00	2	0	S	3060701	                Shenzhenivirus sszbm1
  0.00	2	2	S1	2926475	                  Synechococcus phage S-SZBM1
  0.00	1	0	G	3044861	              Yellowseavirus
  0.00	1	0	S	3060818	                Yellowseavirus thirtyeight
  0.00	1	1	S1	2783673	                  Synechococcus phage S-H38
  0.00	1	1	G	2948904	              Shandvirus
  0.00	4	0	F	2169529	            Ackermannviridae
  0.00	4	4	G	2731621	              Taipeivirus
  0.00	4	0	F	3044479	            Stanwilliamsviridae
  0.00	4	1	F1	3044647	              Loccivirinae
  0.00	3	0	G	3044714	                Faustvirus
  0.00	3	0	S	3059994	                  Faustvirus faust
