Row.names	sample	platform	sample_name	sample_nr	GS_name	path	file.names	primer	rep	source	barcode	name	filename	workflow	db	Vregion	group	GS_version	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	ONT	MONT1	1	NA	emu/PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	MONT	1	MCS	bc19	MM1	PRMT_MM1_MCS_MONT_20240807_bc19	EMU	EMUdb	V1_V9	1	D6300	1e-04	56.7338990123234	True_positives	8	0.01%	Species
PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	ONT	MONT1	1	NA	emu/PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	MONT	1	MCS	bc19	MM1	PRMT_MM1_MCS_MONT_20240807_bc19	EMU	EMUdb	V1_V9	1	D6300	0.001	567.338990123234	True_positives	8	0.1%	Species
PRMT_MM1_MCS_MONT_20240807_bc19_D6300	PRMT_MM1_MCS_MONT_20240807_bc19_D6300	ONT	MONT1	1	NA	emu/PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	PRMT_MM1_MCS_MONT_20240807_bc19_pass.fastq_rel-abundance.tsv	MONT	1	MCS	bc19	MM1	PRMT_MM1_MCS_MONT_20240807_bc19	EMU	EMUdb	V1_V9	1	D6300	0.01	5673.38990123234	True_positives	7	1%	Species
PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	ONT	MONT2	2	NA	emu/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	MONT	2	MCS	bc20	MM2	PRMT_MM2_MCS_MONT_20240807_bc20	EMU	EMUdb	V1_V9	1	D6300	1e-04	33.9547990567054	True_positives	8	0.01%	Species
PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	ONT	MONT2	2	NA	emu/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	MONT	2	MCS	bc20	MM2	PRMT_MM2_MCS_MONT_20240807_bc20	EMU	EMUdb	V1_V9	1	D6300	0.001	339.547990567054	True_positives	8	0.1%	Species
PRMT_MM2_MCS_MONT_20240807_bc20_D6300	PRMT_MM2_MCS_MONT_20240807_bc20_D6300	ONT	MONT2	2	NA	emu/PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	PRMT_MM2_MCS_MONT_20240807_bc20_pass.fastq_rel-abundance.tsv	MONT	2	MCS	bc20	MM2	PRMT_MM2_MCS_MONT_20240807_bc20	EMU	EMUdb	V1_V9	1	D6300	0.01	3395.47990567054	True_positives	7	1%	Species
PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	ONT	MONT3	3	NA	emu/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	MONT	3	MCS	bc21	MM3	PRMT_MM3_MCS_MONT_20240807_bc21	EMU	EMUdb	V1_V9	1	D6300	1e-04	50.8042982840485	True_positives	8	0.01%	Species
PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	ONT	MONT3	3	NA	emu/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	MONT	3	MCS	bc21	MM3	PRMT_MM3_MCS_MONT_20240807_bc21	EMU	EMUdb	V1_V9	1	D6300	0.001	508.042982840485	True_positives	8	0.1%	Species
PRMT_MM3_MCS_MONT_20240807_bc21_D6300	PRMT_MM3_MCS_MONT_20240807_bc21_D6300	ONT	MONT3	3	NA	emu/PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	PRMT_MM3_MCS_MONT_20240807_bc21_pass.fastq_rel-abundance.tsv	MONT	3	MCS	bc21	MM3	PRMT_MM3_MCS_MONT_20240807_bc21	EMU	EMUdb	V1_V9	1	D6300	0.01	5080.42982840485	True_positives	7	1%	Species
PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	ONT	ONT1	1	NA	emu/PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	ONT	1	MCS	bc04	MO1	PRMT_MO1_MCS_ONT_20240807_bc04	EMU	EMUdb	V1_V9	2	D6300	1e-04	32.3386986403875	True_positives	8	0.01%	Species
PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	ONT	ONT1	1	NA	emu/PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	ONT	1	MCS	bc04	MO1	PRMT_MO1_MCS_ONT_20240807_bc04	EMU	EMUdb	V1_V9	2	D6300	0.001	323.386986403875	True_positives	8	0.1%	Species
PRMT_MO1_MCS_ONT_20240807_bc04_D6300	PRMT_MO1_MCS_ONT_20240807_bc04_D6300	ONT	ONT1	1	NA	emu/PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	PRMT_MO1_MCS_ONT_20240807_bc04_pass.fastq_rel-abundance.tsv	ONT	1	MCS	bc04	MO1	PRMT_MO1_MCS_ONT_20240807_bc04	EMU	EMUdb	V1_V9	2	D6300	0.01	3233.86986403875	True_positives	7	1%	Species
PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	ONT	ONT2	2	NA	emu/PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	ONT	2	MCS	bc05	MO2	PRMT_MO2_MCS_ONT_20240807_bc05	EMU	EMUdb	V1_V9	2	D6300	1e-04	32.1987999999996	True_positives	8	0.01%	Species
PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	ONT	ONT2	2	NA	emu/PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	ONT	2	MCS	bc05	MO2	PRMT_MO2_MCS_ONT_20240807_bc05	EMU	EMUdb	V1_V9	2	D6300	0.001	321.987999999996	True_positives	8	0.1%	Species
PRMT_MO2_MCS_ONT_20240807_bc05_D6300	PRMT_MO2_MCS_ONT_20240807_bc05_D6300	ONT	ONT2	2	NA	emu/PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	PRMT_MO2_MCS_ONT_20240807_bc05_pass.fastq_rel-abundance.tsv	ONT	2	MCS	bc05	MO2	PRMT_MO2_MCS_ONT_20240807_bc05	EMU	EMUdb	V1_V9	2	D6300	0.01	3219.87999999996	True_positives	7	1%	Species
PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	ONT	ONT3	3	NA	emu/PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	ONT	3	MCS	bc06	MO3	PRMT_MO3_MCS_ONT_20240807_bc06	EMU	EMUdb	V1_V9	2	D6300	1e-04	43.1981999999982	True_positives	8	0.01%	Species
PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	ONT	ONT3	3	NA	emu/PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	ONT	3	MCS	bc06	MO3	PRMT_MO3_MCS_ONT_20240807_bc06	EMU	EMUdb	V1_V9	2	D6300	0.001	431.981999999982	True_positives	8	0.1%	Species
PRMT_MO3_MCS_ONT_20240807_bc06_D6300	PRMT_MO3_MCS_ONT_20240807_bc06_D6300	ONT	ONT3	3	NA	emu/PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	PRMT_MO3_MCS_ONT_20240807_bc06_pass.fastq_rel-abundance.tsv	ONT	3	MCS	bc06	MO3	PRMT_MO3_MCS_ONT_20240807_bc06	EMU	EMUdb	V1_V9	2	D6300	0.01	4319.81999999982	True_positives	7	1%	Species
PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	ONT	PB1	1	NA	emu/PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PB	1	MCS	bc34	MP1	PRMT_MP1_MCS_PB_20240807_bc34	EMU	EMUdb	V1_V9	3	D6300	1e-04	23.0387000000008	True_positives	8	0.01%	Species
PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	ONT	PB1	1	NA	emu/PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PB	1	MCS	bc34	MP1	PRMT_MP1_MCS_PB_20240807_bc34	EMU	EMUdb	V1_V9	3	D6300	0.001	230.387000000008	True_positives	8	0.1%	Species
PRMT_MP1_MCS_PB_20240807_bc34_D6300	PRMT_MP1_MCS_PB_20240807_bc34_D6300	ONT	PB1	1	NA	emu/PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PRMT_MP1_MCS_PB_20240807_bc34_pass.fastq_rel-abundance.tsv	PB	1	MCS	bc34	MP1	PRMT_MP1_MCS_PB_20240807_bc34	EMU	EMUdb	V1_V9	3	D6300	0.01	2303.87000000008	True_positives	8	1%	Species
PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	ONT	PB2	2	NA	emu/PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PB	2	MCS	bc35	MP2	PRMT_MP2_MCS_PB_20240807_bc35	EMU	EMUdb	V1_V9	3	D6300	1e-04	33.3462000000019	True_positives	8	0.01%	Species
PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	ONT	PB2	2	NA	emu/PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PB	2	MCS	bc35	MP2	PRMT_MP2_MCS_PB_20240807_bc35	EMU	EMUdb	V1_V9	3	D6300	0.001	333.462000000019	True_positives	8	0.1%	Species
PRMT_MP2_MCS_PB_20240807_bc35_D6300	PRMT_MP2_MCS_PB_20240807_bc35_D6300	ONT	PB2	2	NA	emu/PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PRMT_MP2_MCS_PB_20240807_bc35_pass.fastq_rel-abundance.tsv	PB	2	MCS	bc35	MP2	PRMT_MP2_MCS_PB_20240807_bc35	EMU	EMUdb	V1_V9	3	D6300	0.01	3334.62000000019	True_positives	8	1%	Species
PRMT_MP3_MCS_PB_20240807_bc36_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300	ONT	PB3	3	NA	emu/PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PB	3	MCS	bc36	MP3	PRMT_MP3_MCS_PB_20240807_bc36	EMU	EMUdb	V1_V9	3	D6300	1e-04	21.0310971528147	True_positives	8	0.01%	Species
PRMT_MP3_MCS_PB_20240807_bc36_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300	ONT	PB3	3	NA	emu/PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PB	3	MCS	bc36	MP3	PRMT_MP3_MCS_PB_20240807_bc36	EMU	EMUdb	V1_V9	3	D6300	0.001	210.310971528147	True_positives	8	0.1%	Species
PRMT_MP3_MCS_PB_20240807_bc36_D6300	PRMT_MP3_MCS_PB_20240807_bc36_D6300	ONT	PB3	3	NA	emu/PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PRMT_MP3_MCS_PB_20240807_bc36_pass.fastq_rel-abundance.tsv	PB	3	MCS	bc36	MP3	PRMT_MP3_MCS_PB_20240807_bc36	EMU	EMUdb	V1_V9	3	D6300	0.01	2103.10971528147	True_positives	8	1%	Species
