superkingdom	phylum	class	order	family	genus	species	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus cecorum	4962.44976140959	3552.60232644433	3079.82688542662	3643.75353138374	7534.64097197404	3798.14494125983	2779.84589930699	8463.35630056417	6067.95007382123
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus agilis	3443.24019756033	2494.13159890653	2359.26382662717	2564.17713515722	5205.12582157655	2742.78513347569	2096.38294013334	6158.62392626736	4756.12337992128
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus animalis	8468.94511116826	6299.85429241744	5572.61208567923	6868.0769790311	14172.224061556	7423.98929486488	5822.71144645042	16478.1567088173	12262.0331582532
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus alactolyticus	68641.5480502765	52022.8054429416	45186.6328517501	52844.1981356033	107908.668994056	53537.7474464607	42713.1250944465	127558.842700463	92977.5377600212
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	Emergencia	Emergencia timonensis	2979.8685472208	2062.33599184615	2215.51354584394	2489.67477290385	4763.91604536828	3043.05387668113	2026.22745654723	5545.04563001083	5072.68988029878
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	unassigned	[Eubacterium] brachy	6521.22536350479	4748.64372511246	5232.89362946354	5781.39497594275	11058.05372618	6776.57594019404	4428.00397400686	12283.5682251837	11257.8117737562
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia glucerasea	25272.6852233214	18595.6642221191	17620.9384767309	20404.384354101	41222.0876277951	22671.3547635474	16803.7079855274	48985.2150268901	38386.4522875725
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hansenii	4626.28479332439	3481.07924475719	3203.34165185239	3709.94546417592	7800.87334602645	4380.43646755274	3244.03693600285	9074.81357376713	7049.94085636994
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia producta	9170.94182011988	6607.57263060208	6174.70459614554	7236.04882832629	14526.2600035554	8126.05840433705	5981.33436351996	17074.8579509587	13588.2150576043
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia schinkii	6158.61231638365	4710.17500411834	4613.55368058128	5212.63584664806	10633.731812417	5981.7529962016	4451.25432326091	12194.4835475831	9830.5731595724
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. N6H1-15	5939.06041779937	4370.39031585774	4319.20666032696	4964.24068003585	10039.1585812636	6059.76511257142	4297.1113893572	11768.6855183449	10058.9700321542
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	5572.36389099498	3834.9424688776	3993.90331893203	4469.44535227691	8335.9869416638	5111.78346710496	3680.5944897939	9776.43271935017	8650.79230153183
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	6541.95808035678	4803.82421994449	4574.50831347615	5654.01521135371	11342.3581524505	6322.86780184717	4727.02185187296	13266.9707716534	10447.6238852522
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] gnavus	3770.6405976091	2688.80466867948	2715.07124384438	3319.87152744238	6460.52425240401	3839.65111861899	2665.04727822296	7385.0875094669	6224.44652425004
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] torques	4041.16381634324	3043.11117185858	3085.67256877026	3282.32918195431	6609.20915586722	3850.85068428132	2577.62441903326	7966.29863049643	6549.64606413447
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptacetobacter	Peptacetobacter hiranonis	75301.3927837254	50655.7343278623	60273.1913015495	62627.8012461857	112962.234285813	78789.2685334098	49584.2984977639	127182.494449114	126732.409675076
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	14534.7959740164	9001.91965432132	11731.6627162393	10728.2652066041	18384.6796052012	14229.8404746529	8672.27791048591	22460.7503627101	24208.5310757214
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens	8731.25154439295	5374.56785059515	7662.70116774178	6409.21211383983	10685.5431660897	8910.3376267617	5405.98357447459	13132.7481221077	15613.0221369814
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	9609.58724088976	6279.13030229992	7997.59565043122	7418.51121593973	12187.0921829291	9822.03082446675	6065.61584040913	14371.2112258344	16913.7146545713
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas rupellensis	5157.90672340987	3199.55329468403	4361.76672201219	3917.12089278039	6748.35158388607	5484.08964452756	3205.54675095974	7831.3684957991	9079.15475901221
