genus	WGS_sourmash_NCBI_ONT_ZMB1	WGS_sourmash_NCBI_NovaSeq_ZMB1
Amedibacillus	25985000	15064999
Amedibacterium	7248999	1942000
Anaerobiospirillum	2010999	724000
Bacteroides	9272000	3367000
Blautia	521667000	311665998
Butyricicoccus	1876000	695000
Campylobacter	1213000	929000
Clostridium	70609000	32185999
Collinsella	96191999	180955000
Coprococcus	12311999	13572000
Dorea	1882000	0
Erysipelatoclostridium	9655000	6773000
Faecalibacterium	2186999	1624000
Faecalimonas	9207000	3134000
Fusobacterium	34285998	12531999
Mediterraneibacter	123705000	51427999
missing	513212997	208736999
Paeniclostridium	1685999	680000
Peptacetobacter	471804000	213024999
Phocaeicola	2424000	784000
Romboutsia	15089000	4645000
Roseburia	5504000	334000
Ruminococcus	38291000	12962000
Slackia	26394000	22687000
Tyzzerella	16269000	10452000
