Taxon	DNA.profile
g__Methanobrevibacter;s__Methanobrevibacter smithii	0.002779
g__Actinomyces	0.000141
g__Adlercreutzia;s__Adlercreutzia equolifaciens	0.000889
g__Asaccharobacter;s__Asaccharobacter celatus	0.001606
g__Bifidobacterium;s__Bifidobacterium bifidum	0.001920
g__Bifidobacterium;s__Bifidobacterium longum	0.001510
g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	0.002287
g__Collinsella;s__Collinsella intestinalis	0.000370
g__Collinsella;s__uncultured Collinsella sp.	0.003368
g__Collinsella	0.003494
g__Cryptobacterium	0.000113
g__Eggerthella;s__Eggerthella lenta	0.000536
g__Eggerthella;s__uncultured Eggerthella sp.	0.000266
g__Eggerthella	0.000619
g__Enorma;s__Enorma massiliensis	0.000387
g__Gordonibacter;s__Gordonibacter pamelaeae	0.000274
p__Actinobacteria;s__Coriobacteriia bacterium	0.000241
p__Actinobacteria;s__uncultured Coriobacteriaceae bacterium	0.000489
g__Alistipes;s__Alistipes communis	0.001565
g__Alistipes;s__Alistipes finegoldii	0.001279
g__Alistipes;s__Alistipes ihumii	0.001073
g__Alistipes;s__Alistipes indistinctus	0.000122
g__Alistipes;s__Alistipes onderdonkii	0.003834
g__Alistipes;s__Alistipes putredinis	0.007192
g__Alistipes;s__Alistipes shahii	0.008357
g__Alistipes;s__Alistipes timonensis	0.000324
g__Alistipes;s__uncultured Alistipes sp.	0.000833
g__Bacteroides;s__Bacteroides caccae CAG:21	0.001708
g__Bacteroides;s__Bacteroides cellulosilyticus	0.006687
g__Bacteroides;s__Bacteroides cellulosilyticus CAG:158	0.003879
g__Bacteroides;s__Bacteroides dorei	0.010094
g__Bacteroides;s__Bacteroides dorei CAG:222	0.002291
g__Bacteroides;s__Bacteroides eggerthii	0.000205
g__Bacteroides;s__Bacteroides faecis	0.005989
g__Bacteroides;s__Bacteroides finegoldii	0.001574
g__Bacteroides;s__Bacteroides finegoldii CAG:203	0.001227
g__Bacteroides;s__Bacteroides fragilis	0.001033
g__Bacteroides;s__Bacteroides massiliensis	0.007008
g__Bacteroides;s__Bacteroides ovatus	0.013759
g__Bacteroides;s__Bacteroides salyersiae	0.004521
g__Bacteroides;s__Bacteroides stercoris	0.006473
g__Bacteroides;s__Bacteroides thetaiotaomicron	0.008310
g__Bacteroides;s__Bacteroides timonensis	0.001250
g__Bacteroides;s__Bacteroides uniformis	0.023841
g__Bacteroides;s__Bacteroides vulgatus	0.071823
g__Bacteroides;s__Bacteroides xylanisolvens	0.003629
g__Bacteroides;s__uncultured Bacteroides sp.	0.005571
g__Bacteroides	0.003579
g__Barnesiella;s__Barnesiella intestinihominis	0.002612
g__Butyricimonas;s__Butyricimonas faecalis	0.001320
g__Butyricimonas;s__Butyricimonas virosa	0.000571
g__Gabonia;s__Gabonia massiliensis	0.000112
g__Odoribacter;s__Odoribacter laneus	0.000960
g__Odoribacter;s__Odoribacter splanchnicus	0.003424
g__Odoribacter;s__uncultured Odoribacter sp.	0.000088
g__Parabacteroides;s__Parabacteroides distasonis	0.012024
g__Parabacteroides;s__Parabacteroides goldsteinii	0.000868
g__Parabacteroides;s__Parabacteroides johnsonii	0.002338
g__Parabacteroides;s__Parabacteroides merdae	0.002243
g__Tidjanibacter;s__Tidjanibacter massiliensis	0.000249
p__Candidatus Melainabacteria;s__Candidatus Gastranaerophilales bacterium	0.003698
g__Agathobaculum;s__Agathobaculum butyriciproducens	0.004286
g__Anaerobutyricum;s__Anaerobutyricum hallii	0.005096
g__Anaerobutyricum;s__Anaerobutyricum soehngenii	0.001030
g__Anaeromassilibacillus	0.001725
g__Anaerostipes;s__Anaerostipes hadrus	0.010302
g__Anaerotignum;s__Anaerotignum faecicola	0.000728
g__Anaerotruncus;s__Anaerotruncus colihominis	0.000263
g__Anaerotruncus;s__Anaerotruncus massiliensis	0.000558
g__Bittarella;s__Bittarella massiliensis	0.000215
g__Blautia;s__Blautia hansenii	0.000255
g__Blautia;s__Blautia massiliensis	0.004885
g__Blautia;s__Blautia obeum	0.018862
g__Blautia;s__Blautia wexlerae	0.015884
g__Blautia;s__[Ruminococcus] gnavus	0.002525
g__Blautia;s__[Ruminococcus] torques	0.002911
g__Blautia;s__uncultured Blautia sp.	0.006571
g__Blautia	0.009814
g__Butyricicoccus	0.000204
g__Candidatus Cibiobacter;s__Candidatus Cibiobacter qucibialis	0.003788
g__Candidatus Stoquefichus	0.000106
g__Catabacter	0.000227
g__Clostridium;s__Clostridium disporicum	0.000236
g__Clostridium;s__Clostridium phoceensis	0.000959
