superkingdom	phylum	class	order	family	genus	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	26042500000	26042500000	26042500000	4725.33165705282	5702.86679298522	3765.56516146132	3856.29594576198	5149.28034315147	5146.73562445583	3514.4563302795	3355.13432837852	2890.94673304321	4316	5294	3482	3453	4542	4564	3157	3002	2603	4757	5752	3798	3871	5174	5175	3541	3381	2910	4438	5420	3590	3602	4742	4791	3282	3107	2703	4405.52093108157	5067.89254823686	3362.44271902098	3966.60915141037	5522.03781673374	5479.59001916482	3446.36991281425	3386.3270229256	2839.60741128887
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	0	0	0	9413.62037636597	11770.7474641689	7240.31236364392	6995.59889202576	9461.14488662532	9470.81940647667	6463.22300721408	6331.35449411184	5625.38598765729	2579	3257	2044	2003	2726	2818	1857	1689	1606	9360	11697	7188	6957	9393	9431	6409	6282	5575	6859	8488	5234	5070	6827	6845	4792	4557	4057	19229.1328457752	24364.3821689953	14756.2892388462	14811.5269485825	20005.2991043592	19862.2718453068	12694.610213805	12892.2518253806	11420.6938599508
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	9.34e+08	9.34e+08	9.34e+08	6626.0628441315	9106.51560572055	5594.67268593648	10837.4194775286	14819.8361611613	15224.2036969741	4053.35981417243	4164.84137377477	4258.97878718968	6631	9103	5570	10818	14785	15249	4075	4187	4237	6868	9393	5756	11177	15269	15719	4218	4351	4387	6642	9121	5580	10859	14826	15281	4081	4198	4248	4203.96894479224	5783.1120425815	3522.9869286589	7136.29948487791	9685.26255597755	10006.585853221	2565.19244066075	2639.38653748517	2707.29595484889
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	1717400000	1717400000	1717400000	5179.82879357476	6674.87757981358	4406.53534875054	7269.84395539781	9745.71981131025	10923.2811256007	3759.97974608467	3623.75097729837	3927.61743182786	4276	5496	3646	6005	8055	9034	3090	2998	3248	5175	6668	4417	7284	9740	10911	3760	3624	3932	5152	6637	4396	7244	9681	10844	3747	3614	3914	4688.17075800803	6070.04198270126	4000.4262386642	6900.63477606992	9089.54204162179	10262.4325313597	3372.74211600998	3180.25411429421	3565.22499140317
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	3472300000	3472300000	3472300000	9537.95725883692	12120.4579946268	7789.9457455275	14193.6610571049	18624.8551329207	20623.2428521757	5798.95784887346	5656.06214985472	5959.46771739317	7564	9544	6162	11051	14294	15885	4637	4500	4825	9696	12301	7911	14392	18834	20815	5954	5807	6110	9031	11440	7340	13373	17507	19287	5525	5390	5695	10665.5586590857	13708.874916833	8825.73821117694	16915.7647301234	22502.8620100193	24838.8623273542	6503.98505850196	6392.98390186844	6574.86160463301
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	11796500000	11796500000	11796500000	47380.2753053831	62376.2190181577	39059.6898600612	72193.1338320053	97959.1622443289	105930.367307299	28833.43293892	28770.1264396259	30148.2358164749	44453	58500	36610	67452	91634	99037	26905	26791	27982	45971	60473	37863	69875	94965	102595	27816	27747	29019	44527	58573	36664	67552	91806	99190	26945	26832	28017	33186.9060501372	43938.177245509	27404.5371578573	52667.341396869	71563.3288858341	77411.6287623603	19936.0512850985	20175.0691751215	21321.9014011473
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cuneatibacter	0	0	0	6008.53507295639	7646.75749976818	4844.01847423138	3530.07638342755	4393.63869091197	4922.25638605879	4128.61054960288	4231.25488116786	4502.69313613044	5460	6935	4395	4372	5537	5931	3644	3533	3868	5462	6940	4399	4378	5540	5936	3645	3534	3868	5460	6938	4397	4375	5538	5932	3644	3533	3868	3427.5763822221	4371.92202262142	2773.58093516251	2805.03020510149	3545.80784819455	3809.13476626893	2270.09223106924	2197.12691409	2430.10046013526
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	3649600000	3649600000	3649600000	6681.31946685627	8770.75275948265	5400.83283034071	9779.81676318835	13482.2618891386	14215.1227713073	3879.63394306767	3846.471584952	4026.70279472698	6246	8185	5045	9289	12772	13447	3626	3595	3754	6279	8229	5067	9336	12866	13525	3643	3613	3771	6269	8219	5061	9318	12833	13502	3637	3606	3770	3796.69081865138	5035.40991350632	3079.69321547958	5845.10494872463	8066.09295816564	8500.07119020037	2186.45105389959	2173.50824261363	2309.16419678287
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	9004400000	9004400000	9004400000	14497.9142589363	18258.6676101054	11720.3614313936	21883.353919118	28740.5072156349	31396.7752062976	8419.16111143177	8375.28609919262	8501.75555288571	14388	18070	11583	21637	28468	31094	8334	8299	8431	14472	18177	11663	21793	28700	31309	8403	8354	8483	14439	18146	11637	21744	28640	31244	8372	8334	8467	8747.23694342659	11094.6243512974	7086.10990972728	13737.3920126471	18086.0996117	19731.864557906	5023.77183154892	5007.158352992	5143.38335871446
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	0	0	0	8780.44199347093	11693.5958176459	7479.70532014102	14114.6696287107	19250.5283515452	20338.856999582	6404.71349033489	6517.47880777997	6518.13447462209	11156	14741	9580	12491	16484	17927	8052	8158	8498	14012	18436	11986	16757	22449	24121	10092	10232	10574	13481	17754	11510	16241	21732	23314	9699	9857	10176	12019.1770285436	15807.0125083167	10305.3807403025	15864.5760947825	21513.5072327958	22915.6653317339	8575.57674938689	8737.7275126858	9058.24586396808
