superkingdom	phylum	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Archaea	Euryarchaeota	936700000	936700000	936700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	3296200000	3296200000	3296200000	3842.95245958513	4808.77199956517	2653.28647916544	564.211949247868	661.809390407397	635.555136146417	2417.71116609657	2569.18975241204	2128.12963854749	1795	2314	1164	394	459	417	982	1048	895	3791	4727	2619	504	621	572	2404	2527	2094	2586	3212	1683	440	524	478	1475	1580	1348	7796.12623889557	9735.76746506986	5795.76577704045	659.861184662388	925.505440096934	878.075735165351	5401.92419593566	5578.13973593341	4640.48008536792
Bacteria	Bacteroidetes	43051600000	43051600000	43051600000	17749.9692540604	21915.0857381783	13947.7364142048	14316.3752711653	18897.5448218056	19150.2366245849	12513.1455224684	12129.3614622685	10797.5522316598	10133	12537	8187	8689	11216	11597	7298	6870	6278	17744	21925	13950	14326	18911	19177	12510	12136	10801	14676	18104	11607	12000	15649	15985	10461	9965	8928	26665.0892630177	33163.5669993347	20522.1027379691	21523.0097873197	29073.7646657644	28929.3042421592	18224.3522649928	18339.898401407	16155.7676562577
Bacteria	Candidatus Melainabacteria	0	0	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351	687	949	584	1234	1691	1738	428	397	426	689	951	585	1239	1701	1750	430	397	429	689	951	585	1238	1699	1748	430	397	429	415.030125613532	576.86753160346	352.837833868405	779.554049925396	1067.46173332011	1101.63108499528	256.813755253292	235.596247976864	258.63596914965
Bacteria	Cyanobacteria	0	0	0	0	0	0	14.1892131882266	27.9869765265298	35.488163642599	0	0	0	50	64	42	94	106	125	30	25	43	57	68	46	110	124	140	34	30	43	51	64	42	94	106	125	30	25	43	52.4750733534351	52.9346640053227	42.5322346428808	113.49116239964	121.499709483589	122.955442406464	19.4377383563272	24.7996050501962	31.7308017706747
Bacteria	Firmicutes	118341800000	118341800000	118341800000	317249.423674045	406947.83274221	261350.749072199	489796.614742287	654972.009389328	707288.697519463	194188.987703916	187428.301908584	197550.802652259	266817	343668	219969	412423	550804	595604	162690	157509	166135	317340	407177	261678	490469	655822	708216	194270	187456	197432	299520	384765	247072	464251	620560	670261	182522	176230	185884	312012.612005962	400576.453027279	258273.101072764	494380.526988844	660249.258021086	715107.611061829	190503.972428993	183283.842990622	194952.84869028
Bacteria	Fusobacteria	0	0	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268	26	19	21	11	19	21	10	4	19	56	39	40	28	33	41	26	8	34	47	37	34	24	28	34	24	8	29	84.6756865475885	59.551497005988	56.3102824849408	46.5127714752623	48.97182167961	62.0987082860927	44.1766780825618	12.3998025250981	45.5007723504015
Bacteria	Lentisphaerae	99600000	99600000	99600000	124.149552760625	126.115500092995	97.1304719160177	118.084102756164	154.091810694235	182.096436486374	44.0851048189616	57.1104214759989	53.1157374412953	100	96	64	89	114	133	40	37	39	124	127	97	119	154	182	47	58	53	113	100	71	93	130	142	43	43	41	104.353839055127	131.735129740519	109.625337178129	124.654227553703	152.494533331444	198.094879432636	36.5193872149177	64.3608797731283	54.4811879458754
Bacteria	Proteobacteria	1266700000	1266700000	1266700000	1098.35597983113	1788.12273362525	911.471708231762	1001.23515953746	1401.57973512828	1574.91323720691	868.205771786565	561.089668435373	646.411237482476	799	1103	674	612	888	990	701	516	551	1173	1805	981	1008	1422	1626	972	661	758	952	1396	810	724	1057	1197	811	575	626	1492.55805231418	2563.72202262142	1173.5302488085	1627.94700163418	2213.03042273681	2603.17785135301	1139.75829453009	730.997882193879	930.969750064135
Bacteria	Synergistetes	0	0	0	82.8991785227842	73.853888583086	56.3350355902038	75.0846817690339	122.487029391177	134.325485701708	21.0509416420296	37.0701019596464	37.3014288046965	17	8	11	15	22	23	8	15	15	18	12	11	16	23	25	10	15	15	17	8	11	15	22	23	8	15	15	31.6043055424098	18.6474384564205	17.971366750513	41.5514091845677	39.6733745252537	54.0258762089007	14.7255593608539	18.8949371811019	17.9608311909479
