superkingdom	phylum	class	order	family	genus	species	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	Phocaeicola vulgatus	0	0	0	5627.53327973249	6987.41489994276	4260.64091619555	4116.96101187379	5552.55060205531	5511.29076648179	3926.59439604049	3736.92183025881	3290.89347422887	1361	1797	1087	1068	1456	1523	1005	903	862	8105	10170	6187	5979	8081	8079	5525	5449	4790	5605	6962	4238	4093	5518	5495	3909	3727	3272	14068.0901199346	17698.8252162342	10716.9250388893	10721.5039101911	14454.1261532084	14272.1461253927	9348.96312701894	9361.85090644907	8246.41629413723
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	1717400000	1717400000	1717400000	5179.82879357476	6674.87757981358	4406.53534875054	7269.84395539781	9745.71981131025	10923.2811256007	3759.97974608467	3623.75097729837	3927.61743182786	4276	5496	3646	6005	8055	9034	3090	2998	3248	5175	6668	4417	7284	9740	10911	3760	3624	3932	5152	6637	4396	7244	9681	10844	3747	3614	3914	4688.17075800803	6070.04198270126	4000.4262386642	6900.63477606992	9089.54204162179	10262.4325313597	3372.74211600998	3180.25411429421	3565.22499140317
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	3472300000	3472300000	3472300000	9518.25167160886	12094.3717638241	7789.9457455275	14160.664029587	18565.6498395354	20565.1298767704	5787.40831332117	5640.40606061277	5943.69012662485	7544	9524	6151	11019	14247	15841	4627	4490	4811	9068	11488	7380	13455	17598	19403	5542	5419	5712	9011	11420	7329	13341	17460	19243	5515	5380	5681	10086.5439292427	12985.2339986693	8339.31321779639	16007.2152606399	21350.474459356	23504.982073369	6137.02411922948	6028.66589434532	6209.65803708374
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia faecis	0	0	0	8645.00771536383	11339.8357047305	7108.12447741332	13296.4559741764	18678.1111372734	19175.5589204104	5210.41361194693	5144.01688588676	5481.23384879723	9296	12267	7575	13987	19344	20681	5571	5536	5907	9300	12273	7580	13992	19353	20690	5572	5536	5907	9296	12270	7577	13988	19350	20685	5572	5536	5907	5678.04145990238	7552.81410512309	4649.19257835772	8854.79134831727	12239.2360410408	13095.9965904541	3359.78362377243	3360.34648430159	3628.08790057148
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia luti	0	0	0	8279.69903465657	10917.9439152307	6612.64238049072	11879.6599982488	16118.3307079301	17871.8379563997	4935.16590290614	5097.91828894515	5174.51399650043	6465	8443	5173	9459	12989	14025	3830	3872	3917	6888	8974	5510	10104	13856	14938	4077	4113	4174	6503	8475	5192	9499	13056	14089	3842	3885	3925	4192.04279175737	5521.44637391883	3370.23031127954	6410.70024986382	8786.41266438977	9470.674000712	2448.56601052279	2485.27470610181	2558.22105596402
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum	6357100000	6357100000	6357100000	6231.06779058024	8181.52420720088	5159.78453279614	9463.29230879026	12935.8266102775	13640.0677087784	3650.27565372184	3601.46843906301	3860.86836330877	6739	8975	5513	10021	13754	14612	3968	3921	4178	6897	9188	5654	10252	14100	14920	4071	4041	4299	6741	8979	5518	10026	13762	14614	3969	3921	4180	4119.8895658964	5533.47697937458	3392.99404249686	6370.38918125193	8758.51732292671	9276.92603085939	2399.67715344476	2388.43815304866	2576.18188715497
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. SC05B48	0	0	0	6752.99700784772	8987.48317230696	5594.91029840561	10130.3186954338	13722.947747922	15081.7290926445	4213.05637310239	4163.01270256622	4258.1692977915	6030	7905	5043	9572	12771	14005	3749	3715	3780	6059	7937	5067	9618	12848	14076	3770	3740	3802	6059	7937	5067	9618	12848	14074	3770	3740	3802	5926.70175067945	7800.04304723886	4925.35258075727	9804.27205669896	13210.6138204325	14259.1053966526	3704.36171281641	3796.70143982766	3805.30143498884
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	5353600000	5353600000	5353600000	11667.494036882	15347.9644912809	9721.49187279399	18162.2815692696	24398.6341624033	26357.7925893999	7068.26020048183	7034.8857211462	7308.46919670214	12808	17006	10704	19718	26389	28932	7767	7853	8108	12847	17049	10723	19775	26457	28989	7786	7879	8128	12810	17007	10706	19721	26397	28938	7769	7854	8110	7802.08931541301	10435.347172322	6534.98799604488	12510.0750159865	16714.268708194	18332.7806602203	4672.12547401173	4734.95316422675	4959.58418619376
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	9004400000	9004400000	9004400000	14497.9142589363	18258.6676101054	11720.3614313936	21883.353919118	28740.5072156349	31396.7752062976	8419.16111143177	8375.28609919262	8501.75555288571	14388	18070	11583	21637	28468	31094	8334	8299	8431	14472	18177	11663	21793	28700	31309	8403	8354	8483	14439	18146	11637	21744	28640	31244	8372	8334	8467	8747.23694342659	11094.6243512974	7086.10990972728	13737.3920126471	18086.0996117	19731.864557906	5023.77183154892	5007.158352992	5143.38335871446
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	0	0	0	8289.94688505552	10940.0836353617	7037.73798839964	13627.9320983854	18488.1176634477	19572.6086364528	5983.12137267739	6111.3919839156	6075.81933663046	10283	13522	8845	11749	15433	16824	7396	7485	7787	12923	16937	11056	15856	21150	22778	9270	9405	9694	12606	16534	10775	15499	20681	22209	9041	9182	9464	11366.8164575361	14901.1079174983	9744.6740976865	15303.942155934	20702.6826409359	22076.7117827888	8089.63329047871	8245.27821240333	8529.59873258118
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] faecis	0	0	0	10557.9490224477	13666.5565855762	8818.63379574009	10290.7463215414	13397.1851165796	14457.1095588108	6824.46073712279	6831.52966220769	7309.53001448926	4959	6574	4104	7704	10144	10845	2995	3022	3009	4987	6609	4126	7749	10212	10913	3007	3044	3024	4987	6605	4126	7737	10198	10904	3007	3042	3020	3243.31731783334	4346.65775116434	2690.91264811015	5061.20970679488	6662.64733433479	7156.25514288932	1946.71894750489	1992.23493903243	1984.07315222672
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	3951100000	3951100000	3951100000	6201.27979676641	7883.45833256226	4984.96624198673	9126.14974507508	12125.9708661446	12656.7246674215	3760.85191735537	3785.60031874551	3637.30599027539	6313	8010	5094	9080	12123	12660	3823	3850	3725	6341	8058	5117	9156	12228	12755	3847	3874	3740	6330	8046	5113	9124	12183	12729	3845	3867	3736	4694.13383452547	6003.27212242182	3820.11352560072	6269.30142457902	8429.97219013945	8819.25855079089	2856.75851600566	2911.00125946351	2848.58782688434
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unassigned	[Eubacterium] rectale	0	0	0	16731.2425658164	21908.4568037985	13637.3162238416	25008.8195325918	33666.6136346402	35600.6145697614	9897.87152437946	10226.009991023	10050.2721365759	9660	12790	7896	14387	19205	20527	5635	5902	5818	16695	21870	13570	24903	33569	35441	9861	10174	10044	16499	21611	13430	24547	33036	34959	9754	10047	9930	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unassigned	Lachnospiraceae bacterium GAM79	0	0	0	5659.15586676081	7197.15759718201	4556.52708814558	9400.64805030813	11782.4724543495	13214.7709759124	3967.30683931692	3743.13305476151	3925.86903075907	4577	5967	3751	7781	9751	11016	3226	3146	3275	5346	6873	4353	8967	11311	12685	3725	3636	3788	5327	6855	4342	8935	11267	12653	3708	3626	3776	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	21148300000	21148300000	21148300000	40619.6061206915	50441.7636948247	33860.2780423865	66543.0549293478	87431.1231301488	95587.574836267	24077.2020873404	22071.17055862	24126.9046950883	26703	33352	22370	44045	58176	63554	15858	14626	16086	40617	50479	33849	66544	87368	95638	24058	22051	24081	40509	50352	33774	66316	87036	95360	24002	21994	24027	62102.4603908352	77658.7612774451	51732.9753735851	104835.445713237	137027.496334887	150512.3651955	36191.8907747323	32923.8375712831	36176.1074904343
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	2.438e+09	2.438e+09	2.438e+09	14676.4246248927	18712.8970925684	12297.4508883816	24201.2071766941	31943.9671517103	34865.4373509353	8590.14954610522	8036.43793923679	8615.50459472183	15111	19271	12674	25381	34061	36209	8792	8233	8819	15119	19277	12678	25392	34076	36220	8797	8237	8820	15119	19276	12678	25390	34071	36216	8796	8237	8820	9090.11384317914	11678.7102461743	7655.20319016019	15896.824949672	21300.2628447225	22666.0285244238	5227.57357310314	4908.55039957812	5321.19558750484
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bicirculans	3439200000	3439200000	3439200000	5439.73932478215	7162.43458633365	4620.94331752414	9737.69340746107	13599.7036394802	14363.1050312459	3099.45911239149	3028.29427154477	3182.18502326565	333	440	261	654	885	906	188	191	145	5396	7122	4599	9626	13456	14251	3078	3004	3164	5395	7122	4599	9624	13450	14247	3077	3004	3163	6311.9164937058	8393.75342648037	5397.99952629576	11695.17125974	16376.4251282524	17357.8309401286	3558.28416395674	3477.25890810965	3745.43199768568
