superkingdom	phylum	class	order	family	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	1927100000	1927100000	1927100000	2120.01906906317	2495.79375977262	1624.74545898782	53.7687155613273	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926	451	542	351	12	9	13	324	356	289	2115	2477	1615	51	79	81	1579	1661	1351	1044	1160	767	34	49	51	735	799	679	6026.28512852063	7285.13313373254	4737.25227543523	155.662741870545	249.818280213707	270.750368127364	4537.82837264075	4653.46874763324	3872.95389914141
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	26042500000	26042500000	26042500000	4725.33165705282	5702.86679298522	3765.56516146132	3856.29594576198	5149.28034315147	5146.73562445583	3514.4563302795	3355.13432837852	2890.94673304321	4316	5294	3482	3453	4542	4564	3157	3002	2603	4757	5752	3798	3871	5174	5175	3541	3381	2910	4438	5420	3590	3602	4742	4791	3282	3107	2703	4405.52093108157	5067.89254823686	3362.44271902098	3966.60915141037	5522.03781673374	5479.59001916482	3446.36991281425	3386.3270229256	2839.60741128887
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	8087200000	8087200000	8087200000	915.578112218572	1073.98142632462	825.117122924282	736.555187052318	892.528538422842	921.484062188819	713.546006340961	652.261129489042	579.26219322771	826	951	754	670	787	829	636	564	535	929	1088	845	754	908	937	727	658	598	892	1045	821	721	863	896	694	630	575	711.395028530092	866.805123087159	628.997836267955	607.766880610094	768.67163142679	765.677073167523	573.118770324435	522.563106414849	447.823391027635
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	5888900000	5888900000	5888900000	1610.1465274052	2060.31192005879	1267.59867255113	1224.85503900522	1537.95649730139	1541.08153077079	1110.94281934139	1122.31938836826	1009.44837047473	1414	1849	1123	1097	1350	1389	980	992	897	1610	2062	1264	1223	1545	1545	1109	1120	1009	1414	1851	1127	1100	1353	1390	981	993	898	1500.31005178685	1813.0122421823	1132.79515084067	1087.7786822348	1475.35361515787	1375.48638853695	985.434432428345	997.888869876943	899.837642666492
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	0	0	0	9413.62037636597	11770.7474641689	7240.31236364392	6995.59889202576	9461.14488662532	9470.81940647667	6463.22300721408	6331.35449411184	5625.38598765729	2579	3257	2044	2003	2726	2818	1857	1689	1606	9360	11697	7188	6957	9393	9431	6409	6282	5575	6859	8488	5234	5070	6827	6845	4792	4557	4057	19229.1328457752	24364.3821689953	14756.2892388462	14811.5269485825	20005.2991043592	19862.2718453068	12694.610213805	12892.2518253806	11420.6938599508
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	3.78e+08	3.78e+08	3.78e+08	857.557142914705	1004.47985783432	705.570067189493	1190.67440739339	1554.14801455968	1778.97351262393	605.292150637743	477.070665326482	600.740217878174	750	907	578	1062	1313	1503	485	495	536	921	1063	726	1188	1471	1700	611	529	636	890	1013	698	1146	1418	1632	583	516	610	959.459011655421	1103.80805056554	802.122002631231	1221.11529379722	1536.72336637662	1758.01443157928	625.541761649075	500.7158352992	640.004284770778
Bacteria	Firmicutes	Clostridia	Clostridiales		3681400000	3681400000	3681400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6616.62970374677	8483.38143712575	5351.87301830277	11440.9014423419	15475.7155472337	17064.1040499354	3948.80599820659	3671.52248100286	3902.28992341996
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	0	0	0	4115.54507159648	5068.08988334807	3317.93497416187	6673.81953986867	8632.17345199352	9475.606441271	2354.80184950943	2135.86462267419	2363.32915654641	4125	5029	3325	6894	8892	9644	2361	2123	2341	4151	5059	3346	6925	8956	9697	2370	2139	2362	4137	5044	3335	6898	8922	9664	2363	2127	2350	3009.56471834985	3700.0127079175	2465.07247261203	5064.31055822656	6608.71634083952	7210.90200618109	1652.79678266224	1538.16597989907	1715.85807310856
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	783100000	783100000	783100000	4435.68517753411	5548.02899213493	3529.53173053228	7006.07243210388	9132.51859207283	10034.4150748001	2940.31382883324	2736.21431837758	2705.46708986585	4741	5958	3811	7292	9480	10457	3060	2902	3027	5516	6920	4374	8820	11511	12565	4044	3884	3800	4756	5982	3836	7320	9514	10507	3078	2912	3043	6605.29985836364	8592.85994677312	5384.82052401205	10206.7625725316	13520.5620589111	14758.9999983557	4397.64104752542	4278.52233794575	4413.57491798894
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	9.34e+08	9.34e+08	9.34e+08	6715.46606584088	9209.19450048071	5650.83635476246	10962.4262196823	15008.7336125638	15418.8556366968	4107.07091348953	4202.7791475485	4316.7798768441	6748	9232	5648	10970	14989	15498	4141	4253	4294	6986	9522	5834	11331	15473	15968	4284	4417	4444	6759	9250	5658	11011	15030	15530	4147	4264	4305	4307.13016854388	5902.21503659348	3585.8867122857	7278.31848044904	9885.48911803469	10233.8671255481	2625.86174522747	2696.07134902847	2754.59281031838
