superkingdom	phylum	class	order	Zymo_6323_WGS_kraken2_ONT_MONT	Zymo_6323_WGS_kraken2_ONT_ONT	Zymo_6323_WGS_kraken2_ONT_PB	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	FR_PB_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323
Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	936700000	936700000	936700000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	1927100000	1927100000	1927100000	2120.01906906317	2495.79375977262	1624.74545898782	53.7687155613273	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926	451	542	351	12	9	13	324	356	289	2115	2477	1615	51	79	81	1579	1661	1351	1044	1160	767	34	49	51	735	799	679	6026.28512852063	7285.13313373254	4737.25227543523	155.662741870545	249.818280213707	270.750368127364	4537.82837264075	4653.46874763324	3872.95389914141
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	255100000	255100000	255100000	1294.04699403583	1734.06555832523	701.942456285146	158.492512204235	194.914446562891	179.42318000581	508.929458137138	554.071667267922	488.061991989669	1043	1372	574	139	173	155	422	450	400	1295	1735	716	169	204	185	527	561	493	1240	1651	677	163	198	178	504	537	462	1292.79498898008	1778.7250166334	730.236535629179	171.166999028965	197.746976149311	190.022047355444	508.915331511112	560.352980777052	474.764637814057
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	1.114e+09	1.114e+09	1.114e+09	411.481081433515	578.912681467318	326.598563892481	331.145627168745	409.773761662368	391.627213240645	323.687122863579	345.238437051619	276.728522808558	291	388	230	223	255	231	232	237	202	359	487	268	254	305	279	286	293	235	292	389	230	223	255	231	232	238	203	393.563050150763	555.813972055888	272.565729049447	233.804197948985	345.282337665098	300.557748104689	298.634343838118	316.490197783456	236.484277347481
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	43051600000	43051600000	43051600000	17749.9692540604	21915.0857381783	13947.7364142048	14316.3752711653	18897.5448218056	19150.2366245849	12513.1455224684	12129.3614622685	10797.5522316598	10133	12537	8187	8689	11216	11597	7298	6870	6278	17742	21924	13949	14326	18908	19173	12509	12136	10800	14676	18104	11607	12000	15649	15985	10461	9965	8928	26663.3003400625	33162.9654690619	20522.1027379691	21517.4282547427	29071.2850798566	28927.4412809106	18224.3522649928	18339.3079346201	16154.5702675116
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	0	0	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351	687	949	584	1234	1691	1738	428	397	426	689	951	585	1239	1701	1750	430	397	429	689	951	585	1238	1699	1748	430	397	429	415.030125613532	576.86753160346	352.837833868405	779.554049925396	1067.46173332011	1101.63108499528	256.813755253292	235.596247976864	258.63596914965
Bacteria	Firmicutes	Bacilli	Bacillales	0	0	0	891.058350294244	869.52893143471	704.484176898465	903.80192151849	1149.81673180997	1326.55876840153	607.478446205392	344.559304243462	570.861174735968	245	302	189	357	413	469	178	160	182	761	703	607	648	888	1052	550	291	501	452	453	354	469	595	675	311	208	297	1392.37836682126	1155.53965402528	1126.80469525717	1036.92471875518	1531.76419456097	1827.56498485971	1053.17200548827	419.231418705698	897.442865174365
Bacteria	Firmicutes	Bacilli	Lactobacillales	577600000	577600000	577600000	1739.01570272825	1911.59893411173	1453.57507142873	2047.94729215262	2766.16878700387	3219.38419797192	1209.56444770641	781.679106025004	1153.9471485881	1280	1417	1041	1526	1876	2240	867	646	885	1839	2025	1505	2089	2746	3180	1234	863	1215	1563	1704	1297	1773	2232	2618	1086	729	1069	2460.36537109401	2776.66373918829	2021.77875943271	2864.56655258982	4151.44670618162	4559.90814944779	1520.85577078899	1123.06782870174	1523.67717936542
Bacteria	Firmicutes	Clostridia	Clostridiales	114164800000	114164800000	114164800000	308397.991676414	396464.357321736	254103.782928368	475760.721009279	636040.45097285	686156.573837869	187583.889668069	181911.860649697	191179.742380641	261624	337377	215711	403787	539384	582833	158971	154251	162360	309638	398196	255268	478700	639972	690327	188862	183115	192083	293827	378028	242381	455234	608576	656881	178442	172829	181808	299833.0282191	386389.963073852	248233.097514811	475416.959973237	634241.501330353	686098.199485978	181179.159219326	175760.115191823	186167.607460414
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	347800000	347800000	347800000	1012.93069940712	1232.47772767439	725.24562799508	2156.48864107502	2806.5200658936	2833.98390386079	1431.7826056117	1519.38322097313	1108.49058766654	513	585	384	1060	1322	1290	662	719	528	542	618	399	1105	1386	1342	702	763	549	514	585	384	1061	1325	1293	662	722	528	1682.78019322038	2117.38656021291	1211.27011898458	3722.88222887999	4880.44496308316	4884.68439378405	2435.60751828524	2449.25623210033	1839.7878083261
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	963100000	963100000	963100000	1784.35810739127	2210.00328944549	1600.31433181643	2973.85995153668	3894.59390631342	4531.16052141428	1127.51942471079	960.662873710341	1127.87266232263	665	840	605	965	1251	1397	424	352	442	1772	2193	1592	2958	3875	4510	1117	957	1122	667	840	606	974	1258	1409	429	356	442	2547.42628824858	3152.62015968064	2264.39221056464	4586.15926746086	6068.7865094099	7082.97866711174	1579.16898585797	1374.60667992516	1578.75706168432
