rank	sample	platform	primer	sample_name	sample_nr	GS_name	source	barcode	name	workflow	db	Vregion	method	path	file.names	rep	filename	bamfile	project	mapq.filt	sample_ID	group	GS_version	R2	p_value	significant
genus	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	ONT	MONT	MONT1	1	NA	FR	bc25	FM1	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FM1_FR_MONT_20240807_bc25_pass.fastq_rel-abundance.tsv	PRMT_FM1_FR_MONT_20240807_bc25_pass.fastq_rel-abundance.tsv	1	PRMT_FM1_FR_MONT_20240807_bc25	NA	NA	NA	NA	3	D6323	0.0386486204432596	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	ONT	MONT	MONT2	2	NA	FR	bc26	FM2	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FM2_FR_MONT_20240807_bc26_pass.fastq_rel-abundance.tsv	PRMT_FM2_FR_MONT_20240807_bc26_pass.fastq_rel-abundance.tsv	2	PRMT_FM2_FR_MONT_20240807_bc26	NA	NA	NA	NA	3	D6323	0.038835280926537	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	ONT	MONT	MONT3	3	NA	FR	bc27	FM3	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FM3_FR_MONT_20240807_bc27_pass.fastq_rel-abundance.tsv	PRMT_FM3_FR_MONT_20240807_bc27_pass.fastq_rel-abundance.tsv	3	PRMT_FM3_FR_MONT_20240807_bc27	NA	NA	NA	NA	3	D6323	0.0381094695202664	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	ONT	MONT	MONT1	1	NA	FR	bc25	FM1	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FM1_FR_MONT_20240807_bc25_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FM1_FR_MONT_20240807_bc25	18	D6323	0.0421362946542278	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	ONT	MONT	MONT2	2	NA	FR	bc26	FM2	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FM2_FR_MONT_20240807_bc26_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FM2_FR_MONT_20240807_bc26	18	D6323	0.0418569151190872	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	ONT	MONT	MONT3	3	NA	FR	bc27	FM3	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FM3_FR_MONT_20240807_bc27_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FM3_FR_MONT_20240807_bc27	18	D6323	0.0421671516446453	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	ONT	MONT	MONT1	1	NA	FR	bc25	FM1	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_FM1_FR_MONT_20240807_bc25_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_FM1_FR_MONT_20240807_bc25	44	D6323	0.0387470414293405	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	ONT	MONT	MONT2	2	NA	FR	bc26	FM2	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_FM2_FR_MONT_20240807_bc26_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_FM2_FR_MONT_20240807_bc26	44	D6323	0.0392286808439913	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	ONT	MONT	MONT3	3	NA	FR	bc27	FM3	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_FM3_FR_MONT_20240807_bc27_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_FM3_FR_MONT_20240807_bc27	44	D6323	0.0382917338057928	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	ONT	MONT	MONT1	1	NA	FR	bc25	FM1	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_FM1_FR_MONT_20240807_bc25_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_FM1_FR_MONT_20240807_bc25	31	D6323	0.0428030095464716	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	ONT	MONT	MONT2	2	NA	FR	bc26	FM2	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_FM2_FR_MONT_20240807_bc26_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_FM2_FR_MONT_20240807_bc26	31	D6323	0.0432417789857536	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	ONT	MONT	MONT3	3	NA	FR	bc27	FM3	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_FM3_FR_MONT_20240807_bc27_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_FM3_FR_MONT_20240807_bc27	31	D6323	0.0422801333954555	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	ONT	MONT	MONT1	1	NA	FR	bc25	FM1	minitax	EMUdb	V1_V9	SpeciesEstimate	NA	NA	NA	NA	PRMT_FM1_FR_MONT_20240807_bc25_pass.bam	NA	NA	minitax_EMUdb_SpeciesEstimate_PRMT_FM1_FR_MONT_20240807_bc25	57	D6323	0.009994173963291	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	ONT	MONT	MONT2	2	NA	FR	bc26	FM2	minitax	EMUdb	V1_V9	SpeciesEstimate	NA	NA	NA	NA	PRMT_FM2_FR_MONT_20240807_bc26_pass.bam	NA	NA	minitax_EMUdb_SpeciesEstimate_PRMT_FM2_FR_MONT_20240807_bc26	57	D6323	0.010657726574199	0.0537060083004443	FALSE
genus	FR_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	ONT	MONT	MONT3	3	NA	FR	bc27	FM3	minitax	EMUdb	V1_V9	SpeciesEstimate	NA	NA	NA	NA	PRMT_FM3_FR_MONT_20240807_bc27_pass.bam	NA	NA	minitax_EMUdb_SpeciesEstimate_PRMT_FM3_FR_MONT_20240807_bc27	57	D6323	0.00970374693008634	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	ONT	ONT	ONT1	1	NA	FR	bc10	FO1	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FO1_FR_ONT_20240807_bc10_pass.fastq_rel-abundance.tsv	PRMT_FO1_FR_ONT_20240807_bc10_pass.fastq_rel-abundance.tsv	1	PRMT_FO1_FR_ONT_20240807_bc10	NA	NA	NA	NA	4	D6323	0.029660764353263	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	ONT	ONT	ONT2	2	NA	FR	bc11	FO2	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FO2_FR_ONT_20240807_bc11_pass.fastq_rel-abundance.tsv	PRMT_FO2_FR_ONT_20240807_bc11_pass.fastq_rel-abundance.tsv	2	PRMT_FO2_FR_ONT_20240807_bc11	NA	NA	NA	NA	4	D6323	0.0293817617153472	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	ONT	ONT	ONT3	3	NA	FR	bc12	FO3	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FO3_FR_ONT_20240807_bc12_pass.fastq_rel-abundance.tsv	PRMT_FO3_FR_ONT_20240807_bc12_pass.fastq_rel-abundance.tsv	3	PRMT_FO3_FR_ONT_20240807_bc12	NA	NA	NA	NA	4	D6323	0.0290740421541528	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	ONT	ONT	ONT1	1	NA	FR	bc10	FO1	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FO1_FR_ONT_20240807_bc10_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FO1_FR_ONT_20240807_bc10	19	D6323	0.0359291753254576	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	ONT	ONT	ONT2	2	NA	FR	bc11	FO2	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FO2_FR_ONT_20240807_bc11_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FO2_FR_ONT_20240807_bc11	19	D6323	0.0348990577000584	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6323	ONT	ONT	ONT3	3	NA	FR	bc12	FO3	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FO3_FR_ONT_20240807_bc12_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FO3_FR_ONT_20240807_bc12	19	D6323	0.0349093710178465	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6323	ONT	ONT	ONT1	1	NA	FR	bc10	FO1	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_FO1_FR_ONT_20240807_bc10_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_FO1_FR_ONT_20240807_bc10	45	D6323	0.0309877854121905	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6323	ONT	ONT	ONT2	2	NA	FR	bc11	FO2	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_FO2_FR_ONT_20240807_bc11_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_FO2_FR_ONT_20240807_bc11	45	D6323	0.0307568715290831	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6323	ONT	ONT	ONT3	3	NA	FR	bc12	FO3	minitax	EMUdb	V1_V9	LCA	NA	NA	NA	NA	PRMT_FO3_FR_ONT_20240807_bc12_pass.bam	NA	NA	minitax_EMUdb_LCA_PRMT_FO3_FR_ONT_20240807_bc12	45	D6323	0.0302563702097922	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6323	ONT	ONT	ONT1	1	NA	FR	bc10	FO1	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_FO1_FR_ONT_20240807_bc10_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_FO1_FR_ONT_20240807_bc10	32	D6323	0.033507589340249	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6323	ONT	ONT	ONT2	2	NA	FR	bc11	FO2	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_FO2_FR_ONT_20240807_bc11_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_FO2_FR_ONT_20240807_bc11	32	D6323	0.0332182778284316	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6323	ONT	ONT	ONT3	3	NA	FR	bc12	FO3	minitax	EMUdb	V1_V9	RandAln	NA	NA	NA	NA	PRMT_FO3_FR_ONT_20240807_bc12_pass.bam	NA	NA	minitax_EMUdb_RandAln_PRMT_FO3_FR_ONT_20240807_bc12	32	D6323	0.0326593143263081	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6323	ONT	ONT	ONT1	1	NA	FR	bc10	FO1	minitax	EMUdb	V1_V9	SpeciesEstimate	NA	NA	NA	NA	PRMT_FO1_FR_ONT_20240807_bc10_pass.bam	NA	NA	minitax_EMUdb_SpeciesEstimate_PRMT_FO1_FR_ONT_20240807_bc10	58	D6323	0.0061308898997844	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6323	ONT	ONT	ONT2	2	NA	FR	bc11	FO2	minitax	EMUdb	V1_V9	SpeciesEstimate	NA	NA	NA	NA	PRMT_FO2_FR_ONT_20240807_bc11_pass.bam	NA	NA	minitax_EMUdb_SpeciesEstimate_PRMT_FO2_FR_ONT_20240807_bc11	58	D6323	0.00637928375116148	0.0537060083004443	FALSE
genus	FR_ONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6323	ONT	ONT	ONT3	3	NA	FR	bc12	FO3	minitax	EMUdb	V1_V9	SpeciesEstimate	NA	NA	NA	NA	PRMT_FO3_FR_ONT_20240807_bc12_pass.bam	NA	NA	minitax_EMUdb_SpeciesEstimate_PRMT_FO3_FR_ONT_20240807_bc12	58	D6323	0.00602412559280496	0.0537060083004443	FALSE
genus	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6323	ONT	PB	PB1	1	NA	FR	bc40	FP1	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FP1_FR_PB_20240807_bc40_pass.fastq_rel-abundance.tsv	PRMT_FP1_FR_PB_20240807_bc40_pass.fastq_rel-abundance.tsv	1	PRMT_FP1_FR_PB_20240807_bc40	NA	NA	NA	NA	5	D6323	0.0425013065372658	0.0537060083004443	FALSE
genus	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6323	ONT	PB	PB2	2	NA	FR	bc41	FP2	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FP2_FR_PB_20240807_bc41_pass.fastq_rel-abundance.tsv	PRMT_FP2_FR_PB_20240807_bc41_pass.fastq_rel-abundance.tsv	2	PRMT_FP2_FR_PB_20240807_bc41	NA	NA	NA	NA	5	D6323	0.0441435001525808	0.0537060083004443	FALSE
genus	FR_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6323	ONT	PB	PB3	3	NA	FR	bc42	FP3	EMU	EMUdb	V1_V9	EMU	emu/PRMT_FP3_FR_PB_20240807_bc42_pass.fastq_rel-abundance.tsv	PRMT_FP3_FR_PB_20240807_bc42_pass.fastq_rel-abundance.tsv	3	PRMT_FP3_FR_PB_20240807_bc42	NA	NA	NA	NA	5	D6323	0.0410161751335834	0.0537060083004443	FALSE
genus	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6323	ONT	PB	PB1	1	NA	FR	bc40	FP1	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FP1_FR_PB_20240807_bc40_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FP1_FR_PB_20240807_bc40	20	D6323	0.0454513543674956	0.0537060083004443	FALSE
genus	FR_PB_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6323	ONT	PB	PB2	2	NA	FR	bc41	FP2	minitax	EMUdb	V1_V9	BestAln	NA	NA	NA	NA	PRMT_FP2_FR_PB_20240807_bc41_pass.bam	NA	NA	minitax_EMUdb_BestAln_PRMT_FP2_FR_PB_20240807_bc41	20	D6323	0.0451556248727578	0.0537060083004443	FALSE
