source	primer	rank	R2_mean	R2_sd	p_value	significant
FR	MONT	genus	0.0344467838521603	0.0127187200710761	0.0537060083004443	FALSE
FR	ONT	genus	0.0269183120103954	0.0109414756424175	0.0537060083004443	FALSE
FR	PB	genus	0.0380012680418769	0.0133345363841933	0.0537060083004443	FALSE
FR	MONT	order	0.161158680396285	0.000555864940340936	2.8391255011136e-12	TRUE
FR	ONT	order	0.159577841247246	0.000359865704613279	2.8391255011136e-12	TRUE
FR	PB	order	0.161465924270511	0.000651974324510665	2.8391255011136e-12	TRUE
FR	MONT	phylum	0.151257830362972	0.000236918112779087	1.50299229346554e-06	TRUE
FR	ONT	phylum	0.150852583173083	0.000408974676503854	1.50299229346554e-06	TRUE
FR	PB	phylum	0.151553790929043	0.000271600946389669	1.50299229346554e-06	TRUE
FR	MONT	species	0.590757480557254	0.0459852154041507	0.00475308786887818	TRUE
FR	ONT	species	0.62809189904668	0.0558561226786573	0.00475308786887818	TRUE
FR	PB	species	0.566716491997667	0.0427866345948901	0.00475308786887818	TRUE
