source	primer	rank	R2_mean	R2_sd	p_value	significant
MCS	MONT	genus	0.627116617603205	0.0701316389032764	0.00687254375400767	TRUE
MCS	ONT	genus	0.75559002136927	0.0437553406287198	0.00687254375400767	TRUE
MCS	PB	genus	0.719258607329692	0.0165663047501282	0.00687254375400767	TRUE
MCS	MONT	order	0.864264000746201	0.0429175928735151	0.00140004994411758	TRUE
MCS	ONT	order	0.965978204362952	0.00421503380566555	0.00140004994411758	TRUE
MCS	PB	order	0.909633915183119	0.00895375609644523	0.00140004994411758	TRUE
MCS	MONT	phylum	0.938492816833319	0.00518470971213299	3.65537801368091e-12	TRUE
MCS	ONT	phylum	0.995316670731127	0.000388999234086634	3.65537801368091e-12	TRUE
MCS	PB	phylum	0.94624965448977	0.00636506505261668	3.65537801368091e-12	TRUE
MCS	MONT	species	0.62225653263252	0.0771046222570468	0.00790502021396306	TRUE
MCS	ONT	species	0.758583564486456	0.0437904727325807	0.00790502021396306	TRUE
MCS	PB	species	0.723654185138295	0.0160429350935355	0.00790502021396306	TRUE
