superkingdom	phylum	class	order	family	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	0	0	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285	23	13	13	86	48	59	81	44	55	120.074873621986	65.3429302657203	83.3428718385663
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	0	0	0	120.074425390225	99.0969182680187	166.119097001728	108.217007541487	71.7700826731978	29.3300471846137	91.1810090051597	37.0325390417476	164.233469083876	90	74	122	127	106	164	119	99	157	53.1629211456119	43.6623266752509	69.9103210660501
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	0	0	0	98.0605119372857	80.0755798613287	92.0096693651221	64.0768266814141	54.0743351574155	0	43.1073146642182	20.0175886712149	106.150900814799	102	82	91	103	83	95	103	83	94	35.1364134008355	25.5951570165264	32.0549507071409
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	0	0	0	77.0357680799446	36.0452457081693	60.0410744652801	49.0340601425388	37.0926051813736	0	45.0727711667584	33.0290213075052	58.082568370534	42	28	34	77	46	58	53	31	39	60.4957378553515	37.9410562833215	50.3720653969357
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	1740000	1740000	1740000	192480.976333339	127663.967877295	172265.781316349	95904.9454678636	107493.794886236	130680.333645239	77381.5123005886	113286.970601067	70750.5877198653	24507	16802	22341	192112	127337	171901	32525	22114	29506	245536.006651304	159601.462211746	218897.457959413
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	1410000	1410000	1410000	84955.0401161596	44986.5315376707	73755.2503030643	41304.9332283489	37731.7517764543	51804.1856331937	31204.0052872479	44230.5469162441	27811.8705290196	7584	4268	6633	84766	44878	73640	84198	44600	73214	69654.4259258162	36095.7960221771	60460.8268828298
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	1550000	1550000	1550000	96441.9671990619	50621.9440049887	88990.6535250842	43111.1331817894	38661.8241148863	62600.6243286045	35341.5464153066	56780.9879962255	35131.065980594	16113	8584	14962	96245	50414	88748	58013	30375	53561	99312.003108358	50845.2310925711	90997.8993526763
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	0	0	0	63.1692547913621	38.8224349670393	54.6279014024501	40.8001192142813	30.1451063152455	33.7949982673234	26.5632859839954	32.9535987397574	36.7068159713526	386	232	366	450	283	432	450	283	432	171.404590590163	107.800778963723	164.854032208153
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	990000	990000	990000	82977.3641825828	49446.2926241706	77098.0121158321	40124.2706190879	41740.7978708423	57307.351630664	31565.353140642	47235.8877817404	30541.9042523142	34965	21465	33301	82844	49375	76935	82648	49219	76731	68173.5024844784	39656.232922923	62384.4292105031
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	1840000	1840000	1840000	70098.3515231528	35362.5776957986	55369.8911110165	33323.9798319355	28107.2430135578	38207.8077211658	28862.4974949045	43844.5809684733	23733.4355335915	26611	13237	21275	69911	35252	55222	69816	35193	55138	41890.8541925943	20826.6287046004	32870.6728813264
