superkingdom	phylum	class	order	family	genus	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0	0	0	120.074425390225	99.0969182680187	166.119097001728	108.217007541487	71.7700826731978	29.3300471846137	91.1810090051597	37.0325390417476	164.233469083876	90	74	122	127	106	164	119	99	157	53.1629211456119	43.6623266752509	69.9103210660501
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	1740000	1740000	1740000	192480.976333339	127663.967877295	172265.781316349	95904.9454678636	107493.794886236	130680.333645239	77381.5123005886	113286.970601067	70750.5877198653	24507	16802	22341	192112	127337	171901	32525	22114	29506	245532.34024295	159598.451016803	218894.09982172
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	1410000	1410000	1410000	84955.0401161596	44986.5315376707	73755.2503030643	41304.9332283489	37731.7517764543	51804.1856331937	31204.0052872479	44230.5469162441	27811.8705290196	7584	4268	6633	84766	44878	73640	84198	44600	73214	69654.4259258162	36095.7960221771	60460.8268828298
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	1550000	1550000	1550000	96441.9671990619	50621.9440049887	88990.6535250842	43111.1331817894	38661.8241148863	62600.6243286045	35341.5464153066	56780.9879962255	35131.065980594	16111	8584	14961	96241	50412	88747	58011	30375	53560	99312.003108358	50845.2310925711	90997.8993526763
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Laceyella	0	0	0	63.1692547913621	38.8224349670393	54.6279014024501	40.8001192142813	30.1451063152455	33.7949982673234	26.5632859839954	32.9535987397574	36.7068159713526	386	232	366	450	283	432	450	283	432	171.404590590163	107.800778963723	164.854032208153
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	990000	990000	990000	82977.3641825828	49446.2926241706	77098.0121158321	40124.2706190879	41740.7978708423	57307.351630664	31565.353140642	47235.8877817404	30541.9042523142	34960	21465	33299	82839	49375	76933	82643	49219	76729	68173.5024844784	39656.232922923	62384.4292105031
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0	0	0	92.1075179652527	68.4783944284424	88.5155642584071	31.0351530968997	17.0174408844176	12.006365225508	39.0588789141471	10.0118025389669	123.190369949996	73	57	73	105	83	106	88	70	87	83.4107900732877	52.093672515989	83.9534423282261
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	1840000	1840000	1840000	70006.2440051875	35294.0993013701	55281.3755467581	33292.9446788386	28090.2255726734	38195.8013559403	28823.4386159903	43834.5691659344	23610.2451636415	26536	13180	21201	69803	35168	55113	69726	35123	55050	41807.443402521	20774.5350320844	32786.7194389982
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0	0	0	354.27754872649	241.08961307023	353.350813038251	258.378904998524	204.429929671361	87.0066305599756	216.378687205846	126.042473014849	384.546659485952	343	243	347	374	267	376	346	244	347	147.572936283509	110.811973906844	150.505625701147
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	0	0	0	821.111732151714	640.462953450178	929.646381910245	550.137667978394	462.534684563259	561.983110579498	492.399594387481	275.048898044957	939.974765516051	800	612	893	866	658	976	807	614	901	375.501322344581	274.018739823988	429.841624720518
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	0	0	0	113.290367908683	96.8213497310097	121.196132138055	79.1897602515908	79.7673068340561	104.402284464957	82.5880896867693	45.7135649986238	115.194242255638	78	70	86	99	88	110	85	78	92	38.4972877261328	32.5209053857041	49.7614949072758
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptacetobacter	0	0	0	325.20281156781	296.029320583229	382.328216103389	255.368085723831	220.013952028436	85.3969127334125	207.270549248687	124.108741367497	367.578116238904	195	199	247	331	297	387	329	297	383	244.121689628413	185.489608496238	258.271317126106
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	0	0	0	681.544233485515	531.180878221522	762.34481873485	458.666523999408	381.555974329975	150.437228290076	385.097868391706	240.03018294746	755.080535867679	468	356	491	720	556	798	692	543	767	526.74066698296	415.544902150664	608.128207701187
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	0	0	0	103.131059489379	79.1681986401696	98.1437622563154	76.5998455734556	51.023456252554	23.107645916661	72.5982160177959	28.0232912579923	141.200726128259	109	80	108	122	92	119	119	91	118	42.469230110575	32.5209053857041	39.9923670727186
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	0	0	0	70.8587445185622	70.0538510840158	98.0669824068866	65.0735601417514	43.9958065305414	18.0096492048246	55.0605991935327	31.0272624301978	104.148053629923	69	67	92	69	67	92	69	67	92	27.1925286319509	27.1007544880867	39.6870818278887
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	0	0	0	543.405054880826	414.661945548159	547.389036561035	391.463239548485	335.76870511232	125.874519996901	328.606416561398	203.547255244228	620.214417802998	283	231	288	543	415	549	290	235	297	520.62998639151	373.087053452661	539.133742369626
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	1010000	1010000	1010000	16734.009355896	13205.7869074913	16969.288426763	34498.5978726283	34006.8865201584	47575.8677152782	10580.2396027269	12040.0681235505	7986.66644107905	3171	2501	3198	16449	13011	16674	7244	5667	7518	14889.8953971854	11524.1441668174	15080.7858093529
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	1040000	1040000	1040000	14631.2324501131	11564.9407221662	14941.4331938893	30109.2295346228	29914.083211101	39783.0943696183	9392.18371344579	10760.1576303998	6854.76397108336	2147	1740	2216	14383	11371	14693	13950	11024	14279	11544.9088414258	9098.32552063935	11994.6572693673
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	0	0	0	200.832295716788	184.670118524834	200.400286704856	393.562842641468	318.424667719053	398.287226690846	100.430203051671	136.727956909371	66.576754150213	617	516	646	647	545	681	617	517	648	5875.41938867884	4651.39282863862	5810.49406484773
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	420000	420000	420000	4287.73257624884	3004.63155018488	3584.89047481007	1548.67204069162	1451.80683789545	1864.42177238433	3200.85137422967	3598.72047216262	2344.91191789731	1725	1219	1467	4276	2998	3580	2598	1802	2156	4222.48028869171	2955.1867171787	3561.7629514306
