superkingdom	phylum	class	Zymo_6300_ONT_MONT	Zymo_6300_ONT_ONT	Zymo_6300_ONT_PB	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_ONT_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_1_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_2_D6300	MCS_PB_V1_V9_ONT_EMU_EMU_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_BestAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_RandAln_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_LCA_EMUdb_3_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_1_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_2_D6300	MCS_MONT_V1_V9_ONT_minitax_SpeciesEstimate_EMUdb_3_D6300
Bacteria	Actinobacteria	Actinobacteria	0	0	0	90.6896483538606	51.0578292107297	60.0428990120235	58.872242694963	46.0471929774172	28.0500986597033	57.0737693453468	24.8522187541595	77.1096165435285	23	13	13	86	48	59	81	44	55	120.074873621986	65.3429302657203	83.3428718385663
Bacteria	Actinobacteria	Coriobacteriia	0	0	0	10.0081823266592	13.0122899746877	0	0	0	0	0	0	11.0156595185496	14	20	13	14	22	15	14	20	14	3.66640835486979	5.11903140330528	3.05285244829913
Bacteria	Bacteroidetes	Bacteroidia	0	0	0	295.170705407455	215.217743837517	328.176990667467	221.32789436544	162.937023011987	29.3300471846137	179.361094836136	90.0791490204676	328.466938269209	248	191	269	324	243	343	290	221	314	148.795072401799	107.198539975099	152.337337170127
Bacteria	Candidatus Melainabacteria	unassigned	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	2	3	2	2	3	0	0	0
Bacteria	Firmicutes	Bacilli	7530000	7530000	7530000	527402.165293447	308375.238994029	467914.586390342	254068.441353238	253984.001061045	340738.113604424	204597.856611879	305553.984406442	188390.117490842	110541	64846	99252	526734	307821	467281	328028	182043	288956	524893.102706135	307247.57714082	465934.583361024
Bacteria	Firmicutes	Clostridia	0	0	0	2732.25316094957	2171.26438820095	3049.75679601704	1821.3453294994	1535.86060050852	1224.7216187289	1641.94200426866	890.972161034339	3126.16567888858	2481	2001	2737	3197	2541	3537	2928	2349	3236	1831.06543922789	1404.12020197721	2031.06273385341
Bacteria	Firmicutes	Erysipelotrichia	0	0	0	0	0	0	0	0	0	0	0	0	10	5	11	10	5	11	10	5	11	11.6102931237543	8.13022634642602	12.2114097931965
Bacteria	Firmicutes	Negativicutes	0	0	0	689.322735741651	539.828639551579	704.881324193406	504.591490294556	422.685433226095	155.761783832332	425.752157468181	264.600906226971	815.491956660312	419	347	430	699	540	707	426	351	440	588.764074986173	424.277367485714	610.875774904656
Bacteria	Fusobacteria	Fusobacteriia	0	0	0	38.0234565809862	21.0198091015747	56.2305429701704	22.0249262459253	18.9533061419641	0	25.0377108328986	14.0123121753525	38.0540965186257	31	17	24	57	33	61	49	27	51	39.1083557852777	24.3906790392781	55.8671998038741
Bacteria	Proteobacteria	Betaproteobacteria	0	0	0	0	0	0	0	0	89.0473301578427	0	0	11.0156595185496	17	6	10	18	7	10	17	7	10	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	2470000	2470000	2470000	35853.8066779748	27960.0292983672	35696.0123821673	66561.6455553749	65691.201236874	89621.6710839716	23273.7048934541	26535.6741830222	17252.9190842099	7665	5980	7530	35794	27949	35662	24416	19015	24604	36553.7857640222	28242.2984910238	36462.96435724
Bacteria	Verrucomicrobia	Verrucomicrobiae	0	0	0	0	0	0	0	0	0	12.0180440288106	0	10.0142359259541	4	2	1	10	5	7	10	5	7	10.0826229758919	3.91455342605698	6.71627538625809
