species	Zymo_6331_ONT	PRMT_GM1_GMS_MONT_20240807_bc22_D6331	PRMT_GM2_GMS_MONT_20240807_bc23_D6331	PRMT_GM3_GMS_MONT_20240807_bc24_D6331	PRMT_GO1_GMS_ONT_20240807_bc07_D6331	PRMT_GO2_GMS_ONT_20240807_bc08_D6331	PRMT_GO3_GMS_ONT_20240807_bc09_D6331	PRMT_GP1_GMS_PB_20240807_bc37_D6331	PRMT_GP2_GMS_PB_20240807_bc38_D6331	PRMT_GP3_GMS_PB_20240807_bc39_D6331
[Eubacterium] brachy	0	28.0179168930203	18.0069364622079	0	0	12.0075959148123	12.0202648922652	30.0470222649335	0	31.6270303561689
[Eubacterium] rectale	0	44.7267807635926	18.3558176409321	0	25.015389610103	18.0570756644246	20.8956619279554	40.1225530910856	0	35.4194843573054
[Eubacterium] siraeum	0	33.8040668055542	28.0227886160069	0	14.0138329776008	23.09880597488	14.2861805862465	48.0619517764567	0	30.2247206019654
[Ruminococcus] faecis	0	29.5439012198978	23.5694398875912	0	28.9933088203189	19.0960915529908	0	36.7739136225014	0	29.8551382450858
[Ruminococcus] gnavus	0	39.1899022777787	29.3795792670384	0	32.2782890164542	34.6476847670201	34.6671974348592	68.6073930060887	0	53.0866545650692
[Ruminococcus] torques	0	26.8212022638396	0	0	0	0	18.0303950871688	36.1164716368141	0	17.019877318647
Agathobaculum butyriciproducens	0	16.8333846490802	12.0091506136906	0	0	0	0	20.0250695865362	0	0
Akkermansia muciniphila	0	3309.80185825201	3298.27665788922	433.914298612987	899.236430696004	978.619173178598	436.736374811766	1642.05570609597	1055.34233458223	1773.38167501259
Anaerobutyricum hallii	0	47.0560045967451	26.9919647580815	0	32.4461656833733	12.8465825587158	24.7837277104074	45.7028946665304	14.0178708836978	30.2798014615463
Anaerostipes hadrus	0	45.7630800563859	31.4490015134582	0	19.0138111238981	22.0139287144601	20.7070525984593	42.1433355109577	0	44.8402006088574
Anaerotignum lactatifermentans	0	0	0	0	0	0	0	14.0178695748986	0	0
Bacillus subtilis	0	343.491378115303	170.367743357249	20.0327884031578	132.016539036205	136.144447988452	133.348322433921	362.819892727612	72.0917885989721	259.398793575232
Bacteroides fragilis	89.46	35056.7896359854	35705.7855128069	4801.84960020668	16507.7359918541	16883.6253103152	8013.30006689261	23126.9980086644	16465.1007717307	26875.0761431171
Bacteroides ovatus	0	0	0	0	25.0186792080393	0	0	0	0	0
Bacteroides uniformis	0	32.4436822109279	10.1277522033903	0	39.0282769553216	0	0	19.0238356674161	0	18.0243508402673
Barnesiella intestinihominis	0	10.0072570536362	0	0	10.0071466815104	0	0	0	0	0
Bifidobacterium adolescentis	79.02	32480.1111489765	35361.0469901976	4142.19553787242	34.989052560211	38.0240534601716	30.0506894927121	23800.9055930094	19486.1110224206	23785.2491346409
Bifidobacterium faecale	0	85.1990158020049	82.5926212742709	10.4562847685117	0	0	0	76.1048662293752	29.099064620561	68.7633113699899
Bifidobacterium ruminantium	0	98.6743303108135	95.4347592299735	0	0	0	0	55.7884180355164	41.0018995968198	57.4214497075254
Blautia caecimuris	0	10.9559690874205	0	0	0	0	0	15.016518315776	0	0
Blautia faecis	0	80.05554859163	43.357466102656	0	49.0014452605882	32.884915379829	43.0976489028251	107.110623169349	12.0230709218036	71.1110859721788
Blautia glucerasea	0	116.637336908904	57.2474694133402	0	63.1078659437236	57.5035612796646	47.3917528263504	123.121425321798	24.9255759724186	100.89163639584
Blautia hansenii	0	29.3406345397925	13.8149783133198	0	15.0116028962019	11.9911259742847	10.021128251865	28.0374252415581	0	15.0496945503011
Blautia hominis	0	0	0	0	0	0	0	15.6075800833632	0	0
Blautia luti	0	44.8494724136024	42.1863917571586	0	27.1850081849268	18.4494327283298	22.8958156606753	66.4301584979288	0	36.2556661004642
Blautia obeum	0	17.6659157341875	10.207038229025	0	11.0616674517984	0	0	21.2983795152572	0	17.9693040368126
Blautia producta	0	49.7575051177143	37.9203987033419	0	27.3924388786386	20.8101589072574	23.1723218896242	64.8717628650746	0	44.9459169661633
Blautia schinkii	0	46.2750617568847	28.027275225141	0	10.9604075147969	13.7416620655574	19.664379100558	37.8319116194437	0	29.6603163664585
Blautia sp. N6H1-15	0	32.0875153546186	24.9376778885908	0	16.2619900896077	25.211713165909	21.0330535963349	35.3730221765246	0	30.6545091815183
Blautia sp. SC05B48	0	232.15142762868	108.010992585079	28.087611123811	147.070410035867	105.390044227017	101.530513094905	250.582635011527	62.2124926860899	190.385408413276
Blautia stercoris	0	21.505958715639	0	0	0	11.06877451324	0	15.5943337607175	0	15.9880857119854
Blautia wexlerae	0	187.884396823236	96.5857988050534	15.005616552011	112.272635863074	86.6506512071568	78.1885939655384	197.952628690505	40.0474311785128	149.46098804832
Clostridioides difficile	23.58	27878.257018632	26639.9414642214	3475.95729092388	24133.7612503164	23277.9118738035	10927.037152838	14791.9168416783	9653.82803601484	15234.9039404519
Collinsella intestinalis	0	0	0	0	0	0	0	13.0162952312483	0	0
Coprococcus comes	0	16.9847123282296	0	0	0	0	0	0	0	0
