feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero	heatmap_value	is.significant	sign	level
Bacteria.Candidatus.Melainabacteria	source	Canis_lupus	-3.88113971070311	0.129992115474045	1.72066814253832e-20	sourceCanis_lupus	4.12960354209197e-19	27	27	-18.3840916402919	TRUE	-	phylum
Bacteria.Candidatus.Melainabacteria	source	Homo_sapiens	-3.30742312348637	0.129992115474045	7.13958548151831e-19	sourceHomo_sapiens	8.56750257782197e-18	27	27	-17.0671457562259	TRUE	-	phylum
Bacteria.Fusobacteria	source	Canis_lupus	7.00873346679842	0.335734495900523	6.75686633980313e-17	sourceCanis_lupus	5.4054930718425e-16	27	26	15.2671646849459	TRUE	+	phylum
Bacteria.Synergistetes	source	Canis_lupus	-1.78313171179707	0.0954928850950037	8.45571555313183e-16	sourceCanis_lupus	4.05874346550328e-15	27	9	-14.3916083975709	TRUE	-	phylum
Bacteria.Synergistetes	source	Homo_sapiens	-1.78313171179707	0.0954928850950037	8.45571555313183e-16	sourceHomo_sapiens	4.05874346550328e-15	27	9	-14.3916083975709	TRUE	-	phylum
Bacteria.Lentisphaerae	source	Canis_lupus	-1.35713727182045	0.0741328317784435	1.31980626862088e-15	sourceCanis_lupus	4.52505006384305e-15	27	9	-14.3443766115239	TRUE	-	phylum
Bacteria.Lentisphaerae	source	Homo_sapiens	-1.35713727182045	0.0741328317784435	1.31980626862089e-15	sourceHomo_sapiens	4.52505006384305e-15	27	9	-14.3443766115239	TRUE	-	phylum
Bacteria.Deferribacteres	source	Canis_lupus	1.54113574826358	0.0994374884413561	5.3160044715808e-14	sourceCanis_lupus	1.59480134147424e-13	27	9	12.7972934077008	TRUE	+	phylum
Bacteria.Verrucomicrobia	source	Canis_lupus	-7.53301631675482	0.495210179792764	7.99758424183042e-14	sourceCanis_lupus	2.13268913115478e-13	27	16	-12.6710724443458	TRUE	-	phylum
Bacteria.Verrucomicrobia	source	Homo_sapiens	-6.86707015236365	0.495210179792764	5.92666527786619e-13	sourceHomo_sapiens	1.42239966668789e-12	27	16	-11.8469783581424	TRUE	-	phylum
