superkingdom	phylum	class	order	family	Zymo_6323_WGS_kraken2_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	0	2120.01906906317	2495.79375977262	1624.74545898782	53.7687155613273	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926
Bacteria	Bacteroidetes	NA	NA	NA	794857	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	0	4725.33165705282	5702.86679298522	3765.56516146132	3856.29594576198	5149.28034315147	5146.73562445583	3514.4563302795	3355.13432837852	2890.94673304321
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	0	1610.1465274052	2060.31192005879	1267.59867255113	1224.85503900522	1537.95649730139	1541.08153077079	1110.94281934139	1122.31938836826	1009.44837047473
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	0	9413.62037636597	11770.7474641689	7240.31236364392	6995.59889202576	9461.14488662532	9470.81940647667	6463.22300721408	6331.35449411184	5625.38598765729
Bacteria	Firmicutes	NA	NA	NA	2395721	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	0	857.557142914705	1004.47985783432	705.570067189493	1190.67440739339	1554.14801455968	1778.97351262393	605.292150637743	477.070665326482	600.740217878174
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	0	4115.54507159648	5068.08988334807	3317.93497416187	6673.81953986867	8632.17345199352	9475.606441271	2354.80184950943	2135.86462267419	2363.32915654641
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	0	4435.68517753411	5548.02899213493	3529.53173053228	7006.07243210388	9132.51859207283	10034.4150748001	2940.31382883324	2736.21431837758	2705.46708986585
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	0	6715.46606584088	9209.19450048071	5650.83635476246	10962.4262196823	15008.7336125638	15418.8556366968	4107.07091348953	4202.7791475485	4316.7798768441
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	0	3934.60691721852	5344.09888729441	3283.38123270711	5951.45053632385	7814.87020634869	8412.7041143638	2375.69898761039	2338.14369184877	2641.67563405883
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	174273.37010544	225246.8771815	142617.685906879	249500.548869432	332769.620100514	360331.395860818	108521.428446504	107895.795699995	111644.518529882
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	0	7692.03846210133	9610.42093605852	6396.17589981292	12470.4050871586	16380.7911554589	17464.613894471	4358.96206931336	4148.49591147384	4491.24982048192
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	0	2080.99946805052	2619.01540895123	1830.31908321722	3349.92994201187	4484.6975072474	4884.56833215641	1481.84686653826	1267.34865622615	1499.15444915338
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	0	104604.158135859	133454.697764923	87212.1289805851	176771.055433392	237557.448490098	255230.157616983	61410.2951745834	57452.2705153715	61704.3663144414
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	0	8320.65162328475	10536.427141121	6736.02289220232	13686.7115636669	18419.2675688152	20548.8137437067	4953.73594336412	4721.33912643599	4948.74688582655
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	0	1012.93069940712	1232.47772767439	725.24562799508	2156.48864107502	2806.5200658936	2833.98390386079	1431.7826056117	1519.38322097313	1108.49058766654
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	0	1784.35810739127	2210.00328944549	1600.31433181643	2973.85995153668	3894.59390631342	4531.16052141428	1127.51942471079	960.662873710341	1127.87266232263
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	0	4091.74960019391	5359.21802650052	3336.32509223389	7824.32143026458	10658.5564623754	12320.5972307144	2782.53991435822	2623.43875764624	3024.70418792122
unassigned	unassigned	NA	NA	NA	617629	0	0	0	0	0	0	0	0	0
