species	Zymo_6323_WGS_kraken2_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
[Bacteroides] pectinophilus	7731	14.159400191284	35.8130647386494	20.6231057072255	26.3178854209041	40.5309502775125	37.2013704695301	21.8295186728767	15.0176164051527	10.0951522434301
[Clostridium] bolteae	14202	0	0	0	0	0	0	0	0	0
[Clostridium] cellulosi	0	37.46986545013	56.849168268861	46.6153805340279	87.0217693719599	72.1646033973154	95.8634863198149	19.2050993566419	31.1317537938397	21.2327276518476
[Clostridium] citroniae	4527	0	0	0	0	0	0	0	0	0
[Clostridium] clostridioforme	5076	0	0	0	0	0	0	0	0	0
[Clostridium] fimetarium	0	39.2570426771243	54.3954678947934	29.6202534637829	52.41258702931	66.4875687613831	78.2251723025104	19.9557194046336	20.8322362357676	30.3651777000228
[Clostridium] hylemonae	0	61.8662533239086	71.5402375141103	48.1671058807568	70.976210952531	135.5208330968	140.928419919	32.5908916326151	43.1796565526875	46.0642449252867
[Clostridium] innocuum	4212	0	0	0	0	0	0	0	0	0
[Clostridium] lavalense	10773	0	0	0	0	0	0	0	0	0
[Clostridium] leptum	24795	436.854958533874	600.998512776216	365.270623632109	692.642575540101	978.039471421943	946.125522682628	233.896827432888	200.982529394914	235.20203393524
[Clostridium] methylpentosum	0	80.1858733293253	112.55886536028	75.2611458269676	104.831067583866	130.45959471122	145.644789118032	40.4116468741293	48.1531292133827	37.4563283153544
[Clostridium] polysaccharolyticum	0	393.859407834117	512.262327808951	307.417669515907	668.734407845	859.382273017608	941.005045444899	223.158687085137	208.254277697463	263.896943122712
[Clostridium] populeti	0	426.672545593997	545.555220957485	365.545115295686	241.866494774391	331.764716636486	335.245268546113	296.464899609626	305.228290191194	321.219448287038
[Clostridium] saccharogumia	0	17.8315017115999	24.7338971025275	14.6131237287174	30.483790053643	63.8349218209092	42.9970054897683	25.8632340776368	19.4073686259171	17.0953745941438
[Clostridium] scindens	0	20.3823989187188	30.574737259526	18.4429952964535	44.9186154551287	52.5072498150738	55.3298474380189	13.2739355139425	12.596179826263	16.2791019899898
[Clostridium] spiroforme	4095	22.1488370139364	36.3632294412133	16.2374327903158	61.7469688121231	81.6142057775096	79.1447659403443	38.2306004490739	38.8266450845686	26.4853542974083
[Clostridium] symbiosum	9216	50.096267961214	61.1738389464282	49.3090073986484	96.1109721194425	136.240078939155	141.139582597527	29.8977467795649	29.6416598528481	34.4347935766124
[Clostridium] viride	0	70.9942523865255	83.8205113702697	40.8508032435921	94.374710210505	112.097882821059	127.833250298719	34.6029075068229	32.6679451862368	32.2868794787698
[Eubacterium] brachy	0	35.0094834754306	23.2498579479584	29.0457239134871	17.9046311701092	25.5370493665628	52.8100652869539	25.2141050590481	0	21.731805725458
[Eubacterium] eligens	358920	0	0	0	0	0	0	0	0	0
[Eubacterium] rectale	639342	16731.2425658164	21908.4568037985	13637.3162238416	25008.8195325918	33666.6136346402	35600.6145697614	9897.87152437946	10226.009991023	10050.2721365759
[Eubacterium] siraeum	1306530	13811.4497339264	17762.164495487	11737.0596901828	24268.529698304	32680.5883937242	35120.2241340101	7923.63137703378	7407.49587751694	7737.95464409149
[Eubacterium] sulci	0	0	11.9393232615528	0	17.7053010870779	0	0	0	0	0
[Ruminococcus] faecis	0	10557.9490224477	13666.5565855762	8818.63379574009	10290.7463215414	13397.1851165796	14457.1095588108	6824.46073712279	6831.52966220769	7309.53001448926
[Ruminococcus] gnavus	76599	3154.18886144561	3763.39860014884	2481.19957784055	4673.77993052447	6166.63042810961	6863.75962907427	1790.51648312433	1759.16459114734	1773.51435560878
[Ruminococcus] lactaris	0	199.794349869619	253.448185204592	160.586648023182	284.244976658954	400.829213488848	377.33538458753	122.110908990637	109.007364281245	141.606813887716
[Ruminococcus] torques	88290	721.725422375792	918.227657329381	621.68547498054	837.974388957434	1023.54587382534	1094.46518453713	465.112380009948	434.242092681611	497.690697421167
Absiella tortuosum	0	0	0	0	0	15.1268178628962	0	0	0	0
Abyssivirga alkaniphila	0	39.6663451203962	45.2660533074192	37.226025195215	43.1817455302241	73.4607578721587	65.8248243672518	26.568155714457	24.6783692129783	24.4533439414359
Acetanaerobacterium elongatum	0	0	14.2770794418147	11.1709167724163	0	18.4226288786322	19.875247056575	0	0	0
Acetivibrio ethanolgignens	0	86.7314150606423	102.109445655416	64.9460850840131	105.762663576205	131.429771495264	108.624427192982	56.9446156335896	63.9599843384566	56.1495150785515
Acholeplasma axanthum	0	83.9412463213214	97.7771707767621	54.0726338501543	185.694905176873	232.131923234336	225.106488959181	91.4765537240311	93.1791017571968	59.0322298974481
Acholeplasmatales bacterium	35217	0	0	0	0	0	0	0	0	0
Acidaminobacter hydrogenoformans	0	0	0	0	0	16.4556247766174	22.3111341841285	0	0	0
Acutalibacter muris	0	29.8704344708362	25.5242425228918	31.3066195365277	63.262711901209	74.2852120338436	95.1795994252884	0	15.4229775434725	25.2993969637022
Adlercreutzia equolifaciens	26973	127.360160950517	143.230194672112	65.0876136291836	59.0384128374968	84.0471611245645	79.3003411879156	90.2192936538661	89.17291062416	66.1498737260335
Aestuariispira insulae	0	26.0982141569969	23.5392106253958	18.5045653786093	23.3356848809659	20.2265348499402	20.1891511003577	0	0	0
Agathobacter ruminis	0	36.6678422288748	52.7955697821647	31.9944202343319	27.8937330684541	43.3546043137958	52.1350116442533	22.3369767792455	37.0737758352279	25.3301742749554
Agathobaculum butyriciproducens	130023	2006.36603226818	2588.18827899931	1698.83789737427	3115.63947718905	4172.85109788268	4388.90260916634	1184.07429879929	1184.3966126282	1203.83924893923
Agathobaculum desmolans	0	0	0	12.0395047540736	22.5858117603553	20.7780694098374	34.315382169962	0	0	10.6946209325614
Akkermansia muciniphila	338859	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
Alistipes communis	47484	40.048242826008	52.0478568088946	40.0538028519661	31.0220947918737	49.029212824635	41.0217262262398	34.0657628146521	33.0639819422656	26.0567768579939
Alistipes finegoldii	38799	21.0253563938788	24.0786606557833	16.0185788346875	14.0097346105256	26.8631589923426	22.1089094641954	27.0523284203089	17.0331042310686	0
Alistipes ihumii	32562	21.0253274836542	40.036666696189	32.0430422815729	14.0099782931042	19.0113272934445	19.0100675452808	24.0464208103427	23.044556034175	20.0436745061492
Alistipes indistinctus	3690	0	0	0	0	0	0	10.0193420043095	0	0
Alistipes onderdonkii	116289	145.17486785216	145.195070039197	113.152123546927	94.0672447612818	143.171229550427	153.921625605184	99.1914627596776	112.21703807203	83.288973717652
Alistipes putredinis	218142	378.931658350064	441.456351705364	356.487628618632	325.262252211247	354.415078087465	405.167000958164	282.545447114312	226.437757745498	240.524067900041
Alistipes shahii	253485	298.359392535654	353.150320405908	267.361946790496	258.183882384286	300.038531674527	269.248878071782	236.625242417358	227.439507618601	199.326783232718
Alistipes timonensis	9837	0	0	0	0	0	0	0	0	10.0219170131566
Alkalibaculum bacchi	0	27.2438765680927	42.739780653805	18.0232227839898	30.088152010923	50.2982119153744	63.523708783685	28.0883689759227	13.3303670873762	22.4364396869217
Alkaliphilus crotonatoxidans	0	108.321411258982	166.686538056981	96.1471358514649	181.253826897866	268.691490622938	247.058428542084	84.2614220246994	63.944275405984	75.9893187718411
Amedibacillus dolichus	0	82.2427196747756	78.3329471094459	63.6315452143335	144.015264705137	151.783278072182	157.349447218019	98.3996319170412	101.735980358632	64.5072074270433
Aminiphilus circumscriptus	0	14.016791321413	0	11.0147957842907	0	17.075688698745	19.0049282655136	0	13.0251838454033	0
Aminipila butyrica	0	77.0595791993053	101.355016612112	68.7344576243934	119.239361037523	159.683927963876	151.292640673746	50.6262576801522	55.8382321093435	51.2926569596943
Aminipila sp. JN-18	0	0	13.9502839738018	13.1877231008394	29.5207374066561	24.713004825597	19.092470979513	0	0	0
Anaerobacterium chartisolvens	0	34.8895874366057	49.0522383816681	28.0119683342194	55.3203036452461	75.3431087874616	75.6595751189615	20.3927992349982	0	22.4399893883793
Anaerobium acetethylicum	0	167.035669109288	165.990907010007	123.944301141455	223.349239557879	271.143077746204	313.151781349683	96.2092260677015	89.5519083849202	116.328426503165
Anaerobutyricum hallii	154566	5179.82879357476	6674.87757981358	4406.53534875054	7269.84395539781	9745.71981131025	10923.2811256007	3759.97974608467	3623.75097729837	3927.61743182786
Anaerobutyricum soehngenii	31248	0	0	0	0	0	0	0	0	0
Anaerocolumna aminovalerica	0	17.9896630371242	31.5372732802868	17.708324134278	32.9943051686403	48.6704365497672	56.3329216412448	18.7319457741264	23.2291585218385	10.1677350306558
Anaerocolumna cellulosilytica	0	190.147603884448	220.132602765886	139.436827872442	159.149418423571	214.188191894099	197.489360665954	136.130668564949	126.733215843822	133.675090039343
Anaerofilum pentosovorans	0	0	20.7523762678855	0	19.3872488673402	21.3960173465717	35.4281340026158	0	11.9058350575914	0
Anaerofustis stercorihominis	0	11.0132785044328	0	0	14.0099867677813	0	0	0	0	0
Anaeromassilibacillus senegalensis	0	2211.31695205784	2812.05894508298	1920.2269609497	3784.12687929999	5102.65221443443	5483.2369411637	1269.70304546829	1202.95850715114	1407.8748654523
Anaerosporomusa subterranea	0	0	0	0	21.4191187087613	24.1770007752006	27.7935557667339	0	0	0
Anaerostipes caccae	0	0	0	0	0	14.7311934749923	17.1363790703534	0	0	0
Anaerostipes hadrus	312507	9518.25167160886	12094.3717638241	7789.9457455275	14160.664029587	18565.6498395354	20565.1298767704	5787.40831332117	5640.40606061277	5943.69012662485
Anaerostipes rhamnosivorans	0	19.705587228055	26.0862308027504	0	32.9970275178716	44.4740999102908	40.9765963349183	11.5495355522898	15.6560892419504	15.7775907683165
Anaerotaenia torta	0	128.113283849554	193.429552671128	101.251317831731	175.269141618492	257.790863698077	269.945290116727	96.369042623222	119.873579932179	92.1006781603426
Anaerotignum aminivorans	0	70.4888668202065	67.7799892607372	54.0744657628806	91.0076110363069	123.340390954694	124.557157304261	17.8398722712712	35.2644322224259	42.514754927568
Anaerotignum faecicola	22068	312.098184602179	439.795270182773	262.763028609898	541.044941332478	817.190287382133	771.941665516097	222.651110165785	215.806409479254	214.708285754225
Anaerotignum lactatifermentans	0	93.462567252406	86.0488891154618	56.5774616964106	114.440143942993	164.504138953689	187.655334038461	49.91748046867	50.0534749316299	47.7369491953399
Anaerotruncus colihominis	7974	163.48871435382	212.246413346546	133.38782084181	288.840022145183	312.866365120149	372.80059435488	83.7930726289066	91.6158059672086	94.1707452292798
Anaerotruncus massiliensis	16911	0	0	0	0	0	0	0	0	0
Anaerotruncus rubiinfantis	0	167.486332462948	234.146730014598	148.878805367066	332.115072311318	395.401804280574	480.951166613902	114.213046559139	91.8905794776733	97.9803158336916
Anaerovibrio lipolyticus	0	0	0	0	14.337926281183	23.1145464375673	0	0	0	0
Anaerovorax odorimutans	0	84.7472527301067	132.442735374471	62.6963488708927	114.780162656818	153.608501680346	153.061159718601	61.5352517459325	49.6013664779675	53.4772203247134
