superkingdom	phylum	class	order	family	Zymo_6323_WGS_kraken2_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	0	1610.1465274052	2060.31192005879	1267.59867255113	1224.85503900522	1537.95649730139	1541.08153077079	1110.94281934139	1122.31938836826	1009.44837047473
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	0	9413.62037636597	11770.7474641689	7240.31236364392	6995.59889202576	9461.14488662532	9470.81940647667	6463.22300721408	6331.35449411184	5625.38598765729
Bacteria	Candidatus Melainabacteria	NA	NA	NA	12465	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	unassigned	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0
Bacteria	Cyanobacteria	unassigned	Oscillatoriales	Oscillatoriaceae	0	0	0	0	0	14.0080859203015	16.008466309803	0	0	0
Bacteria	Firmicutes	NA	NA	NA	2395721	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	0	293.731617440743	221.203226755427	238.476170355419	126.29719809082	221.15401128438	311.169134253228	218.528026717829	53.0676918142387	187.408354841994
Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	0	120.143839286185	79.072416758181	79.1062644677953	65.0463278062343	89.8164695482172	114.060718221431	72.3459710499473	29.0561058596539	68.1536202680173
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	0	15.0399057991154	0	0	25.6606704240118	29.6563201246424	34.549686099997	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	0	109.627952518573	97.0732632749978	112.116023683209	92.0275748468141	139.832954221974	159.534434889239	97.2482773921118	48.409852335153	74.161600623364
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	0	352.515035249627	472.180024646104	274.785718392041	594.770150350609	669.356976630757	707.244794937639	219.356171045503	214.025654234416	241.137599002592
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	0	149.892021824363	115.114277133514	125.345277061206	61.0434740452392	101.328694035656	150.788540453529	125.319920412832	24.0464932530522	95.2086887569816
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	0	857.557142914705	1004.47985783432	705.570067189493	1190.67440739339	1554.14801455968	1778.97351262393	605.292150637743	477.070665326482	600.740217878174
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	0	731.566537989187	792.004799143892	622.659727178035	796.229410713981	1110.69207840853	1289.62214489446	478.952376655837	280.56194744547	457.998241952945
Bacteria	Firmicutes	Clostridia	Clostridiales	Caldicoprobacteraceae	0	15.0885034074216	15.5036276214895	18.3732210977405	22.1352441942736	25.2595503404527	29.2853014164375	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae	0	373.332751410829	443.151908924876	356.592316100786	739.461925237466	903.250261196283	964.257712219479	219.091041506105	214.482196208088	213.893851322368
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	0	4115.54507159648	5068.08988334807	3317.93497416187	6673.81953986867	8632.17345199352	9475.606441271	2354.80184950943	2135.86462267419	2363.32915654641
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	0	4435.68517753411	5548.02899213493	3529.53173053228	7006.07243210388	9132.51859207283	10034.4150748001	2940.31382883324	2736.21431837758	2705.46708986585
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XII. Incertae Sedis	0	0	0	0	0	16.4556247766174	22.3111341841285	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis	0	773.627225558221	1034.12919601241	623.906805680617	1072.10459899861	1324.33266810321	1393.5112000918	492.08162653155	400.193228405643	466.229649315489
Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	0	0	0	0	0	0	13.0357934611957	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	0	6715.46606584088	9209.19450048071	5650.83635476246	10962.4262196823	15008.7336125638	15418.8556366968	4107.07091348953	4202.7791475485	4316.7798768441
Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	0	20.9316889240411	27.6497612694059	21.1913572883322	36.0146189360143	47.6676795808278	66.0196163171018	13.8120988002924	15.1491573443343	24.9268243173585
Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	0	3934.60691721852	5344.09888729441	3283.38123270711	5951.45053632385	7814.87020634869	8412.7041143638	2375.69898761039	2338.14369184877	2641.67563405883
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	0	174273.37010544	225246.8771815	142617.685906879	249500.548869432	332769.620100514	360331.395860818	108521.428446504	107895.795699995	111644.518529882
Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	0	7692.03846210133	9610.42093605852	6396.17589981292	12470.4050871586	16380.7911554589	17464.613894471	4358.96206931336	4148.49591147384	4491.24982048192
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	0	177.718553902032	248.061598967369	178.568474613528	343.961161531939	452.037966233389	499.397966016585	111.214952625533	125.5065678306	93.2061822211652
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	0	2080.99946805052	2619.01540895123	1830.31908321722	3349.92994201187	4484.6975072474	4884.56833215641	1481.84686653826	1267.34865622615	1499.15444915338
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	0	104604.158135859	133454.697764923	87212.1289805851	176771.055433392	237557.448490098	255230.157616983	61410.2951745834	57452.2705153715	61704.3663144414
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	0	8320.65162328475	10536.427141121	6736.02289220232	13686.7115636669	18419.2675688152	20548.8137437067	4953.73594336412	4721.33912643599	4948.74688582655
Bacteria	Firmicutes	Clostridia	Clostridiales	Vallitaleaceae	0	109.11224236931	147.118882973381	83.0634263841791	159.568624738014	209.952358458115	249.822527637766	63.7827651694797	61.4967361686006	59.4197999283945
Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family IV. Incertae Sedis	0	19.5346564425462	20.4237208791814	16.5499337142359	47.475526625717	47.555968720463	49.6619997568202	0	0	0
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	0	1012.93069940712	1232.47772767439	725.24562799508	2156.48864107502	2806.5200658936	2833.98390386079	1431.7826056117	1519.38322097313	1108.49058766654
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	0	1784.35810739127	2210.00328944549	1600.31433181643	2973.85995153668	3894.59390631342	4531.16052141428	1127.51942471079	960.662873710341	1127.87266232263
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	0	4091.74960019391	5359.21802650052	3336.32509223389	7824.32143026458	10658.5564623754	12320.5972307144	2782.53991435822	2623.43875764624	3024.70418792122
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	0	0	0	0	21.4191187087613	24.1770007752006	27.7935557667339	0	0	0
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	0	890.420682145835	918.840331910613	781.069065030445	898.659373073529	1348.82019726756	1511.1397274767	589.034390663421	284.566397746479	579.636010190304
Bacteria	Firmicutes	Tissierellia	Tissierellales	Gottschalkiaceae	0	22.3056876145752	16.0373227603858	0	34.9843141697078	58.0567912182591	45.5393653273039	20.7650915833431	0	0
Bacteria	Firmicutes	unassigned	unassigned	unassigned	0	25.0301542580542	21.9161341406332	23.8516113035324	34.0243168037466	51.9892995825774	47.9882924070087	0	0	16.0349396052989
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268
Bacteria	Lentisphaerae	NA	NA	NA	1921	0	0	0	0	0	0	0	0	0
Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	unassigned	0	111.245625318933	104.050539311424	82.7794718746056	94.4711524740252	130.886227417486	150.473920394498	44.0851048189616	57.1104214759989	40.7019561572296
Bacteria	Lentisphaerae	Lentisphaeria	Victivallales	Victivallaceae	0	12.9039274416913	22.0649607815714	14.3510000414121	23.6129502821391	23.2055832767486	31.6225160918758	0	0	12.4137812840657
Bacteria	Proteobacteria	NA	NA	NA	31624	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	0	21.3658355020891	28.8855150053671	0	23.630733608486	26.4841644545173	43.372303300638	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	0	80.6903265515882	87.6652583926815	68.6080202478798	57.4688583040458	100.349512925945	124.538161069775	30.0580260129284	31.0600537851924	33.0720629351461
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	0	26.0313578369052	32.0296400602693	20.0269014259843	24.0171056453739	39.0232541416143	33.0174857365403	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	0	0	0	0	0	33.0155196665811	31.2518471799042	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	0	69.1500760265384	83.6322522726192	67.5749094488037	90.0222858103319	71.2885152835161	54.972275633939	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	0	47.0566853205594	72.0660000525916	49.0659084936585	63.0449023189691	64.0381550937079	88.1510792484314	27.0522234116355	28.0542421285609	29.0633280339163
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	0	414.499313380663	602.549895965222	336.451943956515	238.529739861063	343.204487411175	381.201880808166	471.911008402975	346.670277731502	332.724996802076
Bacteria	Proteobacteria	Deltaproteobacteria	Bradymonadales	unassigned	0	0	0	16.2665730582456	24.4151783718115	31.2072122422973	28.6287521638906	0	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	0	0	31.9637895663812	0	54.3400876548222	45.5805447036408	61.4045067416619	14.4334631323076	0	0
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	0	109.131461700872	163.698802682276	78.1049155613339	38.0270839384258	51.0304048402985	53.0280949079494	64.1237888275805	74.1433541969109	50.1091862653729
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	0	330.430923511918	685.631579627846	275.372536039342	375.356535181633	563.338288198406	639.327526351357	260.627261999138	81.1617405932068	201.441663445965
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	0	0	0	0	31.0221009093008	47.0280201469417	56.0296727650381	0	0	0
Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	0	82.8991785227842	73.853888583086	56.3350355902038	75.0846817690339	122.487029391177	134.325485701708	21.0509416420296	37.0701019596464	37.3014288046965
Bacteria	Tenericutes	NA	NA	NA	5440	0	0	0	0	0	0	0	0	0
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	0	83.9412463213214	97.7771707767621	54.0726338501543	185.694905176873	232.131923234336	225.106488959181	91.4765537240311	93.1791017571968	59.0322298974481
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	0	0	27.5188711263463	0	34.0883058912303	80.0361568763678	63.9184737167124	0	0	0
Bacteria	unknown	NA	NA	NA	13944	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	NA	NA	NA	37651	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	0	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
Eukaryota	unknown	NA	NA	NA	4275	0	0	0	0	0	0	0	0	0
unassigned	unassigned	NA	NA	NA	617629	0	0	0	0	0	0	0	0	0
Viruses	unknown	NA	NA	NA	708	0	0	0	0	0	0	0	0	0
