superkingdom	phylum	class	order	Zymo_6323_WGS_kraken2_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Bacteria	Actinobacteria	NA	NA	62385	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	0	2120.01906906317	2495.79375977262	1624.74545898782	53.7687155613273	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	0	1294.04699403583	1734.06555832523	701.942456285146	158.492512204235	194.914446562891	179.42318000581	508.929458137138	554.071667267922	488.061991989669
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	0	411.481081433515	578.912681467318	326.598563892481	331.145627168745	409.773761662368	391.627213240645	323.687122863579	345.238437051619	276.728522808558
Bacteria	Bacteroidetes	NA	NA	794857	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	17663.880379016	21867.0417286891	13852.6066268744	14291.3574527814	18843.5126283136	19057.1857111163	12445.0120996977	12112.3285295475	10733.4124801279
Bacteria	Candidatus Melainabacteria	unassigned	Vampirovibrionales	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351
Bacteria	Firmicutes	NA	NA	2395721	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	0	891.058350294245	869.52893143471	704.484176898465	903.80192151849	1149.81673180997	1326.55876840153	607.478446205392	344.559304243462	570.861174735968
Bacteria	Firmicutes	Bacilli	Lactobacillales	0	1739.01570272825	1911.59893411173	1453.57507142873	2047.94729215262	2766.16878700387	3219.38419797192	1209.56444770641	781.679106025003	1153.9471485881
Bacteria	Firmicutes	Clostridia	Clostridiales	0	317642.331992497	408552.465671581	261855.712656026	488745.665797276	653179.076793802	705038.771966611	193404.136564379	187715.079575909	197172.964064205
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	0	1012.93069940712	1232.47772767439	725.24562799508	2156.48864107502	2806.5200658936	2833.98390386079	1431.7826056117	1519.38322097313	1108.49058766654
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	0	1784.35810739127	2210.00328944549	1600.31433181643	2973.85995153668	3894.59390631342	4531.16052141428	1127.51942471079	960.662873710341	1127.87266232263
Bacteria	Firmicutes	Negativicutes	Selenomonadales	0	4091.74960019391	5359.21802650052	3336.32509223389	7845.74054897334	10682.7334631506	12348.3907864811	2782.53991435822	2623.43875764624	3024.70418792122
Bacteria	Firmicutes	Negativicutes	Veillonellales	0	890.420682145835	918.840331910613	781.069065030445	898.659373073529	1348.82019726756	1511.1397274767	589.034390663421	284.566397746479	579.636010190304
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	0	461.555998701222	674.615896017813	385.517852450174	301.574642180032	407.242642504883	469.352960056597	498.963231814611	374.724519860063	361.788324835992
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	0	330.430923511918	685.631579627846	275.372536039342	375.356535181633	563.338288198406	639.327526351357	260.627261999138	81.1617405932068	201.441663445965
Bacteria	Verrucomicrobia	NA	NA	37651	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	0	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
unassigned	unassigned	NA	NA	617629	0	0	0	0	0	0	0	0	0
