superkingdom	phylum	class	order	Zymo_6323_WGS_kraken2_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Archaea	Euryarchaeota	NA	NA	9367	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	NA	NA	62385	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	0	2120.01906906317	2495.79375977262	1624.74545898782	53.7687155613273	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	0	17.4053150526143	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	0	0	0	0	20.8050943135612	0	0	0	0	0
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	0	1294.04699403583	1734.06555832523	701.942456285146	158.492512204235	194.914446562891	179.42318000581	508.929458137138	554.071667267922	488.061991989669
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	0	411.481081433515	578.912681467318	326.598563892481	331.145627168745	409.773761662368	391.627213240645	323.687122863579	345.238437051619	276.728522808558
Bacteria	Bacteroidetes	NA	NA	794857	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	0	17663.880379016	21867.0417286891	13852.6066268744	14291.3574527814	18843.5126283136	19057.1857111163	12445.0120996977	12112.3285295475	10733.4124801279
Bacteria	Candidatus Melainabacteria	NA	NA	12465	0	0	0	0	0	0	0	0	0
